RAVEN_sample_ID,Year,_ROM_Cluster,hour,scaling,Dispatch__NPP__production__reactor_heat,Dispatch__BOP1__production__reactor_heat,Dispatch__BOP1__production__electricity,Dispatch__Converter__production__reactor_heat,Dispatch__Converter__production__thermal_heat,Dispatch__TES_Charger__production__tes_heat,Dispatch__TES_Charger__production__thermal_heat,Dispatch__TES__level__tes_heat,Dispatch__TES__charge__tes_heat,Dispatch__TES__discharge__tes_heat,Dispatch__BOP2__production__tes_heat,Dispatch__BOP2__production__electricity,Dispatch__electricity_market__production__electricity,price,ProbabilityWeight,prefix,PointProbability
0,2018,0,0.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,105.13167,-79.195734,0.0,-20.804266,6.8654078,-26.269408,151.053722703,1.0,1,1.0
0,2018,0,1.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,105.13167,0.0,0.0,-100.0,33.0,-52.404,164.289438043,1.0,1,1.0
0,2018,0,2.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,200.0,-100.0,0.0,0.0,0.0,-19.404,73.5288130677,1.0,1,1.0
0,2018,0,3.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,189.73666,-289.73666,95.613098,-115.0171,188.616291737,1.0,1,1.0
0,2018,0,4.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,0.0,-100.0,33.0,-52.404,70.5167434099,1.0,1,1.0
0,2018,0,5.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,0.0,-100.0,33.0,-52.404,61.7282838767,1.0,1,1.0
0,2018,0,6.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,0.0,-100.0,33.0,-52.404,65.312435854,1.0,1,1.0
0,2018,0,7.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,0.0,-100.0,33.0,-52.404,40.7587472098,1.0,1,1.0
0,2018,0,8.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,10.26334,-10.818511,0.0,-89.181489,29.429891,-48.833891,35.1586791608,1.0,1,1.0
0,2018,0,9.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,105.13167,-100.0,0.0,0.0,0.0,-19.404,30.7038767642,1.0,1,1.0
0,2018,0,10.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,200.0,-100.0,0.0,0.0,0.0,-19.404,27.0556820774,1.0,1,1.0
0,2018,0,11.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,200.0,0.0,0.0,-100.0,33.0,-52.404,153.137793257,1.0,1,1.0
0,2018,0,12.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,10.26334,0.0,180.0,-280.0,92.4,-111.804,162.143908097,1.0,1,1.0
0,2018,0,13.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,105.13167,-100.0,0.0,0.0,0.0,-19.404,141.081004634,1.0,1,1.0
0,2018,0,14.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,200.0,-100.0,0.0,0.0,0.0,-19.404,141.767753339,1.0,1,1.0
0,2018,0,15.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,200.0,0.0,0.0,-100.0,33.0,-52.404,199.818077642,1.0,1,1.0
0,2018,0,16.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,189.73666,-289.73666,95.613098,-115.0171,213.877082224,1.0,1,1.0
0,2018,0,17.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,0.0,-100.0,33.0,-52.404,145.50695966,1.0,1,1.0
0,2018,0,18.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,94.86833,-100.0,0.0,0.0,0.0,-19.404,59.1044051008,1.0,1,1.0
0,2018,0,19.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,189.73666,-100.0,0.0,0.0,0.0,-19.404,43.8314504404,1.0,1,1.0
0,2018,0,20.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,0.0,0.0,180.0,-280.0,92.4,-111.804,112.740294003,1.0,1,1.0
0,2018,0,21.0,1.0,158.8,-58.8,19.404,-100.0,100.0,100.0,-100.0,94.86833,-100.0,0.0,0.0,0.0,-19.404,52.2388057944,1.0,1,1.0
