iteration,accepted,NPP_capacity,BOP1_capacity,Converter_capacity,TES_Charger_capacity,TES_capacity,BOP2_capacity,electricity_market_capacity,mean_NPV
0.0,first,158.8,-160.0,-160.0,-8.0,47.64,-50.0,-1e+200,-1830787019.7
1.0,accepted,158.8,-160.0,-160.0,-27.1388872686,0.0,0.0,-1e+200,-1810745346.65
2.0,accepted,158.8,-160.0,-160.0,-21.1960597352,0.0,0.0,-1e+200,-1810721630.94
3.0,rejected,158.8,-160.0,-160.0,-25.9704534518,10.6493635081,0.0,-1e+200,-1812111966.98
4.0,rerun,158.8,-160.0,-160.0,-21.1960597352,0.0,0.0,-1e+200,-1810750590.33
5.0,accepted,158.8,-160.0,-160.0,-24.0760553294,0.0,0.0,-1e+200,-1810660241.02
6.0,accepted,158.8,-160.0,-160.0,-24.2841953847,0.0,0.0,-1e+200,-1810553420.42
7.0,accepted,158.8,-160.0,-160.0,-3.8397437044,0.0,0.0,-1e+200,-1809971414.64
8.0,accepted,158.8,-160.0,-160.0,-1.92899787228,0.0,0.0,-1e+200,-1809928926.63
9.0,accepted,158.8,-160.0,-160.0,0.0,0.0,0.0,-1e+200,-1809643538.45
10.0,accepted,158.8,-160.0,-160.0,0.0,0.0,0.0,-1e+200,-1809445659.82
