smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,658523581.812,4242953.81704,658523581.812,661523803.228,655523360.396,655823382.537,661223781.087,2.0,18002657093500.0,26,5.2351036610599995e-14,0.249999001227,0.125226860254,0.0039138888497,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,470475942.758,1878504.624,470475942.758,471804246.116,469147639.4,469280469.736,471671415.78,2.0,3528779622380.0,51,5.2351036610599995e-14,0.250000998773,0.125226860254,0.0039139201225,0.125018050542
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,388447763.134,584392.81325,388447763.134,388860991.255,388034535.013,388075857.825,388819668.443,2.0,341514960179.0,2,5.2351036610599995e-14,0.124998601718,0.125226860254,0.00391329560733,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,333414032.178,5921686.64657,333414032.178,337601296.962,329226767.394,329645493.873,337182570.484,2.0,35066372740200.0,32,5.2351036610599995e-14,0.249999001227,0.250453720508,0.0156532949952,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,282078102.22,2700583.42871,282078102.22,283987703.076,280168501.364,280359461.45,283796742.99,2.0,7293150855440.0,76,5.2351036610599995e-14,0.250000998773,0.125226860254,0.0039139201225,0.125018050542
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,250979545.444,5054194.06712,250979545.444,254553400.342,247405690.545,247763076.035,254196014.852,2.0,25544877668100.0,27,5.2351036610599995e-14,0.249999001227,0.125226860254,0.00782664749759,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,141159009.358,9064138.5788,141159009.358,147568323.213,134749695.504,135390626.889,146927391.827,2.0,82158608175700.0,57,5.2351036610599995e-14,0.250000998773,0.250453720508,0.0156534200683,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,89374998.9384,1205219.00423,89374998.9384,90227217.4692,88522780.4077,88608002.2608,90141995.6161,2.0,1452552848160.0,101,5.2351036610599995e-14,0.125000399509,0.125226860254,0.00195695849761,0.125018050542
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,61776905.4453,16912740.1741,61776905.4453,73736018.7109,49817792.1797,51013703.5063,72540107.3843,2.0,286040780198000.0,52,5.2351036610599995e-14,0.250000998773,0.125226860254,0.00782671003417,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,53455982.8078,16698878.4434,53455982.8078,65263872.9933,41648092.6222,42828881.6408,64083083.9748,2.0,278852541269000.0,8,5.2351036610599995e-14,0.124998601718,0.250453720508,0.00782546102098,0.249963898917
