npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1055265332.75,2752196.48358,1055265332.75,1057211429.55,1053319235.95,1053513845.63,1057016819.87,2.0,7574585484210.0,0.249579831933,72,0.125002473607,0.00779952408848,2.78193391732e-13,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1050550422.49,12450223.7418,1050550422.49,1059354060.12,1041746784.85,1042627148.62,1058473696.36,2.0,155008071222000.0,0.125210084034,56,0.249993815983,0.00782543667679,2.78193391732e-13,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1011666246.1,9629455.18786,1011666246.1,1018475299.16,1004857193.03,1005538098.34,1017794393.85,2.0,92726407215000.0,0.125210084034,61,0.250006184017,0.00782582382741,2.78193391732e-13,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1006604974.75,11663200.7579,1006604974.75,1014852103.1,998357846.408,999182559.242,1014027390.27,2.0,136030251919000.0,0.125210084034,51,0.124991342377,0.00391254412062,2.78193391732e-13,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,985850446.155,10301673.755,985850446.155,993134829.525,978566062.786,979294501.123,992406391.188,2.0,106124482154000.0,0.249579831933,83,0.249993815983,0.0155983536443,2.78193391732e-13,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,965835755.954,10627592.7671,965835755.954,973350598.867,958320913.041,959072397.332,972599114.576,2.0,112945728024000.0,0.125210084034,66,0.250006184017,0.00782582382741,2.78193391732e-13,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,962087175.41,8364789.52873,962087175.41,968001974.809,956172376.011,956763855.951,967410494.869,2.0,69969703859900.0,0.249579831933,78,0.124991342377,0.00779882955587,2.78193391732e-13,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,950076173.586,1810902.76863,950076173.586,951356675.214,948795671.959,948923722.121,951228625.051,2.0,3279368837450.0,0.249579831933,88,0.250006184017,0.0155991253473,2.78193391732e-13,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,933630804.122,6037514.39376,933630804.122,937899971.491,929361636.752,929788553.489,937473054.754,2.0,36451580054800.0,0.125210084034,71,0.125002473607,0.00391289255617,2.78193391732e-13,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,892974627.663,7541093.80084,892974627.663,898306986.227,887642269.099,888175504.955,897773750.37,2.0,56868095713100.0,0.249579831933,93,0.250006184017,0.0155991253473,2.78193391732e-13,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,838743584.151,11730892.3982,838743584.151,847038577.716,830448590.587,831278089.944,846209078.359,2.0,137613836459000.0,0.249579831933,98,0.125002473607,0.00779952408848,2.78193391732e-13,0.25
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,816909422.636,16762964.5001,816909422.636,828762628.507,805056216.765,806241537.352,827577307.92,2.0,280996978832000.0,0.249579831933,82,0.249993815983,0.0155983536443,2.78193391732e-13,0.25
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,803672381.633,32607576.4638,803672381.633,826729420.068,780615343.197,782921047.041,824423716.225,2.0,1063254042840000.0,0.249579831933,77,0.124991342377,0.00779882955587,2.78193391732e-13,0.25
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,796819720.266,17916340.5148,796819720.266,809488486.138,784150954.394,785417830.981,808221609.551,2.0,320995257443000.0,0.249579831933,87,0.250006184017,0.0155991253473,2.78193391732e-13,0.25
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,792176753.071,25856099.903,792176753.071,810459776.648,773893729.495,775722031.853,808631474.29,2.0,668537902192000.0,0.250420168067,109,0.249993815983,0.00782543667679,2.78193391732e-13,0.125
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,777900967.432,3252746.39371,777900967.432,780201006.464,775600928.399,775830932.302,779971002.561,2.0,10580359101800.0,0.250420168067,104,0.124991342377,0.00391254412062,2.78193391732e-13,0.125
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,771788577.72,5756429.20547,771788577.72,775858987.847,767718167.594,768125208.606,775451946.834,2.0,33136477197600.0,0.249579831933,92,0.250006184017,0.0155991253473,2.78193391732e-13,0.25
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,748162431.119,2026586.08155,748162431.119,749595443.88,746729418.359,746872719.635,749452142.604,2.0,4107051145920.0,0.250420168067,114,0.250006184017,0.00782582382741,2.78193391732e-13,0.125
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,730840391.269,9052206.12459,730840391.269,737241267.604,724439514.933,725079602.567,736601179.97,2.0,81942435722000.0,0.249579831933,97,0.125002473607,0.00779952408848,2.78193391732e-13,0.25
