smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,845506174.105,436950.553905,845506174.105,845815144.805,845197203.406,845228100.476,845784247.735,2.0,190925786558.0,0.124995649753,0.12499839544,1.28667840979e-13,1,0.00195303195702,0.125
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,760954015.866,71658.3482421,760954015.866,761004685.97,760903345.762,760908412.773,760999618.96,2.0,5134918872.78,0.249996892681,0.12499839544,1.28667840979e-13,26,0.00390615130627,0.125
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,676347287.19,873413.352973,676347287.19,676964883.695,675729690.685,675791450.336,676903124.044,2.0,762850885151.0,0.250003107319,0.12499839544,1.28667840979e-13,51,0.00390624840876,0.125
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,590418718.921,184888.121775,590418718.921,590549454.566,590287983.277,590301056.841,590536381.002,2.0,34183617573.5,0.250003107319,0.12499839544,1.28667840979e-13,76,0.00390624840876,0.125
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,506945065.679,2194.54002572,506945065.679,506946617.453,506943513.904,506943669.082,506946462.275,2.0,4816005.92449,0.125001242928,0.12499839544,1.28667840979e-13,101,0.00195311934925,0.125
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,498889824.794,919236.707469,498889824.794,499539823.303,498239826.285,498304826.136,499474823.453,2.0,844996124358.0,0.249996892681,0.25,1.28667840979e-13,32,0.0156248057925,0.25
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,416688869.111,708472.674441,416688869.111,417189834.944,416187903.279,416237999.862,417139738.36,2.0,501933530429.0,0.250003107319,0.25,1.28667840979e-13,57,0.0156251942075,0.25
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,403897465.275,35100.4383528,403897465.275,403922285.033,403872645.517,403875127.493,403919803.057,2.0,1232040772.56,0.124995649753,0.25,1.28667840979e-13,2,0.00390611405478,0.125
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,389874599.208,3943124.49047,389874599.208,392662809.274,387086389.142,387365210.148,392383988.268,2.0,15548230747300.0,0.249996892681,0.25,1.28667840979e-13,27,0.00781240289627,0.125
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,337300516.516,2981452.08839,337300516.516,339408721.506,335192311.527,335403132.026,339197901.007,2.0,8889056555360.0,0.124995649753,0.25,1.28667840979e-13,13,0.00781222810956,0.25
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,329540862.836,2012530.55869,329540862.836,330963936.841,328117788.83,328260096.231,330821629.441,2.0,4050279249670.0,0.250003107319,0.25,1.28667840979e-13,82,0.0156251942075,0.25
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,306540012.63,1250306.63617,306540012.63,307424112.931,305655912.329,305744322.359,307335702.901,2.0,1563266684450.0,0.250003107319,0.25,1.28667840979e-13,52,0.00781259710373,0.125
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,255379180.187,1952088.873,255379180.187,256759515.467,253998844.908,254136878.436,256621481.939,2.0,3810650968110.0,0.249996892681,0.25,1.28667840979e-13,38,0.0156248057925,0.25
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,246975586.568,1477524.67324,246975586.568,248020354.283,245930818.852,246035295.623,247915877.512,2.0,2183079160030.0,0.125001242928,0.25,1.28667840979e-13,107,0.00781257768298,0.25
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,220680882.647,1919144.54802,220680882.647,222037922.771,219323842.523,219459546.535,221902218.758,2.0,3683115796200.0,0.250003107319,0.25,1.28667840979e-13,77,0.00781259710373,0.125
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,166881274.976,1468253.69115,166881274.976,167919487.117,165843062.834,165946884.048,167815665.903,2.0,2155768901580.0,0.250003107319,0.25,1.28667840979e-13,63,0.0156251942075,0.25
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,152052094.469,2383630.1892,152052094.469,153737575.54,150366613.399,150535161.506,153569027.433,2.0,5681692878870.0,0.124995649753,0.25,1.28667840979e-13,8,0.00781222810956,0.25
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,136822864.955,3219433.41309,136822864.955,139099348.153,134546381.758,134774030.077,138871699.834,2.0,10364751501300.0,0.249996892681,0.25,1.28667840979e-13,33,0.0156248057925,0.25
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,133867179.012,3201771.09365,133867179.012,136131173.065,131603184.96,131829584.366,135904773.659,2.0,10251338136100.0,0.125001242928,0.25,1.28667840979e-13,102,0.00390628884149,0.125
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,84189728.5459,617879.546509,84189728.5459,84626635.3632,83752821.7286,83796512.4103,84582944.6814,2.0,381775133994.0,0.250003107319,0.25,1.28667840979e-13,88,0.0156251942075,0.25
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,48885395.0543,49933.2676582,48885395.0543,48920703.2065,48850086.9021,48853617.7174,48917172.3913,2.0,2493331219.02,0.250003107319,0.25,1.28667840979e-13,58,0.0156251942075,0.25
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,25439037.0395,12488346.2946,25439037.0395,34269631.3902,16608442.6888,17491502.1238,33386571.9552,2.0,155958793175000.0,0.249996892681,0.25,1.28667840979e-13,44,0.0156248057925,0.25
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-16180.9509303,1210931.96331,-16180.9509303,840077.25188,-872439.153741,-786813.33346,754451.431599,2.0,1466356219760.0,0.125001242928,0.25,1.28667840979e-13,113,0.00781257768298,0.25
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-8901515.2022,1053141.28012,-8901515.2022,-8156831.86148,-9646198.54293,-9571730.20885,-8231300.19555,2.0,1109106555900.0,0.249996892681,0.25,1.28667840979e-13,28,0.00781240289627,0.125
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-28653158.5946,540214.014854,-28653158.5946,-28271169.6014,-29035147.5878,-28996948.6885,-28309368.5007,2.0,291831181845.0,0.124995649753,0.25,1.28667840979e-13,3,0.00390611405478,0.125
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-34625291.1409,4498404.36473,-34625291.1409,-31444438.91,-37806143.3717,-37488058.1486,-31762524.1331,2.0,20235641828600.0,0.250003107319,0.25,1.28667840979e-13,83,0.0156251942075,0.25
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-55521929.969,4798938.14688,-55521929.969,-52128568.2628,-58915291.6751,-58575955.5045,-52467904.4334,2.0,23029807337600.0,0.124995649753,0.12500160456,0.0,25,0.00195308209776,0.125
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-55642861.9,5754082.71101,-55642861.9,-51574110.9955,-59711612.8044,-59304737.714,-51980986.0859,2.0,33109467845200.0,0.250003107319,0.25,1.28667840979e-13,69,0.0156251942075,0.25
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-74509920.6172,4838475.24719,-74509920.6172,-71088601.9593,-77931239.2751,-77589107.4093,-71430733.8251,2.0,23410842717700.0,0.124995649753,0.25,1.28667840979e-13,14,0.00781222810956,0.25
