hours,price
1.0,30.13
2.0,27.89
3.0,23.83
4.0,23.13
5.0,22.7
6.0,24.07
7.0,28.91
8.0,32.24
9.0,37.25
10.0,42.94
11.0,48.73
12.0,49.46
13.0,46.8
14.0,44.99
15.0,40.77
16.0,35.84
17.0,35.12
18.0,48.11
19.0,70.15
20.0,60.6
21.0,55.77
22.0,51.22
23.0,46.62
24.0,43.4
25.0,30.38
26.0,29.66
27.0,23.64
28.0,22.22
29.0,23.55
30.0,27.86
31.0,39.04
32.0,43.77
33.0,49.32
34.0,49.92
35.0,50.51
36.0,50.18
37.0,46.64
38.0,42.38
39.0,39.71
40.0,39.59
41.0,38.92
42.0,57.74
43.0,77.09
44.0,74.48
45.0,65.45
46.0,54.81
47.0,44.48
48.0,39.1
49.0,34.19
50.0,29.67
51.0,27.52
52.0,27.62
53.0,30.3
54.0,33.55
55.0,41.69
56.0,51.76
57.0,56.05
58.0,51.74
59.0,46.28
60.0,42.0
61.0,38.69
62.0,37.23
63.0,34.84
64.0,35.48
65.0,35.41
66.0,36.39
67.0,47.0
68.0,41.71
69.0,35.87
70.0,35.2
71.0,35.62
72.0,32.63
73.0,23.73
74.0,21.93
75.0,19.0
76.0,17.79
77.0,18.63
78.0,20.0
79.0,23.28
80.0,24.96
81.0,27.32
82.0,28.95
83.0,31.24
84.0,32.32
85.0,32.35
86.0,31.18
87.0,30.91
88.0,30.79
89.0,29.8
90.0,35.11
91.0,53.34
92.0,47.21
93.0,43.79
94.0,38.62
95.0,35.14
96.0,27.7
97.0,27.79
98.0,26.51
99.0,23.29
100.0,22.3
101.0,22.14
102.0,23.62
103.0,25.72
104.0,29.14
105.0,33.32
106.0,35.46
107.0,34.35
108.0,32.97
109.0,32.52
110.0,32.6
111.0,30.63
112.0,31.13
113.0,32.52
114.0,46.59
115.0,66.76
116.0,60.45
117.0,55.46
118.0,48.1
119.0,37.73
120.0,36.89
121.0,29.86
122.0,24.69
123.0,24.07
124.0,23.67
125.0,24.5
126.0,28.64
127.0,43.74
128.0,70.75
129.0,77.51
130.0,79.09
131.0,75.54
132.0,67.06
133.0,58.69
134.0,57.75
135.0,52.19
136.0,43.52
137.0,44.24
138.0,63.62
139.0,87.82
140.0,88.06
141.0,76.52
142.0,66.72
143.0,56.04
144.0,45.79
145.0,58.49
146.0,48.8
147.0,43.91
148.0,45.23
149.0,46.58
150.0,54.74
151.0,67.5
152.0,113.43
153.0,128.11
154.0,113.8
155.0,102.67
156.0,91.37
157.0,85.62
158.0,81.6
159.0,74.22
160.0,76.32
161.0,77.06
162.0,93.78
163.0,132.94
164.0,115.65
165.0,103.97
166.0,91.07
167.0,80.45
168.0,69.79
169.0,83.45
170.0,58.39
171.0,53.87
172.0,51.35
173.0,55.96
174.0,55.98
175.0,77.29
176.0,128.32
177.0,122.94
178.0,108.15
179.0,89.94
180.0,99.77
181.0,87.33
182.0,82.63
183.0,72.44
184.0,67.5
185.0,64.75
186.0,85.77
187.0,127.52
188.0,118.93
189.0,97.83
190.0,84.01
191.0,65.44
192.0,42.4
193.0,42.79
194.0,35.08
195.0,33.65
196.0,28.7
197.0,29.67
198.0,30.3
199.0,44.04
200.0,68.86
201.0,83.44
202.0,68.92
203.0,65.29
204.0,62.31
205.0,54.98
206.0,50.07
207.0,46.03
208.0,44.72
209.0,42.76
210.0,53.35
211.0,73.6
212.0,62.28
213.0,56.4
214.0,51.24
215.0,54.17
216.0,48.24
217.0,33.27
218.0,26.93
219.0,27.19
220.0,27.16
221.0,27.01
222.0,30.87
223.0,38.13
224.0,46.27
225.0,46.69
226.0,40.21
227.0,38.8
228.0,38.05
229.0,34.49
230.0,32.5
231.0,31.55
232.0,33.86
233.0,35.09
234.0,45.74
235.0,56.49
236.0,52.27
237.0,45.85
238.0,37.18
239.0,32.17
240.0,30.82
241.0,32.01
242.0,29.01
243.0,26.16
244.0,24.17
245.0,21.62
246.0,21.24
247.0,22.94
248.0,27.29
249.0,29.49
250.0,28.94
251.0,31.16
252.0,30.41
253.0,28.32
254.0,27.75
255.0,29.26
