hour,price
1,15.57
2,15.22
3,13.29
4,12.19
5,11.51
6,12.92
7,15.23
8,16.21
9,17.08
10,16.8
11,17.71
12,17.62
13,17.49
14,16.97
15,15.99
16,16.01
17,16.78
18,19.54
19,21.19
20,20.46
21,19.96
22,19.17
23,18.95
24,18.5
25,17.62
26,17.84
27,17.33
28,17.19
29,17.05
30,17.37
31,18.75
32,18.89
33,20.22
34,20.51
35,21.05
36,21.01
37,20.15
38,19.59
39,19.13
40,18.31
41,18.61
42,21.06
43,23.07
44,21.05
45,20.26
46,19.88
47,19.09
48,18.02
49,15.69
50,14.08
51,14.93
52,15.46
53,15.78
54,16.22
55,17.02
56,17.39
57,18.26
58,19.2
59,20.67
60,20.72
61,20.22
62,19.91
63,19.62
64,19.94
65,19.71
66,23.4
67,25.19
68,24.27
69,23.46
70,22.07
71,19.7
72,20.07
73,19.07
74,19.37
75,18.39
76,18.38
77,19.11
78,21.12
79,23.5
80,32.05
81,29.63
82,27.97
83,26.24
84,25.04
85,23.85
86,22.43
87,20.75
88,20.48
89,21.8
90,25.17
91,28.51
92,23.74
93,21.92
94,20.57
95,18.9
96,15.58
97,12.47
98,9.71
99,9.17
100,9.15
101,8.69
102,11.73
103,17.69
104,21.47
105,19.51
106,16.93
107,17.15
108,17.65
109,16.59
110,16.79
111,16.98
112,15.35
113,15.88
114,20.08
115,21.19
116,19.36
117,19.17
118,17.73
119,16.45
120,15.47
121,18.52
122,17.34
123,16.62
124,16.28
125,16.67
126,18.11
127,20.17
128,26.61
129,23.43
130,22.63
131,23.4
132,22.24
133,21.64
134,20.73
135,19.99
136,20.11
137,20.49
138,23.38
139,25.17
140,23.35
141,22.94
142,22.33
143,19.94
144,19.76
145,18.82
146,18.84
147,18.95
148,18.69
149,18.93
150,20.02
151,24.5
152,27.55
153,25.14
154,24.69
155,24.49
156,23.83
157,24.13
158,24.05
159,23.02
160,23.83
161,22.79
162,26.26
163,27.8
164,25.9
165,24.04
166,22.56
167,20.82
168,19.16
169,19.78
170,18.99
171,18.37
172,18.17
173,18.29
174,20.13
175,22.61
176,24.88
177,24.92
178,24.25
179,23.16
180,22.81
181,22.61
182,21.98
183,22.04
184,20.31
185,20.16
186,21.9
187,23.02
188,21.54
189,20.96
190,20.17
191,19.03
192,18.76
193,17.01
194,16.14
195,15.43
196,14.25
197,14.57
198,15.76
199,16.59
200,17.76
201,18.71
202,19.85
203,20.43
204,20.16
205,19.67
206,19.14
207,18.43
208,17.76
209,18.64
210,22.13
211,24.89
212,23.13
213,22.71
214,20.68
215,20.85
216,20.75
217,19.84
218,19.13
219,18.31
220,16.95
