smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,prefix
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1358671718.89,22577.6692192,1358674469.75,1358694739.16,1358643196.89,1358646502.12,1358693084.45,4.0,509751147.372,0.00391300505149,0.125226860254,0.249996693157,1.7334191682000001e-13,0.124990974078,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1278914939.59,81944.4167796,1278894870.86,1279027831.13,1278842185.52,1278846261.85,1279011713.56,4.0,6714887441.34,0.00391310857042,0.125226860254,0.250003306843,1.7334191682000001e-13,0.124990974078,11
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1199024718.84,225151.59558,1199080269.43,1199222046.34,1198716290.16,1198759345.04,1199212321.81,4.0,50693240992.2,0.00391310857042,0.125226860254,0.250003306843,1.7334191682000001e-13,0.124990974078,16
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1119233079.77,221166.660479,1119252224.7,1119425430.84,1119002438.83,1119014847.99,1119424508.64,4.0,48914691707.4,0.00195655946116,0.125226860254,0.125001984106,1.7334191682000001e-13,0.124990974078,21
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1048407076.24,1225750.00357,1048286293.71,1049988796.97,1047066920.55,1047204782.22,1049778465.79,4.0,1502463071250.0,0.0155975623434,0.249546279492,0.249996693157,1.7334191682000001e-13,0.250018051845,32
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,968160028.602,1366170.44583,968437159.834,969278963.763,966486830.979,966654148.028,969277925.452,4.0,1866421687070.0,0.0155979749784,0.249546279492,0.250003306843,1.7334191682000001e-13,0.250018051845,37
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,966037829.917,2259237.49822,965767669.335,968981809.899,963634171.1,963864077.482,968589807.167,4.0,5104154073370.0,0.00391345630072,0.125226860254,0.124994709051,1.7334191682000001e-13,0.250018051845,26
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,956806231.823,1228678.34389,956850866.345,958158269.286,955364925.315,955504327.139,958045648.175,4.0,1509650472740.0,0.00782714037597,0.125226860254,0.249996693157,1.7334191682000001e-13,0.250018051845,31
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,889351756.339,1249511.40792,889687308.547,890410705.876,887621702.386,887869317.269,890364422.317,4.0,1561278758530.0,0.0155979749784,0.249546279492,0.250003306843,1.7334191682000001e-13,0.250018051845,42
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,876515694.887,1410834.03844,876205498.066,878412336.899,875239446.517,875305489.826,878160175.498,4.0,1990452684020.0,0.00782734744372,0.125226860254,0.250003306843,1.7334191682000001e-13,0.250018051845,36
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,821965578.571,3008458.37458,822120194.206,824613112.365,819008813.505,819118143.312,824596551.94,4.0,9050821791590.0,0.00779855422245,0.249546279492,0.124994709051,1.7334191682000001e-13,0.250018051845,53
