smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1194339492.77,1574872.8181,-1194652501.99,-1192152044.48,-1195900922.63,-1195729294.97,-1192511477.67,4.0,2480224393190.0,0.0155977097136,32,4.95258127397e-14,0.250018051845,0.249546279492,0.249999055196
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1208664008.28,13615501.4403,-1208689999.14,-1193606505.65,-1223669529.19,-1222505565.63,-1194786063.73,4.0,185381879471000.0,0.00779772866837,108,4.95258127397e-14,0.124990974078,0.249546279492,0.249999055196
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1210860551.3,4698715.2126,-1212432773.65,-1204062220.06,-1214514437.83,-1214341365.78,-1205178625.51,4.0,22077924649200.0,0.0155977097136,57,4.95258127397e-14,0.250018051845,0.249546279492,0.249999055196
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1215964445.42,25948572.6082,-1214003772.38,-1192348570.12,-1243501666.78,-1241875776.54,-1192798056.54,4.0,673328420403000.0,0.00391307159924,115,4.95258127397e-14,0.124990974078,0.125226860254,0.250000944804
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1241300727.54,13136033.0105,-1241081506.36,-1229038014.93,-1254001882.51,-1253585703.48,-1229322661.25,4.0,172555363253000.0,0.00391300948845,76,4.95258127397e-14,0.249981948155,0.125226860254,0.124998488314
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1267262270.07,8327768.08564,-1267318530.32,-1257074919.89,-1277337099.73,-1276010669.2,-1258435106.58,4.0,69351721288200.0,0.0155954573367,82,4.95258127397e-14,0.249981948155,0.249546279492,0.249999055196
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1268707913.65,672215.909755,-1268462865.47,-1268221646.52,-1269684277.15,-1269523760.57,-1268235134.2,4.0,451874229328.0,0.00391304202267,6,4.95258127397e-14,0.124990974078,0.125226860254,0.249999055196
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1293469483.09,7776035.96819,-1293444283.21,-1284092126.28,-1302897239.65,-1301706325.08,-1285267920.93,4.0,60466735378500.0,0.00782721432901,31,4.95258127397e-14,0.250018051845,0.125226860254,0.249999055196
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1325925767.41,46687385.8512,-1312798215.67,-1286788192.54,-1391318445.75,-1381625677.27,-1288604429.98,4.0,2179711997620000.0,0.00195650474422,101,4.95258127397e-14,0.124990974078,0.125226860254,0.124998488314
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1327138876.25,35142177.1721,-1322916259.57,-1294462314.74,-1368260671.13,-1364659492.68,-1295529923.18,4.0,1234972616400000.0,0.015652286397,89,4.95258127397e-14,0.249981948155,0.250453720508,0.250000944804
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1348682645.86,13799345.0494,-1350078524.06,-1330904733.26,-1363668802.04,-1362178630.54,-1333232431.69,4.0,190421923791000.0,0.00782721432901,56,4.95258127397e-14,0.250018051845,0.125226860254,0.249999055196
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1360735289.97,32187201.9983,-1353603777.56,-1329836497.24,-1405897107.53,-1398420620.61,-1333034076.72,4.0,1036015972480000.0,0.00782614319848,114,4.95258127397e-14,0.124990974078,0.250453720508,0.250000944804
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1397198452.1,37996174.0807,-1403996057.64,-1345440993.64,-1435360699.5,-1431735175.92,-1353145080.54,4.0,1443709244770000.0,0.00779772866837,107,4.95258127397e-14,0.124990974078,0.249546279492,0.249999055196
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1404566638.62,5394755.38848,-1403760039.28,-1399652453.41,-1411094022.52,-1410459324.0,-1399803192.33,4.0,29103385701500.0,0.00782608404535,81,4.95258127397e-14,0.249981948155,0.125226860254,0.249999055196
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1404825830.9,14710876.7144,-1403157609.81,-1388960556.15,-1424027547.81,-1421408498.63,-1390578672.68,4.0,216409893707000.0,0.0155978276082,63,4.95258127397e-14,0.250018051845,0.249546279492,0.250000944804
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1434065484.27,21130294.6606,-1426291896.54,-1418646200.43,-1465031943.59,-1459717692.6,-1419296298.78,4.0,446489352445000.0,0.0155955752144,88,4.95258127397e-14,0.249981948155,0.249546279492,0.250000944804
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1472310152.85,6209151.64229,-1470712510.15,-1466694559.38,-1481121031.72,-1479684771.6,-1467172233.88,4.0,38553564116900.0,0.0155978276082,37,4.95258127397e-14,0.250018051845,0.249546279492,0.250000944804
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1478543000.6,9035578.08937,-1479415381.05,-1468198657.13,-1487142583.16,-1486821657.0,-1469043011.56,4.0,81641671409200.0,0.00391307159924,120,4.95258127397e-14,0.124990974078,0.125226860254,0.250000944804
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1485307242.75,10867689.7409,-1482129987.58,-1476476365.78,-1500492630.05,-1498274363.19,-1476788279.54,4.0,118106680305000.0,0.00779778760718,113,4.95258127397e-14,0.124990974078,0.249546279492,0.250000944804
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1496957053.01,4395591.15322,-1496849378.04,-1491722481.68,-1502406974.29,-1501670435.84,-1492394415.14,4.0,19321221586300.0,0.0155978276082,62,4.95258127397e-14,0.250018051845,0.249546279492,0.250000944804
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1508385808.99,6559706.7618,-1507997617.46,-1501035267.0,-1516512734.04,-1515548504.99,-1501766581.13,4.0,43029752800800.0,0.00391304202267,106,4.95258127397e-14,0.124990974078,0.125226860254,0.249999055196
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1546200049.74,493766.329802,-1546310930.34,-1545544989.56,-1546633348.7,-1546616801.29,-1545628065.34,4.0,243805188446.0,0.00391307159924,11,4.95258127397e-14,0.124990974078,0.125226860254,0.250000944804
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1556284451.43,5032321.15146,-1555851147.76,-1550841855.09,-1562593655.11,-1561845727.83,-1551329800.17,4.0,25324256171400.0,0.0155955752144,87,4.95258127397e-14,0.249981948155,0.249546279492,0.250000944804
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1571984509.23,14617284.0081,-1566823161.56,-1560944333.39,-1593347380.4,-1589694945.13,-1561499960.06,4.0,213664991774000.0,0.00782727349068,36,4.95258127397e-14,0.250018051845,0.125226860254,0.250000944804
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1589204901.85,13487229.068,-1586907845.74,-1576018728.73,-1606985187.2,-1604686278.6,-1576939403.66,4.0,181905347932000.0,0.015652286397,94,4.95258127397e-14,0.249981948155,0.250453720508,0.250000944804
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1626565664.92,13520664.3715,-1625447555.97,-1612498045.93,-1642869501.82,-1641217917.94,-1613478764.43,4.0,182808365046000.0,0.00782727349068,61,4.95258127397e-14,0.250018051845,0.125226860254,0.250000944804
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1628126309.59,17474709.8757,-1623267461.87,-1613788141.67,-1652182172.95,-1648820612.42,-1614234393.58,4.0,305365485238000.0,0.00782614319848,119,4.95258127397e-14,0.124990974078,0.250453720508,0.250000944804
