smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,627275844.03,6657821.01725,629093148.057,633043759.858,617873320.148,619326391.603,632681070.82,4.0,44326580697700.0,1.7334191682000001e-13,0.00782578236135,79,0.250453720508,0.124994709051,0.249981948155
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,624570577.827,4540647.26637,623158224.745,630907665.7,621058196.117,621127469.407,629990980.561,4.0,20617477597600.0,1.7334191682000001e-13,0.00779855422245,52,0.249546279492,0.124994709051,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,565707384.185,3045002.32533,565924134.46,569037924.623,561943343.199,562374047.992,568737269.994,4.0,9272039161290.0,1.7334191682000001e-13,0.00391368407525,46,0.125226860254,0.125001984106,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,555471484.932,5136938.53005,556593395.977,560437620.662,548261527.111,549507874.221,559864420.18,4.0,26388137461500.0,1.7334191682000001e-13,0.015652020206,84,0.250453720508,0.249996693157,0.249981948155
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,553028565.26,4809352.82845,552156558.073,558781696.331,549019448.562,549031381.594,558246558.987,4.0,23129874628500.0,1.7334191682000001e-13,0.0155979749784,68,0.249546279492,0.250003306843,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,551658402.962,1222774.9634,551808151.506,552990503.979,550026804.855,550287231.003,552819926.958,4.0,1495178611120.0,1.7334191682000001e-13,0.0155979749784,62,0.249546279492,0.250003306843,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,515587261.267,3287651.51083,515626183.213,519566613.697,511530064.943,512106707.727,519013324.08,4.0,10808652456600.0,1.7334191682000001e-13,0.00782714037597,56,0.125226860254,0.249996693157,0.250018051845
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,485673143.997,8123228.38337,484025852.949,496293346.717,478347523.371,478657609.129,494994886.33,4.0,65986839368400.0,1.7334191682000001e-13,0.00195644559034,105,0.125226860254,0.124994709051,0.124990974078
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,479233209.927,6755965.32777,480733362.509,485725209.313,469740905.378,471344976.238,485021230.002,4.0,45643067510000.0,1.7334191682000001e-13,0.0156524342817,89,0.250453720508,0.250003306843,0.249981948155
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,478686673.726,4040607.36837,480499967.287,481068636.127,472678124.203,473767411.087,481067325.38,4.0,16326507905300.0,1.7334191682000001e-13,0.00779900812097,73,0.249546279492,0.125001984106,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,474689427.656,4108688.12259,474500345.551,479683555.203,470073464.321,470516939.811,479126630.449,4.0,16881318088700.0,1.7334191682000001e-13,0.0155979749784,67,0.249546279492,0.250003306843,0.250018051845
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,461440738.72,2154451.61661,461342736.408,464170806.023,458906676.041,459253399.63,463765281.046,4.0,4641661768300.0,1.7334191682000001e-13,0.0155953099878,83,0.249546279492,0.249996693157,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,460953401.668,1223079.40814,461309470.402,462000428.344,459194237.524,459489457.542,461918849.566,4.0,1495923238610.0,1.7334191682000001e-13,0.00779742807743,78,0.249546279492,0.124994709051,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,459565508.049,2329659.24859,460076032.026,461814988.989,456294979.155,456855309.666,461560972.863,4.0,5427312214550.0,1.7334191682000001e-13,0.00391345630072,51,0.125226860254,0.124994709051,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,436203618.425,3703214.75129,436285490.466,440003534.075,432239958.694,432495358.674,439797257.318,4.0,13713799494200.0,1.7334191682000001e-13,0.00782734744372,61,0.125226860254,0.250003306843,0.250018051845
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,401741969.276,6290893.60198,401741707.042,409413608.473,394070854.549,395114047.564,408370258.117,4.0,39575342311400.0,1.7334191682000001e-13,0.00391300505149,110,0.125226860254,0.249996693157,0.124990974078
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,401071513.672,4738406.97017,399314567.547,408072983.084,397583936.512,397843132.953,406759618.967,4.0,22452500615000.0,1.7334191682000001e-13,0.0156524342817,94,0.250453720508,0.250003306843,0.249981948155
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,389242316.649,4833775.18936,390283028.54,393545123.807,382858085.71,383659743.651,393367893.0,4.0,23365382581200.0,1.7334191682000001e-13,0.00779900812097,72,0.249546279492,0.125001984106,0.250018051845
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,375570310.499,2543908.84537,375543574.787,378608588.557,372585503.866,372909553.286,378268497.709,4.0,6471472213560.0,1.7334191682000001e-13,0.0155957225633,88,0.249546279492,0.250003306843,0.249981948155
