npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1619771411.02,2151368.78304,1619489260.04,1622273418.87,1617833705.13,1617877707.83,1622060125.58,4.0,4628387640640.0,41,0.250002917546,0.25,0.124645892351,0.00779045918698,8.47275451554e-14
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1592438551.69,5377640.03251,1594210975.88,1596532498.28,1584799756.73,1585965822.33,1596429887.18,4.0,28919012319300.0,84,0.249997082454,0.25,0.25,0.0156248176534,8.47275451554e-14
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1565327968.14,3716283.70992,1566338077.58,1568586605.07,1560049112.35,1560891464.76,1568350318.32,4.0,13810764612700.0,68,0.250002917546,0.25,0.25,0.0156251823466,8.47275451554e-14
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1534694754.77,1471686.32444,1534215195.84,1536784232.65,1533564394.75,1533595438.17,1536465453.88,4.0,2165860637540.0,62,0.250002387083,0.25,0.25,0.0156251491927,8.47275451554e-14
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1524565449.26,1922832.44377,1524721782.18,1526588955.9,1522229276.79,1522473652.42,1526438380.02,4.0,3697284606830.0,46,0.125001458773,0.25,0.124645892351,0.00389522959349,8.47275451554e-14
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1501384259.19,3896199.57178,1501149425.66,1505643128.01,1497595057.44,1497746746.33,1505350539.0,4.0,15180371103100.0,89,0.250002387083,0.25,0.25,0.0156251491927,8.47275451554e-14
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1484130576.98,4909133.21017,1483354791.14,1490814802.02,1478997923.62,1479622976.57,1489724277.57,4.0,24099588875200.0,78,0.124996154144,0.25,0.25,0.007812259634,8.47275451554e-14
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1477538166.17,4030947.79548,1477590806.27,1482409357.4,1472561694.73,1473263421.67,1481739214.53,4.0,16248540129900.0,56,0.249997082454,0.25,0.124645892351,0.00779027735693,8.47275451554e-14
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1471273871.83,2417784.09172,1471349705.75,1474028221.57,1468367854.23,1468685481.39,1473756094.77,4.0,5845679914180.0,73,0.125001458773,0.25,0.25,0.00781259117331,8.47275451554e-14
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1460080303.74,3022851.5554,1459725747.28,1463553688.01,1457316032.4,1457387871.53,1463269115.01,4.0,9137631526000.0,51,0.124996154144,0.25,0.124645892351,0.00389506429344,8.47275451554e-14
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1455762822.09,2851980.89893,1455594611.26,1459386342.37,1452475723.46,1452875651.29,1458885488.05,4.0,8133795047830.0,83,0.249997082454,0.25,0.25,0.0156248176534,8.47275451554e-14
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1436447560.37,1268528.85976,1436122279.1,1438256116.44,1435289566.84,1435407718.26,1437942796.26,4.0,1609165468050.0,67,0.250002917546,0.25,0.25,0.0156251823466,8.47275451554e-14
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1435778180.13,3216202.98691,1435548801.34,1439487973.92,1432527143.93,1432708010.35,1439169480.22,4.0,10343961653000.0,110,0.249997082454,0.125,0.125354107649,0.00391727014823,8.47275451554e-14
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1402750782.15,1976165.30177,1402539212.13,1404864757.21,1401059947.12,1401061935.88,1404735826.43,4.0,3905229299930.0,94,0.250002917546,0.25,0.25,0.0156251823466,8.47275451554e-14
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1380027055.59,4582472.53718,1380371341.52,1385005037.89,1374360501.41,1375005150.81,1384566960.05,4.0,20999054554000.0,61,0.250002387083,0.25,0.124645892351,0.00779044265698,8.47275451554e-14
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1355966259.84,6398725.36845,1355613097.77,1362873373.68,1349765470.14,1350002485.02,1362424461.56,4.0,40943686340800.0,88,0.250002387083,0.25,0.25,0.0156251491927,8.47275451554e-14
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1344546399.22,2367935.34001,1344423838.98,1347013733.51,1342324185.41,1342384457.07,1346879925.71,4.0,5607117774470.0,72,0.125001458773,0.25,0.25,0.00781259117331,8.47275451554e-14
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1338515597.09,6157270.53893,1337462866.04,1346698188.06,1332438468.23,1332899086.75,1345605930.91,4.0,37911980489600.0,115,0.250002387083,0.125,0.125354107649,0.00391735326786,8.47275451554e-14
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1333052094.7,6298318.7405,1332251538.71,1340020232.41,1327685068.97,1327696167.3,1339528800.48,4.0,39668818956900.0,104,0.124996154144,0.125,0.25,0.003906129817,8.47275451554e-14
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1304990788.51,2345592.06607,1305247083.7,1307584181.96,1301884804.66,1302385462.0,1307237301.74,4.0,5501802140430.0,99,0.125001458773,0.25,0.25,0.00781259117331,8.47275451554e-14
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1286748121.88,2055670.76977,1287643336.0,1288020469.77,1283685345.76,1284249984.61,1287992959.39,4.0,4225782313680.0,77,0.124996154144,0.25,0.25,0.007812259634,8.47275451554e-14
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1282312365.6,3236093.04295,1282929902.99,1285276108.1,1278113548.32,1278617589.12,1285142589.73,4.0,10472298182600.0,82,0.249997082454,0.25,0.25,0.0156248176534,8.47275451554e-14
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1280964140.59,5223206.76489,1281658251.23,1285430910.8,1275109149.11,1275543972.04,1285412554.26,4.0,27281888908800.0,66,0.250002917546,0.25,0.124645892351,0.00779045918698,8.47275451554e-14
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1278545412.2,5395523.06717,1279787866.33,1283407076.16,1271198839.98,1272213886.62,1283137501.99,4.0,29111669168400.0,109,0.249997082454,0.125,0.25,0.00781240882669,8.47275451554e-14
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1263557663.55,2679157.98195,1264302963.22,1265919613.69,1259705114.08,1260390324.79,1265681582.78,4.0,7177887492230.0,93,0.250002917546,0.25,0.25,0.0156251823466,8.47275451554e-14
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1253658825.26,5419281.64279,1253137586.47,1260451077.1,1247909051.0,1248386511.25,1259660873.58,4.0,29368613523900.0,120,0.250002917546,0.125,0.125354107649,0.00391736157982,8.47275451554e-14
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1188089016.07,870031.821093,1188221804.65,1189002977.99,1186909477.01,1187096285.28,1188895842.86,4.0,756955369715.0,71,0.125001458773,0.25,0.124645892351,0.00389522959349,8.47275451554e-14
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1185879166.22,3039723.32792,1185272330.57,1190091300.54,1182880703.18,1183186372.02,1189421530.32,4.0,9239917910280.0,87,0.250002387083,0.25,0.25,0.0156251491927,8.47275451554e-14
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1180569977.48,3802214.2074,1181541759.99,1183973489.93,1175222900.02,1176049486.61,1183729972.84,4.0,14456832879000.0,114,0.250002387083,0.125,0.25,0.00781257459634,8.47275451554e-14
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1167385739.13,2417437.88399,1166410837.31,1170971439.95,1165749841.95,1165815831.29,1170320509.52,4.0,5844005922930.0,98,0.125001458773,0.25,0.25,0.00781259117331,8.47275451554e-14
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1152142727.7,6507012.19175,1151581162.9,1160491726.35,1144916858.64,1145692156.46,1159379489.66,4.0,42341207663600.0,125,0.125001458773,0.125,0.125354107649,0.00195868078991,8.47275451554e-14
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1127823944.95,7440153.76433,1128877283.52,1135717651.72,1117823561.06,1119350408.63,1134822807.28,4.0,55355888036900.0,103,0.124996154144,0.125,0.25,0.003906129817,8.47275451554e-14
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1109976565.36,5342803.15877,1110955120.75,1115351799.12,1102644220.82,1103781392.74,1114801760.42,4.0,28545545593300.0,81,0.249997082454,0.25,0.124645892351,0.00779027735693,8.47275451554e-14
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1089617482.65,4204862.0523,1089770121.03,1094265575.21,1084664113.32,1085152304.44,1093868967.12,4.0,17680864878900.0,108,0.249997082454,0.125,0.25,0.00781240882669,8.47275451554e-14
