npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight
769.0,-457.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1608188377.8,4491830.041119999,1607672525.35,1614135986.96,1603272473.53,1603860760.41,1613238188.61,4.0,20176537118300.0,0.25,1.66935855854e-12,0.249579831933,0.12494433724199999,53,0.00779589667246
769.0,-457.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1599513354.76,16159813.5485,1605614527.76,1611180119.28,1575644244.23,1579952368.8,1610532698.52,4.0,261139573923000.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,63,0.015601054879399999
769.0,-457.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1598207506.22,6872522.2898699995,1597800327.95,1606984828.12,1590244540.85,1591276567.16,1605708494.85,4.0,47231562624800.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,68,0.015601054879399999
769.0,-457.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1596156681.95,9936907.85075,1597541449.78,1606750282.12,1582793546.13,1584871841.0,1605502847.94,4.0,98742137634200.0,0.25,1.66935855854e-12,0.249579831933,0.249962891495,58,0.015596424112200002
769.0,-457.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1595657147.26,7173530.60403,1597081144.76,1601831886.33,1586634413.17,1587612914.65,1601707783.36,4.0,51459541327000.0,0.25,1.66935855854e-12,0.249579831933,0.125018554253,73,0.00780052743971
769.0,-605.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1504223534.44,11520374.6098,1504441368.44,1515103109.52,1492908291.36,1493332036.64,1514810064.64,4.0,132719031151000.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,62,0.015601054879399999
769.0,-605.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1502296323.89,12087250.0745,1507150293.7,1510403331.37,1484481376.78,1487580089.6,1510217000.44,4.0,146101614363000.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,67,0.015601054879399999
769.0,-605.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1496571525.85,14241995.6072,1495712484.73,1511607326.83,1483253807.1,1483609204.37,1510736504.88,4.0,202834438874000.0,0.25,1.66935855854e-12,0.249579831933,0.125018554253,72,0.00780052743971
769.0,-605.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1484644424.73,11893447.2475,1479447306.91,1502306061.16,1477377023.93,1477436710.07,1499128104.34,4.0,141454087429000.0,0.25,1.66935855854e-12,0.249579831933,0.249962891495,57,0.015596424112200002
769.0,-605.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1450956970.4,11126526.947,1455843897.08,1457807667.69,1434332419.77,1437498492.02,1457573751.44,4.0,123799601903000.0,0.25,1.66935855854e-12,0.249579831933,0.12494433724199999,52,0.00779589667246
