smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1723359808.53,111615.644825,-1723359808.53,-1723280884.35,-1723438732.71,-1723430840.29,-1723288776.76,2.0,12458052169.6,0.0714285714286,0.0714534883721,9.835748238069999e-14,0.000364517961013,1,0.0714206061936
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1759289895.16,67762.0356566,-1759289895.16,-1759241980.16,-1759337810.15,-1759333018.65,-1759246771.66,2.0,4591693476.32,0.0714285714286,0.0714534883721,9.835748238069999e-14,0.000729082573159,65,0.142850352821
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1795086877.06,608285.435284,-1795086877.06,-1794656754.3,-1795516999.81,-1795473987.54,-1794699766.58,2.0,370011170779.0,0.0714285714286,0.0714534883721,9.835748238069999e-14,0.000729129224292,129,0.142859493254
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1831013534.51,845246.751264,-1831013534.51,-1830415854.8,-1831611214.22,-1831551446.25,-1830475622.77,2.0,714442070522.0,0.0714285714286,0.0714534883721,9.835748238069999e-14,0.000729129224292,193,0.142859493254
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,312588.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1866915603.51,133334.949535,-1866915603.51,-1866821321.46,-1867009885.55,-1867000457.35,-1866830749.66,2.0,17778208767.6,0.0714285714286,0.0714534883721,9.835748238069999e-14,0.000729133889406,257,0.142860407298
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,390736.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1902688911.23,148664.157419,-1902688911.23,-1902583789.8,-1902794032.67,-1902783520.53,-1902594301.94,2.0,22101031701.1,0.0714285714286,0.0714534883721,9.835748238069999e-14,0.000729133889406,321,0.142860407298
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,468883.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1939011200.13,454566.615642,-1939011200.13,-1938689773.0,-1939332627.27,-1939300484.56,-1938721915.71,2.0,206630808056.0,0.0714285714286,0.0714534883721,9.835748238069999e-14,0.000729129224292,385,0.142859493254
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2039904130.2,2094446.04046,-2039904130.2,-2038423133.2,-2041385127.2,-2041237027.5,-2038571232.9,2.0,4386704216390.0,0.142857142857,0.0714534883721,9.835748238069999e-14,0.00145816514632,66,0.142850352821
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2065131768.35,1076841.01231,-2065131768.35,-2064370326.77,-2065893209.93,-2065817065.77,-2064446470.92,2.0,1159586565790.0,0.142857142857,0.0714534883721,9.835748238069999e-14,0.000729035922026,2,0.0714206061936
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2074765012.76,479756.181992,-2074765012.76,-2074425773.91,-2075104251.61,-2075070327.73,-2074459697.8,2.0,230165994159.0,0.142857142857,0.0714534883721,9.835748238069999e-14,0.00145825844858,130,0.142859493254
