smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,657353301.229,13369.331745,657353222.602,657369727.888,657337031.825,657339323.124,657367389.413,4.0,178739031.307,0.00391300505149,6,1.7334191682000001e-13,0.124990974078,0.125226860254,0.249996693157
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,580182142.677,59583.8671018,580190626.782,580240354.617,580106962.527,580115450.977,580236956.63,4.0,3550237218.81,0.00391310857042,11,1.7334191682000001e-13,0.124990974078,0.125226860254,0.250003306843
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,502834240.15,38406.1410679,502839829.486,502874118.121,502783183.506,502790315.567,502870339.661,4.0,1475031671.73,0.00391310857042,16,1.7334191682000001e-13,0.124990974078,0.125226860254,0.250003306843
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,425740006.756,284097.739591,425728647.473,426088693.518,425414038.56,425448662.623,426047253.884,4.0,80711525640.7,0.00195655946116,21,1.7334191682000001e-13,0.124990974078,0.125226860254,0.125001984106
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,413012615.097,1158458.75096,413040729.287,414249729.525,411719272.289,411821367.199,414164503.13,4.0,1342026677670.0,0.0155975623434,32,1.7334191682000001e-13,0.250018051845,0.249546279492,0.249996693157
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,341334409.452,1679445.95198,340657137.967,343806690.691,340216671.182,340237403.787,343379595.196,4.0,2820538705630.0,0.00391345630072,26,1.7334191682000001e-13,0.250018051845,0.125226860254,0.124994709051
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,334791274.77,587737.437294,334880729.785,335342724.258,334060915.251,334138541.272,335318771.246,4.0,345435295197.0,0.0155979749784,37,1.7334191682000001e-13,0.250018051845,0.249546279492,0.250003306843
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,330022801.817,1829988.53824,329258658.335,332731900.376,328841990.222,328864072.105,332251332.405,4.0,3348858050070.0,0.00782714037597,31,1.7334191682000001e-13,0.250018051845,0.125226860254,0.249996693157
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,257626092.84,901961.608215,257522250.677,258753624.818,256706245.188,256770397.535,258627167.173,4.0,813534742694.0,0.0155979749784,42,1.7334191682000001e-13,0.250018051845,0.249546279492,0.250003306843
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,251887046.997,691078.914443,251859697.212,252666148.508,251162645.057,251209154.931,252603228.763,4.0,477590065987.0,0.00782734744372,36,1.7334191682000001e-13,0.250018051845,0.125226860254,0.250003306843
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,250688335.232,826019.932573,250761849.021,251593297.439,249636345.447,249769916.335,251503834.824,4.0,682308929008.0,0.00779855422245,53,1.7334191682000001e-13,0.250018051845,0.249546279492,0.124994709051
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,180754532.402,1425649.91481,180772322.729,182335864.506,179137619.645,179277729.689,182206428.658,4.0,2032477679580.0,0.00779900812097,47,1.7334191682000001e-13,0.250018051845,0.249546279492,0.125001984106
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,173228976.698,1708757.91979,173591585.817,174882497.924,170850237.232,171227225.009,174723075.619,4.0,2919853628450.0,0.00782734744372,41,1.7334191682000001e-13,0.250018051845,0.125226860254,0.250003306843
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,172603178.414,823166.032453,172431291.185,173697170.176,171852961.112,171890636.026,173556362.924,4.0,677602316984.0,0.0155975623434,58,1.7334191682000001e-13,0.250018051845,0.249546279492,0.249996693157
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,98507597.5044,3238025.10247,98482986.4044,102471710.848,94592706.3612,95108114.5915,101941535.957,4.0,10484806564200.0,0.00779855422245,52,1.7334191682000001e-13,0.250018051845,0.249546279492,0.124994709051
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,94647806.424,2910504.09505,93785808.6896,98645428.0374,92374180.2795,92409183.1728,98093226.5034,4.0,8471034087280.0,0.00391368407525,46,1.7334191682000001e-13,0.250018051845,0.125226860254,0.125001984106
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,93782583.8468,835399.510607,93497894.8175,95002606.4255,93131939.3267,93171912.3787,94791819.956,4.0,697892342323.0,0.0155979749784,63,1.7334191682000001e-13,0.250018051845,0.249546279492,0.250003306843
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,83195217.0037,2584522.28613,83119303.2959,86062636.7774,80479624.6456,80652303.0039,85844410.1944,4.0,6679755447510.0,0.0155975623434,57,1.7334191682000001e-13,0.250018051845,0.249546279492,0.249996693157
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,19175798.3024,2181732.12243,18871141.7922,21912036.5432,17048873.0821,17169116.9712,21608998.748,4.0,4759955054040.0,0.0155979749784,68,1.7334191682000001e-13,0.250018051845,0.249546279492,0.250003306843
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,13464457.5017,2982046.81097,12284002.1192,17893166.5557,11396659.2128,11525509.9545,17056042.5844,4.0,8892603182830.0,0.00782578236135,79,1.7334191682000001e-13,0.249981948155,0.250453720508,0.124994709051
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,3333457.38219,1622376.53214,2947529.3743,5499078.67099,1939692.10916,1986623.70025,5220590.27517,4.0,2632105612050.0,0.0155979749784,62,1.7334191682000001e-13,0.250018051845,0.249546279492,0.250003306843
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-30219179.4463,3078845.54264,-30905980.6538,-26319719.2996,-32745037.178,-32727002.7188,-26749834.4833,4.0,9479289875460.0,0.00782714037597,56,1.7334191682000001e-13,0.250018051845,0.125226860254,0.249996693157
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-49215770.4618,3195822.22575,-49333415.6389,-45453502.2039,-52742748.3655,-52443955.2082,-45822882.4675,4.0,10213279698600.0,0.00391345630072,51,1.7334191682000001e-13,0.250018051845,0.125226860254,0.124994709051
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-60829315.8759,1857559.71148,-61092059.1234,-58480883.7688,-62652261.4881,-62542615.9664,-58748175.2389,4.0,3450528081710.0,0.00779900812097,73,1.7334191682000001e-13,0.250018051845,0.249546279492,0.125001984106
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-63972541.3774,3797783.32427,-63766001.3489,-59739890.8971,-68618271.9148,-68094067.4388,-60140171.356,4.0,14423158178100.0,0.015652020206,84,1.7334191682000001e-13,0.249981948155,0.250453720508,0.249996693157
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-73134089.5854,2200866.42546,-73626698.4618,-70351613.9894,-74931347.4286,-74921607.9173,-70656918.8265,4.0,4843813022730.0,0.0155979749784,67,1.7334191682000001e-13,0.250018051845,0.249546279492,0.250003306843
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-109620100.19,1875394.38733,-109910817.131,-107072098.878,-111586667.621,-111351228.738,-107481967.926,4.0,3517104108020.0,0.00782734744372,61,1.7334191682000001e-13,0.250018051845,0.125226860254,0.250003306843
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-138903848.473,1923344.3066,-139132848.172,-136418413.792,-140931283.757,-140750575.913,-136736521.456,4.0,3699253321720.0,0.00779742807743,78,1.7334191682000001e-13,0.249981948155,0.249546279492,0.124994709051
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-141016860.641,2538713.44722,-141102083.07,-138143897.222,-143719379.202,-143532540.466,-138381869.415,4.0,6445065967070.0,0.0156524342817,89,1.7334191682000001e-13,0.249981948155,0.250453720508,0.250003306843
