smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-smr_capacity,PointProbability,prefix,ProbabilityWeight
240.0,-1e+200,ref,braidwood,illinois,covid,-658171315.084,1797875.99309,-658605643.48,-655593650.434,-660307429.458,-660132278.204,-655748444.654,10.0,3232358086520.0,0.125,0.00104166666667,1,0.125
480.0,-1e+200,ref,braidwood,illinois,covid,-1312662582.37,3991167.4301,-1312849449.85,-1306773554.86,-1320052496.5,-1317987564.75,-1307409713.06,10.0,15929417455100.0,0.25,0.00104166666667,2,0.25
720.0,-1e+200,ref,braidwood,illinois,covid,-1969973053.81,6333839.88577,-1966688514.04,-1963732649.87,-1980957622.33,-1979801180.17,-1964053982.41,10.0,40117527698600.0,0.25,0.00104166666667,3,0.25
960.0,-1e+200,ref,braidwood,illinois,covid,-2628868563.17,9480458.93766,-2630072991.89,-2616068342.24,-2641683391.49,-2640530039.52,-2616173949.23,10.0,89879101668700.0,0.25,0.00104166666667,4,0.25
1200.0,-1e+200,ref,braidwood,illinois,covid,-3288271023.08,9356685.47888,-3286654631.03,-3276396930.59,-3306552683.92,-3302591598.54,-3277706670.03,10.0,87547563150700.0,0.125,0.00104166666667,5,0.125
