smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,778381593.177,60386.4407029,778381593.177,778424292.839,778338893.515,778343163.481,778420022.872,2.0,3646522220.77,0.00115702305448,1.2171516948100001e-13,8,0.16666294341,0.0833344030397,0.0833064516129
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,720533782.213,79955.2495825,720533782.213,720590319.112,720477245.313,720482899.003,720584665.422,2.0,6392841935.8,0.00115706386701,1.2171516948100001e-13,15,0.166668822236,0.0833344030397,0.0833064516129
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,665721281.875,973428.283015,665721281.875,666409599.615,665032964.135,665101795.909,666340767.841,2.0,947562622173.0,0.00231507633897,1.2171516948100001e-13,51,0.0833282383511,0.166668806079,0.166693548387
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,662670662.841,142140.568388,662670662.841,662771171.401,662570154.282,662580205.138,662761120.545,2.0,20203941181.6,0.00115705978576,1.2171516948100001e-13,22,0.166668234354,0.0833344030397,0.0833064516129
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,607276563.831,612118.407493,607276563.831,607709396.908,606843730.755,606887014.062,607666113.601,2.0,374688944792.0,0.00463033234001,1.2171516948100001e-13,58,0.16666294341,0.166668806079,0.166693548387
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,604933973.589,328338.937533,604933973.589,605166144.278,604701802.9,604725019.969,605142927.209,2.0,107806457900.0,0.00115706386701,1.2171516948100001e-13,29,0.166668822236,0.0833344030397,0.0833064516129
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,549060463.745,733834.763417,549060463.745,549579363.282,548541564.207,548593454.161,549527473.329,2.0,538513459999.0,0.00463049566916,1.2171516948100001e-13,65,0.166668822236,0.166668806079,0.166693548387
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,547319143.768,12183.9005107,547319143.768,547327759.086,547310528.449,547311389.981,547326897.555,2.0,148447431.655,0.00115706386701,1.2171516948100001e-13,36,0.166668822236,0.0833344030397,0.0833064516129
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,545897483.756,1175436.06716,545897483.756,546728642.57,545066324.942,545149440.824,546645526.689,2.0,1381649947970.0,0.0011569781607,1.2171516948100001e-13,50,0.0833282383511,0.166668806079,0.0833064516129
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,541113706.769,733893.227378,541113706.769,541632647.647,540594765.892,540646659.979,541580753.559,2.0,538599269191.0,0.00231404610896,1.2171516948100001e-13,57,0.16666294341,0.166668806079,0.0833064516129
