smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,224263331.93,24734007.3669,232192132.265,267625803.249,190776695.664,192765628.066,257901316.125,10.0,611771120424000.0,0.250007275152,0.0156526827331,0.250453720508,0.249981948155,89,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,217790582.214,17227261.899,219295525.292,236543914.632,182568319.835,193211584.966,235357997.817,10.0,296778552538000.0,0.249992724848,0.0078270161323,0.125226860254,0.250018051845,56,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,202889543.005,26893080.4205,202162224.764,258654567.217,169268050.925,169938465.307,244360709.679,10.0,723237774505000.0,0.12498974865,0.00195636794902,0.125226860254,0.124990974078,105,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,189932541.635,20610565.1087,196185157.588,213337401.385,152204385.362,159772551.526,211549208.455,10.0,424795394102000.0,0.125002976198,0.00779907001867,0.249546279492,0.250018051845,72,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,177485793.55,23007715.2039,184226274.576,212682456.321,147964953.642,149455035.9,206585380.426,10.0,529354958905000.0,0.249992724848,0.0155950624366,0.249546279492,0.249981948155,83,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,173696605.892,28532446.8471,181267847.332,217077579.474,121574879.903,133852594.053,207225203.768,10.0,814100523081000.0,0.250007275152,0.0156526827331,0.250453720508,0.249981948155,94,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,172342308.273,14429359.1652,171694852.518,201749546.511,151921173.795,153554452.745,193952173.601,10.0,208206405919000.0,0.250007275152,0.00782747168739,0.125226860254,0.250018051845,61,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,134397766.179,31470913.0558,141826141.893,175023052.688,87239482.5372,88860740.2816,171036292.732,10.0,990418368565000.0,0.12498974865,0.0077971186374,0.249546279492,0.249981948155,78,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,133112990.835,39142347.5165,133042251.806,190326607.65,79908803.056,82587213.42,182629228.829,10.0,1532123369100000.0,0.249992724848,0.00391294293863,0.125226860254,0.124990974078,110,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,117072241.225,17015818.9498,114072758.407,143314613.606,85904601.922,94068255.9585,139792170.652,10.0,289538094532000.0,0.12498974865,0.00391330099566,0.125226860254,0.250018051845,51,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,115270011.63,29294128.7884,107545766.158,177404372.234,83602970.8203,83967499.7784,162033607.54,10.0,858145981469000.0,0.250007275152,0.0155959701145,0.249546279492,0.249981948155,88,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,107642183.907,17105816.9543,110365310.722,128164724.539,82864079.6891,84541929.4885,127836944.483,10.0,292608973673000.0,0.250007275152,0.00782747168739,0.125226860254,0.250018051845,66,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,101512237.143,30515866.7554,104238225.133,148972998.73,42119931.132,56055136.6124,138491103.134,10.0,931218123836000.0,0.250007275152,0.00391317068328,0.125226860254,0.124990974078,115,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,97654905.7724,25875550.1417,96166674.1121,136504671.952,56443805.7627,60386234.7551,131000492.049,10.0,669544095137000.0,0.125002976198,0.00782629995845,0.250453720508,0.249981948155,99,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,63661011.8864,19287294.6374,62904639.7703,89027542.1114,39229112.5174,40554157.9553,89015268.8724,10.0,371999734429000.0,0.250007275152,0.0155959701145,0.249546279492,0.249981948155,93,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,50353703.9629,21477762.6833,59845928.0328,74894228.9886,14143403.1593,17339824.9766,73801314.5047,10.0,461294289878000.0,0.125002976198,0.00391371513664,0.125226860254,0.250018051845,71,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,34421385.2033,43864814.579,32630075.1753,94711714.0907,-47118921.1893,-25092668.8135,93707938.6712,10.0,1924121958050000.0,0.250007275152,0.00391317068328,0.125226860254,0.124990974078,120,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,28462037.4722,16726889.4199,24584894.4845,63301518.6057,4573528.25015,9034093.49802,55458947.5367,10.0,279788829665000.0,0.249992724848,0.0155950624366,0.249546279492,0.249981948155,82,3.46688419418e-13
