smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,744382087.039,1589989.46858,744382087.039,745506379.374,743257794.704,743370223.937,745393950.141,2.0,2528066510180.0,3.6761913905299995e-14,1,0.000578514384402,0.0833344030397,0.0833318832638,0.0833064516129
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,469328.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,548625632.324,1609612.93643,548625632.324,549763800.546,547487464.101,547601280.924,549649983.724,2.0,2590853805130.0,3.6761913905299995e-14,50,0.00115704109551,0.0833344030397,0.166665542123,0.0833064516129
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,510146491.119,1963018.96776,510146491.119,511534555.142,508758427.095,508897233.497,511395748.74,2.0,3853443467780.0,3.6761913905299995e-14,9,0.00231513302667,0.16666559696,0.0833318832638,0.166693548387
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,375590070.193,4417186.84907,375590070.193,378713492.968,372466647.418,372778989.696,378401150.69,2.0,19511539659600.0,3.6761913905299995e-14,2,0.00115700649083,0.16666559696,0.0833318832638,0.0833064516129
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,351471865.187,3929361.5547,351471865.187,354250343.388,348693386.986,348971234.806,353972495.568,2.0,15439882227600.0,3.6761913905299995e-14,99,0.00115705342221,0.0833344030397,0.166667317718,0.0833064516129
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,469328.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,320181033.363,1156279.70017,320181033.363,320998646.58,319363420.146,319445181.467,320916885.258,2.0,1336982745030.0,3.6761913905299995e-14,58,0.00463031538307,0.16666559696,0.166665542123,0.166693548387
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,469328.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,246981797.963,1285638.09313,246981797.963,247890881.377,246072714.549,246163622.891,247799973.036,2.0,1652865306520.0,3.6761913905299995e-14,51,0.00231403763459,0.16666559696,0.166665542123,0.0833064516129
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,168367395.8,6238874.95589,168367395.8,172778946.588,163955845.011,164397000.09,172337791.509,2.0,38923560715300.0,3.6761913905299995e-14,10,0.00231513302667,0.16666559696,0.0833318832638,0.166693548387
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,149684932.915,1736126.7098,149684932.915,150912559.884,148457305.945,148580068.642,150789797.187,2.0,3014135952490.0,3.6761913905299995e-14,148,0.00115705342221,0.0833344030397,0.166667317718,0.0833064516129
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,116189593.103,1298758.10735,116189593.103,117107953.767,115271232.438,115363068.504,117016117.701,2.0,1686772621400.0,3.6761913905299995e-14,107,0.0046303647128,0.16666559696,0.166667317718,0.166693548387
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,469328.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,85936384.6727,5943848.07044,85936384.6727,90139319.9496,81733449.3957,82153742.9234,89719026.422,2.0,35329329884500.0,3.6761913905299995e-14,66,0.00463031538307,0.16666559696,0.166665542123,0.166693548387
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,66674193.0212,1925372.09828,66674193.0212,68035636.6882,65312749.3542,65448893.7209,67899492.3215,2.0,3707057716840.0,3.6761913905299995e-14,25,0.00231405753761,0.166668806079,0.0833318832638,0.166612903226
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,46873051.9892,6272726.94121,46873051.9892,51308539.7459,42437564.2326,42881113.0083,50864990.9702,2.0,39347103279000.0,3.6761913905299995e-14,100,0.00231406228753,0.16666559696,0.166667317718,0.0833064516129
720.0,-667.0,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,45941162.5583,583833.393255,45941162.5583,46353995.1098,45528330.0069,45569613.262,46312711.8546,2.0,340861431080.0,3.6761913905299995e-14,3,0.00115700649083,0.16666559696,0.0833318832638,0.0833064516129
