npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,305842.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,947867314.329,146673.201279,947867314.329,947971027.944,947763600.713,947773972.075,947960656.582,2.0,21513027973.4,191,0.0555566454786,0.000343690080463,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,946070883.591,291754.896457,946070883.591,946277185.457,945864581.725,945885211.912,946256555.27,2.0,85120919606.5,242,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,941521649.297,71696.8838854,941521649.297,941572346.65,941470951.944,941476021.679,941567276.914,2.0,5140443158.87,221,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,937452395.046,71079.8711689,937452395.046,937502656.104,937402133.987,937407160.093,937497629.999,2.0,5052348085.39,201,0.0555402966334,0.000343734777315,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,169912.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,931590061.801,821181.688279,931590061.801,932170724.941,931009398.661,931067464.975,932112658.627,2.0,674339365164.0,252,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101947.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,926583443.399,180515.769113,926583443.399,926711087.324,926455799.475,926468563.867,926698322.931,2.0,32585942898.5,231,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,917489122.596,803658.222868,917489122.596,918057394.775,916920850.416,916977677.634,918000567.557,2.0,645866539183.0,262,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,914192877.911,203840.184228,914192877.911,914337014.687,914048741.134,914063154.812,914322601.01,2.0,41550820706.3,313,0.111098576997,0.0013751617092,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,912328650.804,1047043.61467,912328650.804,913069022.444,911588279.164,911662316.328,912994985.28,2.0,1096300331030.0,241,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,910932349.792,219964.966912,910932349.792,911087888.512,910776811.072,910792364.944,911072334.64,2.0,48384586668.5,303,0.0555402966334,0.00068746955463,0.111137306677,7.306929298600001e-13,0.111374407583
