smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1617845660.37,1877049.07401,-1618035946.2,-1615417947.87,-1619892801.21,-1619682432.13,-1615742488.45,4.0,3523313226240.0,0.250003306843,63,0.250018051845,1.7334191682000001e-13,0.0155979749784,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1644865098.57,1622380.87173,-1645523654.12,-1642475140.89,-1645937945.14,-1645919025.28,-1642889194.08,4.0,2632119692950.0,0.250003306843,68,0.250018051845,1.7334191682000001e-13,0.0155979749784,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1677464480.54,559520.339192,-1677671602.06,-1676660994.15,-1677853723.9,-1677851570.24,-1676787420.71,4.0,313063009969.0,0.125001984106,73,0.250018051845,1.7334191682000001e-13,0.00779900812097,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1708940041.55,2051766.76556,-1709200097.67,-1706330555.97,-1711029414.9,-1710876835.71,-1706639168.83,4.0,4209746860260.0,0.249996693157,57,0.250018051845,1.7334191682000001e-13,0.0155975623434,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1719575917.15,1191750.94145,-1719544723.17,-1718326019.76,-1720888202.49,-1720791387.06,-1718404118.8,4.0,1420270306440.0,0.124994709051,52,0.250018051845,1.7334191682000001e-13,0.00779855422245,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1737780532.55,3342535.05825,-1737556726.34,-1734848163.67,-1741160513.84,-1741008129.7,-1734866264.09,4.0,11172540615600.0,0.250003306843,62,0.250018051845,1.7334191682000001e-13,0.0155979749784,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1769986753.82,1729943.90746,-1770029064.37,-1768033710.19,-1771855176.34,-1771718292.38,-1768195980.48,4.0,2992705922950.0,0.250003306843,67,0.250018051845,1.7334191682000001e-13,0.0155979749784,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1805568785.92,3331688.24719,-1804601529.28,-1802751806.95,-1810320278.17,-1809564046.95,-1802927684.19,4.0,11100146576500.0,0.125001984106,72,0.250018051845,1.7334191682000001e-13,0.00779900812097,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1833407918.57,2148097.02579,-1833486019.58,-1830705978.64,-1835953656.46,-1835607109.64,-1831099386.07,4.0,4614320832220.0,0.249996693157,56,0.250018051845,1.7334191682000001e-13,0.00782714037597,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1863061231.17,1132272.94922,-1862921480.55,-1861957091.1,-1864444872.46,-1864303407.44,-1862014705.75,4.0,1282042031540.0,0.124994709051,51,0.250018051845,1.7334191682000001e-13,0.00391345630072,0.125226860254
