npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2222864791.98,32303823.975,2222864791.98,2245707044.97,2200022538.99,2202306764.29,2243422819.67,2.0,1043537043410000.0,50,1.21200144652e-13,0.124987287705,0.249995232956,0.125,0.00390577826328
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2201958162.02,11960316.4549,2201958162.02,2210415382.89,2193500941.15,2194346663.24,2209569660.8,2.0,143049169702000.0,19,1.21200144652e-13,0.25,0.124992849434,0.25,0.00781205308962
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2186002212.58,12864084.1289,2186002212.58,2195098493.7,2176905931.46,2177815559.57,2194188865.59,2.0,165484660474000.0,75,1.21200144652e-13,0.124987287705,0.250004767044,0.125,0.00390592721826
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2172509852.64,32119764.7668,2172509852.64,2195221956.12,2149797749.16,2152068959.51,2192950745.77,2.0,1031679288680000.0,25,1.21200144652e-13,0.124987287705,0.124992849434,0.125,0.00195281465415
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2132843043.77,15762215.0989,2132843043.77,2143988612.95,2121697474.59,2122812031.51,2142874056.04,2.0,248447424825000.0,13,1.21200144652e-13,0.250025424591,0.124992849434,0.25,0.00781284756262
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2129200463.05,94482420.5907,2129200463.05,2196009623.35,2062391302.74,2069072218.77,2189328707.32,2.0,8926927800680000.0,44,1.21200144652e-13,0.25,0.249995232956,0.25,0.0156247020597
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2098216936.99,19745336.3267,2098216936.99,2112178998.2,2084254875.78,2085651081.9,2110782792.08,2.0,389878306655000.0,38,1.21200144652e-13,0.250025424591,0.249995232956,0.25,0.0156262910664
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2086622930.54,16166474.1342,2086622930.54,2098054354.02,2075191507.05,2076334649.4,2096911211.68,2.0,261354885933000.0,7,1.21200144652e-13,0.25,0.124992849434,0.25,0.00781205308962
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2080827028.55,8057539.2818,2080827028.55,2086524569.22,2075129487.89,2075699241.95,2085954815.15,2.0,64923939277700.0,69,1.21200144652e-13,0.25,0.250004767044,0.25,0.0156252979403
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2073934286.36,15752387.3777,2073934286.36,2085072906.3,2062795666.43,2063909528.42,2083959044.3,2.0,248137708097000.0,1,1.21200144652e-13,0.124987287705,0.124992849434,0.125,0.00195281465415
