smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,760750339.1,2045131.425,760750339.1,762196465.399,759304212.801,759448825.431,762051852.769,2.0,4182562545540.0,0.25,0.124991181658,0.25,2.43433201164e-13,27,0.00781194885362
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,709979809.357,20795106.5474,709979809.357,724684170.212,695275448.501,696745884.587,723213734.126,2.0,432436456318000.0,0.25,0.249994121105,0.25,2.43433201164e-13,32,0.0156246325691
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,669759544.646,13258085.6252,669759544.646,679134426.897,660384662.395,661322150.62,678196938.672,2.0,175776834444000.0,0.25,0.249994121105,0.125,2.43433201164e-13,31,0.00781231628454
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,661542653.77,7271819.03818,661542653.77,666684606.323,656400701.216,656914896.472,666170411.068,2.0,52879352124100.0,0.25,0.250005878895,0.25,2.43433201164e-13,37,0.0156253674309
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,598473872.534,11183832.3988,598473872.534,606382036.263,590565708.805,591356525.178,605591219.89,2.0,125078107125000.0,0.25,0.250005878895,0.25,2.43433201164e-13,42,0.0156253674309
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,595937155.208,6199089.47673,595937155.208,600320573.414,591553737.002,591992078.823,599882231.594,2.0,38428710340600.0,0.25,0.250005878895,0.125,2.43433201164e-13,36,0.00781268371546
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,582749657.359,11340905.1754,582749657.359,590768888.314,574730426.405,575532349.5,589966965.218,2.0,128616130198000.0,0.25,0.124991181658,0.125,2.43433201164e-13,26,0.00390597442681
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,543619803.388,16701124.3642,543619803.388,555429281.679,531810325.097,532991272.926,554248333.85,2.0,278927555028000.0,0.25,0.250005878895,0.125,2.43433201164e-13,41,0.00781268371546
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,541229623.093,16698406.6219,541229623.093,553037179.651,529422066.536,530602822.192,551856423.995,2.0,278836783709000.0,0.25,0.125002939447,0.25,2.43433201164e-13,47,0.00781268371546
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,512045982.43,575111.787529,512045982.43,512452647.875,511639316.985,511679983.529,512411981.33,2.0,330753568155.0,0.25,0.125002939447,0.125,2.43433201164e-13,46,0.00390634185773
