smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-293003695.494,127935.57596,-293003695.494,-292913231.381,-293094159.608,-293085113.196,-292922277.792,2.0,16367511596.2,0.249920051167,0.250024939646,63,0.25,0.0156215614274,2.57276850496e-11
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-302913863.213,216904.771997,-302913863.213,-302760488.377,-303067238.048,-303051900.564,-302775825.861,2.0,47047680115.1,0.249920051167,0.250024939646,88,0.25,0.0156215614274,2.57276850496e-11
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-307542221.47,71998.7460721,-307542221.47,-307491310.668,-307593132.272,-307588041.191,-307496401.749,2.0,5183819435.96,0.249920051167,0.249975060354,33,0.25,0.0156184449685,2.57276850496e-11
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-309738914.829,198867.783228,-309738914.829,-309598294.071,-309879535.587,-309865473.511,-309612356.147,2.0,39548395205.9,0.249920051167,0.124962590531,8,0.25,0.00780766425487,2.57276850496e-11
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-313836138.564,28701.7963774,-313836138.564,-313815843.33,-313856433.799,-313854404.276,-313817872.853,2.0,823793115.288,0.249920051167,0.125012469823,113,0.25,0.00781078071368,2.57276850496e-11
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-318388890.216,151497.862539,-318388890.216,-318281765.05,-318496015.382,-318485302.866,-318292477.567,2.0,22951602353.8,0.249920051167,0.250024939646,58,0.25,0.0156215614274,2.57276850496e-11
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-324832721.45,53631.1712592,-324832721.45,-324794798.485,-324870644.415,-324866852.118,-324798590.781,2.0,2876302530.64,0.250079948833,0.124962590531,19,0.25,0.00781265956149,2.57276850496e-11
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-328599817.716,592231.205434,-328599817.716,-328181047.014,-329018588.417,-328976711.347,-328222924.084,2.0,350737800690.0,0.249920051167,0.250024939646,83,0.25,0.0156215614274,2.57276850496e-11
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-335248135.84,118481.403955,-335248135.84,-335164356.836,-335331914.844,-335323536.944,-335172734.736,2.0,14037843083.2,0.250079948833,0.249975060354,44,0.25,0.0156284375757,2.57276850496e-11
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-336301396.945,245450.983892,-336301396.945,-336127836.89,-336474957.0,-336457600.995,-336145192.896,2.0,60246185493.4,0.249920051167,0.249975060354,28,0.125,0.00780922248427,2.57276850496e-11
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-339779187.948,272444.741288,-339779187.948,-339586540.424,-339971835.472,-339952570.719,-339605805.176,2.0,74226137055.7,0.249920051167,0.125012469823,108,0.25,0.00781078071368,2.57276850496e-11
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-345906882.045,243348.663027,-345906882.045,-345734808.556,-346078955.535,-346061748.186,-345752015.905,2.0,59218571796.9,0.250079948833,0.250024939646,69,0.25,0.0156315560284,2.57276850496e-11
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-347595039.817,181324.507988,-347595039.817,-347466824.028,-347723255.607,-347710434.028,-347479645.607,2.0,32878577197.2,0.249920051167,0.250024939646,53,0.125,0.00781078071368,2.57276850496e-11
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-348129260.086,173296.2705,-348129260.086,-348006721.118,-348251799.054,-348239545.157,-348018975.015,2.0,30031597369.4,0.249920051167,0.124962590531,3,0.125,0.00390383212743,2.57276850496e-11
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-356935220.576,364920.964508,-356935220.576,-356677182.487,-357193258.665,-357167454.856,-356702986.296,2.0,133167310337.0,0.250079948833,0.250024939646,94,0.25,0.0156315560284,2.57276850496e-11
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-358453141.933,45282.7910669,-358453141.933,-358421122.164,-358485161.702,-358481959.725,-358424324.141,2.0,2050531166.81,0.249920051167,0.250024939646,78,0.125,0.00781078071368,2.57276850496e-11
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-362095531.815,16932.1432822,-362095531.815,-362083558.981,-362107504.648,-362106307.365,-362084756.265,2.0,286697476.129,0.250079948833,0.249975060354,39,0.25,0.0156284375757,2.57276850496e-11
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-363629346.183,313851.754606,-363629346.183,-363407419.479,-363851272.887,-363829080.217,-363429612.15,2.0,98502923869.5,0.250079948833,0.124962590531,14,0.25,0.00781265956149,2.57276850496e-11
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-366878903.941,749343.466708,-366878903.941,-366349038.094,-367408769.788,-367355783.203,-366402024.679,2.0,561515631097.0,0.250079948833,0.125012469823,119,0.25,0.0078157780142,2.57276850496e-11
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-369191489.998,389687.033103,-369191489.998,-368915939.654,-369467040.341,-369439485.307,-368943494.688,2.0,151855983769.0,0.249920051167,0.125012469823,103,0.125,0.00390539035684,2.57276850496e-11
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-373027498.559,36043.9068565,-373027498.559,-373002011.668,-373052985.45,-373050436.761,-373004560.357,2.0,1299163221.48,0.250079948833,0.250024939646,64,0.25,0.0156315560284,2.57276850496e-11
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-373417920.173,1799.25536086,-373417920.173,-373416647.908,-373419192.439,-373419065.213,-373416775.134,2.0,3237319.8536,0.125039974416,0.124962590531,25,0.125,0.00195316489037,2.57276850496e-11
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-384007664.532,61626.001606,-384007664.532,-383964088.369,-384051240.696,-384046883.08,-383968445.985,2.0,3797764073.94,0.250079948833,0.250024939646,89,0.25,0.0156315560284,2.57276850496e-11
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-384288239.652,199561.800513,-384288239.652,-384147128.149,-384429351.154,-384415240.004,-384161239.3,2.0,39824912224.0,0.125039974416,0.249975060354,50,0.125,0.00390710939392,2.57276850496e-11
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-393854848.148,440841.075257,-393854848.148,-393543126.434,-394166569.862,-394135397.69,-393574298.606,2.0,194340853634.0,0.125039974416,0.250024939646,75,0.125,0.0039078890071,2.57276850496e-11
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-393935843.676,29982.8993956,-393935843.676,-393914642.565,-393957044.788,-393954924.677,-393916762.676,2.0,898974256.167,0.250079948833,0.249975060354,34,0.25,0.0156284375757,2.57276850496e-11
