npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-58179457.1805,279805.802616,-58179457.1805,-57981604.6001,-58377309.761,-58357524.5029,-58001389.8581,2.0,78291287177.7,25,0.00195769405898,0.12498630137,0.125333333333,0.124972890913,1.0563053673200001e-12
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-85590881.5738,1461950.23287,-85590881.5738,-84557126.6504,-86624636.4973,-86521261.0049,-84660502.1428,2.0,2137298483370.0,50,0.00391567420506,0.24999086758,0.125333333333,0.124972890913,1.0563053673200001e-12
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-116530550.429,2242829.47428,-116530550.429,-114944630.499,-118116470.36,-117957878.367,-115103222.492,2.0,5030284050680.0,75,0.00391596029216,0.25000913242,0.125333333333,0.124972890913,1.0563053673200001e-12
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-146048326.923,806716.442302,-146048326.923,-145477892.257,-146618761.59,-146561718.124,-145534935.723,2.0,650791418280.0,100,0.00391596029216,0.25000913242,0.125333333333,0.124972890913,1.0563053673200001e-12
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-161570031.279,1246347.05437,-161570031.279,-160688730.825,-162451331.733,-162363201.688,-160776860.871,2.0,1553380979930.0,20,0.00389456158541,0.12498630137,0.249333333333,0.124972890913,1.0563053673200001e-12
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-165205146.455,698974.916166,-165205146.455,-164710896.552,-165699396.358,-165649971.368,-164760321.543,2.0,488565933429.0,45,0.00778969230155,0.24999086758,0.249333333333,0.124972890913,1.0563053673200001e-12
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-174837849.283,193767.769491,-174837849.283,-174700834.779,-174974863.787,-174961162.337,-174714536.23,2.0,37545948493.6,125,0.00195798014608,0.12500456621,0.125333333333,0.124972890913,1.0563053673200001e-12
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-194116192.089,294215.585972,-194116192.089,-193908150.253,-194324233.925,-194303429.741,-193928954.436,2.0,86562811029.1,70,0.00779026143228,0.25000913242,0.249333333333,0.124972890913,1.0563053673200001e-12
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-222852762.496,1446810.60451,-222852762.496,-221829712.907,-223875812.086,-223773507.127,-221932017.865,2.0,2093260925320.0,95,0.00779026143228,0.25000913242,0.249333333333,0.124972890913,1.0563053673200001e-12
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-252500549.587,1167652.48942,-252500549.587,-251674894.593,-253326204.58,-253243639.081,-251757460.093,2.0,1363412336050.0,40,0.00778969230155,0.24999086758,0.249333333333,0.124972890913,1.0563053673200001e-12
