hour,price
1,16.17
2,16.46
3,16.36
4,17.04
5,17.38
6,18.97
7,17.89
8,18.3
9,20.12
10,21.79
11,21.64
12,22.14
13,21.71
14,21.18
15,20.14
16,20.58
17,20.24
18,22.69
19,21.84
20,21.47
21,21.47
22,20.07
23,20.47
24,19.25
25,17.71
26,17.74
27,19.04
28,19.11
29,19.14
30,18.92
31,19.42
32,19.51
33,19.95
34,20.55
35,20.44
36,20.7
37,19.59
38,19.08
39,18.16
40,17.71
41,18.18
42,20.86
43,20.83
44,19.67
45,18.49
46,18.3
47,17.86
48,15.94
49,16.16
50,15.79
51,15.59
52,15.95
53,16.18
54,16.35
55,16.41
56,17.07
57,18.61
58,19.6
59,19.19
60,19.96
61,20.01
62,19.98
63,19.69
64,18.72
65,19.17
66,21.84
67,20.94
68,20.41
69,18.97
70,18.34
71,17.69
72,16.53
73,16.93
74,15.17
75,13.99
76,14.33
77,14.54
78,15.19
79,18.53
80,20.9
81,19.81
82,18.96
83,17.96
84,15.58
85,14.09
86,14.25
87,12.94
88,11.03
89,11.61
90,15.18
91,14.61
92,14.44
93,14.95
94,15.25
95,14.71
96,15.07
97,18.21
98,17.66
99,18.17
100,18.64
101,18.73
102,20.07
103,23.87
104,32.02
105,30.4
106,29.65
107,28.15
108,25.76
109,21.35
110,20.53
111,19.39
112,18.23
113,19.73
114,24.07
115,23.51
116,22.42
117,20.35
118,19.69
119,17.57
120,16.24
121,17.19
122,16.06
123,14.66
124,14.92
125,15.17
126,16.67
127,21
128,23.76
129,25.68
130,22.77
131,21.65
132,21.63
133,20.63
134,20.56
135,19.01
136,18.88
137,19.06
138,23.72
139,23.38
140,21.6
141,19.97
142,20.6
143,18.03
144,18.25
145,19.46
146,18.82
147,18.94
148,19.17
149,19.39
150,20.55
151,22.74
152,29.65
153,30.35
154,29.68
155,29.91
156,28.39
157,26.69
158,25.32
159,25.05
160,24.3
161,25.74
162,31.05
163,33.93
164,30.69
165,28.98
166,27.08
167,25.2
168,22.88
169,21.49
170,20.31
171,20.26
172,20.31
173,20.66
174,21.19
175,26.49
176,35.69
177,37.25
178,34.9
179,33.71
180,32.33
181,29.76
182,28.29
183,27.33
184,25.55
185,26.65
186,31.76
187,35.04
188,30.42
189,28.57
190,25.96
191,25.38
192,23.35
193,22.5
194,21.92
195,21.67
196,20.94
197,21.1
198,21.93
199,23.57
200,27.01
201,30.37
202,31.38
203,30.52
204,28.68
205,25
206,23.87
207,22.61
208,22.12
209,22.61
210,26.99
211,30.21
212,28.06
213,26.12
214,24.99
215,23.31
216,22.1
217,23.9
218,22.25
219,21.24
220,20.98
221,21.11
222,21.33
223,21.99
224,23.04
225,24.72
226,24.52
227,25.17
228,23.91
229,23.07
230,21.85
231,21.3
232,21.14
233,21.44
234,25.64
235,29.29
236,24.98
237,22.75
238,21.4
239,20.05
240,18.28
241,17.4
242,14.87
243,13.62
244,13.31
245,11.9
246,12.82
247,17.91
248,18.61
249,17.23
250,16.96
251,15.5
252,14.69
253,14.12
254,13.34
255,13.74
256,14.01
257,15.05
258,17.86
259,19.67
260,18.55
261,18.57
262,20.36
263,19.66
264,19.65
265,19.82
266,18.61
267,18.63
268,18.69
269,19.27
270,19.31
271,20.36
272,28.73
273,27.88
274,24.67
275,22.97
276,24.18
277,22.9
278,21.47
279,20.04
280,19.52
281,19.41
282,21.03
283,21.26
284,17.24
285,15.64
286,15.1
287,14.54
288,14.07
289,15.86
290,14.51
291,14.32
292,15.57
293,16.78
294,17.31
295,19.05
296,25.02
297,26
298,25.04
299,24.26
300,22.76
301,20.83
302,19.96
303,19.25
304,19.09
305,18.73
306,21.9
307,22.73
308,20.93
309,19.94
310,19.91
311,18.75
312,17.96
313,16.93
314,15.37
315,13.05
316,12.32
317,10.48
318,10.61
319,14.39
320,17.71
321,17.22
322,15.36
323,14.78
324,12.28
325,12.86
326,10.7
327,8.38
328,8.54
329,9.49
330,13.59
331,12.59
332,10.92
333,10.51
334,10.69
335,10.1
336,9.57
337,9.57
338,9.04
339,7.9
340,8.05
341,7.79
342,9.19
343,9.04
344,13.95
345,15.48
346,15.69
347,15.89
348,14.4
349,14.05
350,14.29
351,13.42
352,13.05
353,13.57
354,16.23
355,16.02
356,16.07
357,15.62
358,15.2
359,15.64
360,15.32
361,17.1
362,15.87
363,15.45
364,16.3
365,15.2
366,17.16
367,16.48
368,18.56
369,20.52
370,21.32
371,21.42
372,21.57
373,19.63
374,20.33
375,19.07
376,18.57
377,19.17
378,23.14
379,25.37
380,24.89
381,22.34
382,21.77
383,19.95
384,19.53
385,19.74
386,18.37
387,18.96
388,18.81
389,18.35
390,17.93
391,17.28
392,17.99
393,18.87
394,19.79
395,19.67
396,19.21
397,19.12
398,19.37
399,19.2
400,19.32
401,20.89
402,26.7
403,27.82
404,25.63
405,24.96
406,24.64
407,23.42
408,22.84
409,19.73
410,20.14
411,19.7
412,20.11
413,20.14
414,20.82
415,23.3
416,28.78
417,33.6
418,32.14
419,31
420,29.28
421,27.54
422,25.04
423,23.23
424,22.27
425,23.81
426,29.31
427,31.6
428,29.35
429,26.34
430,24.56
431,22.4
432,21.07
433,21.12
434,21.26
435,19.62
436,20.91
437,20.23
438,21.47
439,24.5
440,30.47
441,31.51
442,28.96
443,25.94
