npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,227930905.801,51278532.9219,227930905.801,264190304.159,191671507.442,195297447.278,260564364.323,2.0,2629487938630000.0,0.00195585087924,0.124974348451,2.85069050095e-13,25,0.125210084034,0.12499008153
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,176391679.658,72125414.8404,176391679.658,227392049.588,125391309.729,130491346.722,222292012.595,2.0,5202075465900000.0,0.00391191516495,0.124974348451,2.85069050095e-13,50,0.125210084034,0.249993800956
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,161278137.536,20798480.313,161278137.536,175984884.003,146571391.068,148042065.715,174514209.357,2.0,432576783332000.0,0.00391210917083,0.124974348451,2.85069050095e-13,75,0.125210084034,0.250006199044
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,136881909.606,739216.647001,136881909.606,137404614.71,136359204.502,136411475.012,137352344.199,2.0,546441251203.0,0.00391210917083,0.124974348451,2.85069050095e-13,100,0.125210084034,0.250006199044
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,89429255.2324,4584434.6907,89429255.2324,92670940.0901,86187570.3747,86511738.8605,92346771.6044,2.0,21017041433300.0,0.0078238303299,0.124974348451,2.85069050095e-13,45,0.250420168067,0.249993800956
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,86260510.116,5249652.82271,86260510.116,89972575.2258,82548445.0062,82919651.5172,89601368.7148,2.0,27558854759000.0,0.00391170175848,0.124974348451,2.85069050095e-13,20,0.250420168067,0.12499008153
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,58189353.7487,42234230.9626,58189353.7487,88053464.8605,28325242.6369,31311653.7481,85067053.7493,2.0,1783730265000000.0,0.00195606428571,0.124974348451,2.85069050095e-13,125,0.125210084034,0.125003719426
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,25720691.0608,36625239.8882,25720691.0608,51618646.5483,-177264.426744,2412531.12201,49028850.9995,2.0,1341408196870000.0,0.00782421834166,0.124974348451,2.85069050095e-13,70,0.250420168067,0.250006199044
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,3420093.65314,20774100.6776,3420093.65314,18109601.1153,-11269413.8091,-9800463.06284,16640650.3691,2.0,431563258964000.0,0.00782421834166,0.124974348451,2.85069050095e-13,95,0.250420168067,0.250006199044
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-42483099.8827,10793096.993,-42483099.8827,-34851227.8089,-50114971.9565,-49351784.7491,-35614415.0163,2.0,116490942701000.0,0.00391212857142,0.124974348451,2.85069050095e-13,120,0.250420168067,0.125003719426
