npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1627799968.27,39271663.9353,1627799968.27,1655569228.15,1600030708.39,1602807634.38,1652792302.16,2.0,1542263588250000.0,0.00390584742105,0.125,8.656992832709999e-15,50,0.249999659503,0.124987287705
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1610784862.72,14213838.556,1610784862.72,1620835564.35,1600734161.09,1601739231.25,1619830494.18,2.0,202033206496000.0,0.00781248935947,0.125,8.656992832709999e-15,27,0.249999659503,0.25
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1592235216.74,52482868.5885,1592235216.74,1629346209.02,1555124224.47,1558835323.7,1625635109.79,2.0,2754451495270000.0,0.00390583784555,0.25,8.656992832709999e-15,10,0.124999523304,0.124987287705
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1568242233.35,7939861.55312,1568242233.35,1573856563.29,1562627903.4,1563189336.39,1573295130.3,2.0,63041401482700.0,0.0156265677537,0.25,8.656992832709999e-15,33,0.249999659503,0.250025424591
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1547784794.53,15670729.8242,1547784794.53,1558865673.85,1536703915.2,1537812003.14,1557757585.92,2.0,245571773224000.0,0.0156249787189,0.25,8.656992832709999e-15,44,0.249999659503,0.25
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1524706263.89,7968459.94822,1524706263.89,1530340815.96,1519071711.83,1519635167.03,1529777360.75,2.0,63496353946500.0,0.0156249787189,0.25,8.656992832709999e-15,39,0.249999659503,0.25
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1445461223.38,18880765.3032,1445461223.38,1458811940.56,1432110506.2,1433445577.91,1457476868.84,2.0,356483298433000.0,0.00781328387685,0.125,8.656992832709999e-15,28,0.249999659503,0.250025424591
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1430863627.59,72581906.6983,1430863627.59,1482186786.0,1379540469.17,1384672785.01,1477054470.16,2.0,5268133179960000.0,0.00195291892277,0.125,8.656992832709999e-15,5,0.124999523304,0.124987287705
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1332999494.19,2366123.73145,1332999494.19,1334672596.33,1331326392.05,1331493702.27,1334505286.11,2.0,5598541512550.0,0.0078116948421,0.25,8.656992832709999e-15,45,0.249999659503,0.124987287705
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1247642115.27,17169912.5199,1247642115.27,1259783076.85,1235501153.7,1236715249.86,1258568980.69,2.0,294805895940000.0,0.0156249787189,0.25,8.656992832709999e-15,34,0.249999659503,0.25
