npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1751233046.45,35337819.173,1751233046.45,1776220658.02,1726245434.88,1728744196.04,1773721896.86,2.0,1248761463900000.0,0.00781233727318,1.17734560967e-13,0.125,0.25,0.249994792742,109
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1736305678.82,2781357.44658,1736305678.82,1738272395.53,1734338962.11,1734535633.78,1738075723.86,2.0,7735949245640.0,0.00390603549646,1.17734560967e-13,0.125,0.25,0.124993135887,104
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1674573854.31,49001921.7529,1674573854.31,1709223445.47,1639924263.15,1643389222.27,1705758486.36,2.0,2401188335480000.0,0.00781266272682,1.17734560967e-13,0.125,0.25,0.250005207258,119
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1613392304.79,98381234.4326,1613392304.79,1682958342.8,1543826266.79,1550782870.59,1676001739.0,2.0,9678867288480000.0,0.00390633136341,1.17734560967e-13,0.125,0.25,0.125002603629,124
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1579673357.99,86755458.8629,1579673357.99,1641018731.26,1518327984.73,1524462522.05,1634884193.93,2.0,7526509642510000.0,0.00781263314013,1.17734560967e-13,0.125,0.25,0.250004260484,114
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1541330637.11,666677.295899,1541330637.11,1541802049.14,1540859225.07,1540906366.27,1541754907.94,2.0,444458616868.0,0.00781233727318,1.17734560967e-13,0.125,0.25,0.249994792742,108
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1513001337.95,55637082.6542,1513001337.95,1552342696.38,1473659979.52,1477594115.37,1548408560.54,2.0,3095484966270000.0,0.00390603549646,1.17734560967e-13,0.125,0.25,0.124993135887,103
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1478421556.74,34610508.7709,1478421556.74,1502894882.19,1453948231.29,1456395563.83,1500447549.65,2.0,1197887317380000.0,0.00781263314013,1.17734560967e-13,0.125,0.25,0.250004260484,113
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1409514115.93,32130160.0789,1409514115.93,1432233570.0,1386794661.86,1389066607.26,1429961624.59,2.0,1032347186700000.0,0.00781266272682,1.17734560967e-13,0.125,0.25,0.250005207258,118
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1386897627.93,134727929.646,1386897627.93,1482164660.6,1291630595.27,1301157298.53,1472637957.33,2.0,1.81516150268e+16,0.00390633136341,1.17734560967e-13,0.125,0.25,0.125002603629,123
