smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,594656820.026,219176.43222,594656820.026,594811801.167,594501838.884,594517336.998,594796303.053,2.0,48038308440.9,0.125,1.28667840979e-13,0.12499839544,0.00195303195702,1,0.124995649753
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,512259490.003,195122.932085,512259490.003,512397462.751,512121517.254,512135314.529,512383665.476,2.0,38072958625.3,0.125,1.28667840979e-13,0.12499839544,0.00390615130627,26,0.249996892681
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,430418817.606,511083.151896,430418817.606,430780207.968,430057427.243,430093566.28,430744068.932,2.0,261205988152.0,0.125,1.28667840979e-13,0.12499839544,0.00390624840876,51,0.250003107319
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,348013190.748,188119.259809,348013190.748,348146211.152,347880170.344,347893472.384,348132909.112,2.0,35388855911.1,0.125,1.28667840979e-13,0.12499839544,0.00390624840876,76,0.250003107319
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,268062193.409,949595.968027,268062193.409,268733659.158,267390727.661,267457874.236,268666512.583,2.0,901732502493.0,0.25,1.28667840979e-13,0.25,0.0156248057925,32,0.249996892681
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,266326017.26,87403.1908007,266326017.26,266387820.649,266264213.871,266270394.21,266381640.31,2.0,7639317762.15,0.125,1.28667840979e-13,0.12499839544,0.00195311934925,101,0.125001242928
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,187353789.037,1401386.62599,187353789.037,188344719.023,186362859.051,186461952.049,188245626.025,2.0,1963884475500.0,0.25,1.28667840979e-13,0.25,0.0156251942075,57,0.250003107319
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,174164208.697,325411.732571,174164208.697,174394309.539,173934107.854,173957117.938,174371299.455,2.0,105892795695.0,0.125,1.28667840979e-13,0.25,0.00390611405478,2,0.124995649753
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,159596701.529,2611068.34653,159596701.529,161443005.663,157750397.395,157935027.808,161258375.249,2.0,6817677910260.0,0.125,1.28667840979e-13,0.25,0.00781240289627,27,0.249996892681
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,120915051.715,3083709.24459,120915051.715,123095563.433,118734539.997,118952591.169,122877512.261,2.0,9509262705140.0,0.25,1.28667840979e-13,0.25,0.00781222810956,13,0.124995649753
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,103972401.212,32759.7745098,103972401.212,103995565.87,103949236.553,103951553.019,103993249.404,2.0,1073202825.93,0.25,1.28667840979e-13,0.25,0.0156251942075,82,0.250003107319
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,73440658.9971,2587574.04304,73440658.9971,75270350.1498,71610967.8445,71793936.9598,75087381.0345,2.0,6695539428190.0,0.125,1.28667840979e-13,0.25,0.00781259710373,52,0.250003107319
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,35901056.3205,2518534.24023,35901056.3205,37681928.9604,34120183.6806,34298270.9446,37503841.6964,2.0,6343014719220.0,0.25,1.28667840979e-13,0.25,0.0156248057925,38,0.249996892681
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,21413027.7699,497379.049286,21413027.7699,21764727.8685,21061327.6714,21096497.6812,21729557.8587,2.0,247385918669.0,0.25,1.28667840979e-13,0.25,0.00781257768298,107,0.125001242928
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-10875775.842,3423642.4252,-10875775.842,-8454895.06683,-13296656.6173,-13054568.5397,-8696983.14435,2.0,11721327455600.0,0.125,1.28667840979e-13,0.25,0.00781259710373,77,0.250003107319
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-44840235.7668,2862719.45877,-44840235.7668,-42815987.4249,-46864484.1088,-46662059.2746,-43018412.2591,2.0,8195162699610.0,0.25,1.28667840979e-13,0.25,0.0156251942075,63,0.250003107319
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-61079481.9205,5192461.28126,-61079481.9205,-57407857.3375,-64751106.5035,-64383944.0452,-57775019.7958,2.0,26961654157400.0,0.25,1.28667840979e-13,0.25,0.00781222810956,8,0.124995649753
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-82136207.1878,4925725.09999,-82136207.1878,-78653193.5674,-85619220.8083,-85270919.4462,-79001494.9294,2.0,24262767760700.0,0.25,1.28667840979e-13,0.25,0.0156248057925,33,0.249996892681
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-91997853.1277,651078.637437,-91997853.1277,-91537471.0081,-92458235.2473,-92412197.0354,-91583509.2201,2.0,423903392126.0,0.125,1.28667840979e-13,0.25,0.00390628884149,102,0.125001242928
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-126848647.593,3826631.92661,-126848647.593,-124142810.209,-129554484.977,-129283901.239,-124413393.947,2.0,14643111901800.0,0.25,1.28667840979e-13,0.25,0.0156251942075,88,0.250003107319
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-163253974.511,3971520.01721,-163253974.511,-160445685.775,-166062263.246,-165781434.373,-160726514.648,2.0,15772971247100.0,0.25,1.28667840979e-13,0.25,0.0156251942075,58,0.250003107319
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-175483451.333,8073284.24994,-175483451.333,-169774777.293,-181192125.373,-180621257.969,-170345644.697,2.0,65177918580300.0,0.25,1.28667840979e-13,0.25,0.0156248057925,44,0.249996892681
