smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-22272870.2581,2818509.09808,-22272870.2581,-20279883.362,-24265857.1542,-24066558.4646,-20479182.0516,2.0,7943993535930.0,0.249546279492,44,1.83230531396e-13,0.015596424381,0.249996504259,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-47338320.188,9902723.55403,-47338320.188,-40336037.2107,-54340603.1653,-53640374.8675,-41036265.5085,2.0,98063933787500.0,0.125226860254,25,1.83230531396e-13,0.00195687562387,0.124995105963,0.125018050542
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53574104.3179,3025215.7534,-53574104.3179,-51434953.7441,-55713254.8917,-55499339.8343,-51648868.8015,2.0,9151930354590.0,0.249546279492,88,1.83230531396e-13,0.0155946083013,0.250003495741,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-80006266.4844,1941436.79331,-80006266.4844,-78633463.3626,-81379069.6062,-81241789.2941,-78770743.6748,2.0,3769176822430.0,0.250453720508,58,1.83230531396e-13,0.0156513159678,0.250003495741,0.249963898917
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-97779616.4058,1782492.68521,-97779616.4058,-96519203.7407,-99040029.071,-98913987.8045,-96645245.0072,2.0,3177280172840.0,0.125226860254,102,1.83230531396e-13,0.003913383159,0.125001398296,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-109907889.753,10358924.9068,-109907889.753,-102583023.706,-117232755.801,-116500269.196,-103315510.311,2.0,107307325224000.0,0.249546279492,69,1.83230531396e-13,0.0155968605555,0.250003495741,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-112855324.168,926638.29628,-112855324.168,-112200091.945,-113510556.391,-113445033.169,-112265615.167,2.0,858658532133.0,0.249546279492,14,1.83230531396e-13,0.00779801591193,0.124995105963,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-130673874.037,559633.470028,-130673874.037,-130278153.415,-131069594.658,-131030022.596,-130317725.477,2.0,313189620775.0,0.125226860254,28,1.83230531396e-13,0.0078254391352,0.249996504259,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-136174086.165,3533906.26144,-136174086.165,-133675237.083,-138672935.246,-138423050.338,-133925121.991,2.0,12488493464700.0,0.125226860254,3,1.83230531396e-13,0.00391262108568,0.124995105963,0.249963898917
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-144085812.793,923003.182679,-144085812.793,-143433150.984,-144738474.603,-144673208.422,-143498417.165,2.0,851934875236.0,0.125226860254,50,1.83230531396e-13,0.00391384975812,0.249996504259,0.125018050542
