npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2173316375.25,15478297.6138,2173316375.25,2184261184.45,2162371566.05,2163466046.97,2183166703.53,2.0,239577697023000.0,0.0156246745464,0.249994792742,1.17734560967e-13,57,0.25,0.25
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2169391324.91,41991955.2238,2169391324.91,2199084121.2,2139698528.61,2142667808.24,2196114841.57,2.0,1763324303520000.0,0.0156252662803,0.250004260484,1.17734560967e-13,62,0.25,0.25
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2144922900.57,9138219.48016,2144922900.57,2151384597.53,2138461203.61,2139107373.31,2150738427.84,2.0,83507055267600.0,0.0156246745464,0.249994792742,1.17734560967e-13,83,0.25,0.25
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2141216853.94,24546464.1325,2141216853.94,2158573825.18,2123859882.7,2125595579.82,2156838128.06,2.0,602528901410000.0,0.00781233727318,0.249994792742,1.17734560967e-13,31,0.25,0.125
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2136517166.94,26610816.5816,2136517166.94,2155333855.8,2117700478.09,2119582146.97,2153452186.92,2.0,708135559138000.0,0.00781266272682,0.250005207258,1.17734560967e-13,119,0.125,0.25
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2132268661.84,32407483.1019,2132268661.84,2155184212.91,2109353110.78,2111644665.89,2152892657.8,2.0,1050244961000000.0,0.00390603549646,0.124993135887,1.17734560967e-13,104,0.125,0.25
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2120909693.03,24923354.186,2120909693.03,2138533165.79,2103286220.28,2105048567.55,2136770818.51,2.0,621173583881000.0,0.00781207099292,0.124993135887,1.17734560967e-13,78,0.25,0.25
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2116584755.35,133878573.259,2116584755.35,2211251202.36,2021918308.35,2031384953.05,2201784557.66,2.0,1.79234723779e+16,0.00781263314013,0.250004260484,1.17734560967e-13,114,0.125,0.25
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2105422483.79,32976100.3341,2105422483.79,2128740107.96,2082104859.63,2084436622.04,2126408345.54,2.0,1087423193250000.0,0.00781233727318,0.249994792742,1.17734560967e-13,109,0.125,0.25
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2104556770.57,6021872.40569,2104556770.57,2108814877.38,2100298663.75,2100724474.43,2108389066.7,2.0,36262947270400.0,0.0156252662803,0.250004260484,1.17734560967e-13,88,0.25,0.25
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2098605104.43,75717524.5092,2098605104.43,2152145479.46,2045064729.39,2050418766.89,2146791441.96,2.0,5733143517800000.0,0.0156253254536,0.250005207258,1.17734560967e-13,93,0.25,0.25
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2097985641.39,41440686.1933,2097985641.39,2127288631.61,2068682651.16,2071612950.19,2124358332.59,2.0,1717330472170000.0,0.00781207099292,0.124993135887,1.17734560967e-13,52,0.25,0.25
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2087490787.17,5679379.04064,2087490787.17,2091506714.61,2083474859.74,2083876452.48,2091105121.86,2.0,32255346287200.0,0.00781263314013,0.250004260484,1.17734560967e-13,36,0.25,0.125
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2073808731.66,48877219.4937,2073808731.66,2108370145.01,2039247318.31,2042703459.64,2104914003.67,2.0,2388982585440000.0,0.00390603549646,0.124993135887,1.17734560967e-13,26,0.25,0.125
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2038636428.98,73927308.3932,2038636428.98,2090910930.06,1986361927.9,1991589378.01,2085683479.95,2.0,5465246926260000.0,0.00781266272682,0.250005207258,1.17734560967e-13,41,0.25,0.125
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2025957901.99,29961005.8373,2025957901.99,2047143532.39,2004772271.59,2006890834.63,2045024969.35,2.0,897661870785000.0,0.00781233727318,0.249994792742,1.17734560967e-13,56,0.25,0.125
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2025568958.78,9420087.96419,2025568958.78,2032229966.86,2018907950.7,2019574051.51,2031563866.05,2.0,88738057253000.0,0.0156253254536,0.250005207258,1.17734560967e-13,67,0.25,0.25
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2006584645.68,33574618.5782,2006584645.68,2030325486.16,1982843805.21,1985217889.26,2027951402.11,2.0,1127255012670000.0,0.00781266272682,0.125002603629,1.17734560967e-13,72,0.25,0.25
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2002614689.57,85467620.4288,2002614689.57,2063049423.55,1942179955.6,1948223428.99,2057005950.15,2.0,7304714141770000.0,0.00390603549646,0.124993135887,1.17734560967e-13,103,0.125,0.25
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1994057765.2,46350626.041,1994057765.2,2026832607.19,1961282923.22,1964560407.42,2023555122.99,2.0,2148380534390000.0,0.0156252662803,0.250004260484,1.17734560967e-13,87,0.25,0.25
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1993656844.02,35443035.9663,1993656844.02,2018718855.1,1968594832.94,1971101034.05,2016212653.99,2.0,1256208798510000.0,0.0156246745464,0.249994792742,1.17734560967e-13,82,0.25,0.25
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1991698495.01,21220498.7173,1991698495.01,2006703653.55,1976693336.46,1978193852.32,2005203137.69,2.0,450309565809000.0,0.00781266272682,0.125002603629,1.17734560967e-13,98,0.25,0.25
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1990202721.11,84035298.7588,1990202721.11,2049624650.72,1930780791.5,1936722984.46,2043682457.76,2.0,7061931437490000.0,0.00390633136341,0.125002603629,1.17734560967e-13,124,0.125,0.25
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1987328625.21,29115389.1515,1987328625.21,2007916314.31,1966740936.1,1968799705.01,2005857545.4,2.0,847705885446000.0,0.00390633136341,0.125002603629,1.17734560967e-13,46,0.25,0.125
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1976468765.91,16452961.6146,1976468765.91,1988102766.64,1964834765.19,1965998165.26,1986939366.57,2.0,270699945890000.0,0.00781263314013,0.250004260484,1.17734560967e-13,61,0.25,0.125
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1918157046.64,58587393.6358,1918157046.64,1959584589.97,1876729503.3,1880872257.64,1955441835.63,2.0,3432482693030000.0,0.00781266272682,0.250005207258,1.17734560967e-13,66,0.25,0.125
