Plant Location,Cumulative amount of CO2 transported (MMT/year),Cumulative average logistics cost of CO2 ($/MT),co2 (kg/year),cost ($/kg)
MN,1.399021,14.96272283,1399021,0.014962723
MN,2.574027,21.33830615,2574027,0.021338306
