Plant Location,Cumulative amount of CO2 transported (MMT/year),Cumulative average logistics cost of CO2 ($/MT),co2 (kg/year),cost ($/kg)
TX,2.211873562,13.10144424,2211873.562,0.013101444
TX,2.490141696,14.30820549,2490141.696,0.014308205
