smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,766796896.653,17952.506464,766796896.653,766809590.992,766784202.314,766785471.747,766808321.558,2.0,322292488.341,0.100002567295,0.1,7,0.199996472705,1.2171516948100001e-13,0.00200001607205
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,697418333.622,120822.301362,697418333.622,697503767.89,697332899.353,697341442.78,697495224.464,2.0,14598028506.5,0.100002567295,0.1,13,0.20000235153,1.2171516948100001e-13,0.00200007486181
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,631471543.14,610868.061306,631471543.14,631903492.088,631039594.191,631082789.086,631860297.194,2.0,373159788324.0,0.200001925471,0.2,38,0.0999952969395,1.2171516948100001e-13,0.0039998503852
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,628167143.248,32548.528566,628167143.248,628190158.534,628144127.963,628146429.492,628187857.005,2.0,1059406711.81,0.100002567295,0.1,19,0.20000235153,1.2171516948100001e-13,0.00200007486181
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,562297908.827,1109110.50265,562297908.827,563082168.384,561513649.269,561592075.225,563003742.429,2.0,1230126107100.0,0.200001925471,0.2,44,0.199996472705,1.2171516948100001e-13,0.00799993592568
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,558769071.108,273897.104014,558769071.108,558962745.607,558575396.608,558594764.058,558943378.157,2.0,75019623587.2,0.100002567295,0.1,25,0.20000235153,1.2171516948100001e-13,0.00200007486181
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,491926114.358,85943.8129708,491926114.358,491986885.811,491865342.905,491871420.05,491980808.665,2.0,7386338987.95,0.200001925471,0.2,50,0.20000235153,1.2171516948100001e-13,0.00800017108097
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,489401886.934,198499.706155,489401886.934,489542247.422,489261526.445,489275562.494,489528211.373,2.0,39402133343.7,0.100002567295,0.1,31,0.100001175765,1.2171516948100001e-13,0.00100003743091
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,488075284.292,1754903.51718,488075284.292,489316188.469,486834380.115,486958470.532,489192098.051,2.0,3079686354600.0,0.200001925471,0.1,37,0.0999952969395,1.2171516948100001e-13,0.0019999251926
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,479811822.243,247376.839308,479811822.243,479986744.083,479636900.402,479654392.586,479969251.899,2.0,61195300625.9,0.200001925471,0.1,43,0.199996472705,1.2171516948100001e-13,0.00399996796284
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,430907122.812,1140844.35128,430907122.812,431713821.589,430100424.035,430181093.912,431633151.711,2.0,1301525833850.0,0.199998716352,0.2,75,0.0999952969395,1.2171516948100001e-13,0.00399978620583
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,422889310.093,614362.749349,422889310.093,423323730.16,422454890.027,422498332.034,423280288.153,2.0,377441587788.0,0.200001925471,0.2,56,0.20000235153,1.2171516948100001e-13,0.00800017108097
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,410370281.193,189788.043308,410370281.193,410504481.605,410236080.78,410249500.822,410491061.564,2.0,36019501382.6,0.200001925471,0.1,49,0.20000235153,1.2171516948100001e-13,0.00400008554049
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,357919153.654,544226.953609,357919153.654,358303980.224,357534327.085,357572809.742,358265497.567,2.0,296182977034.0,0.199998716352,0.2,81,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,353805808.409,1605987.77126,353805808.409,354941413.253,352670203.566,352783764.05,354827852.768,2.0,2579196721440.0,0.200001925471,0.2,62,0.20000235153,1.2171516948100001e-13,0.00800017108097
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,336718239.013,595282.737998,336718239.013,337139167.473,336297310.552,336339403.398,337097074.627,2.0,354361538159.0,0.200001925471,0.1,55,0.20000235153,1.2171516948100001e-13,0.00400008554049
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,288135674.685,888966.469054,288135674.685,288764268.903,287507080.466,287569939.888,288701409.482,2.0,790261383102.0,0.199998716352,0.2,87,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,284913139.992,3011346.80243,284913139.992,287042483.737,282783796.248,282996730.622,286829549.362,2.0,9068209564530.0,0.199998716352,0.2,74,0.0999952969395,1.2171516948100001e-13,0.00399978620583
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,284478668.798,1204381.43158,284478668.798,285330295.075,283627042.52,283712205.148,285245132.448,2.0,1450534632730.0,0.200001925471,0.2,68,0.100001175765,1.2171516948100001e-13,0.00400008554049
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,273914255.322,501208.007669,273914255.322,274268662.903,273559847.741,273595288.499,274233222.145,2.0,251209466951.0,0.199998716352,0.2,80,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,269075335.739,596041.281713,269075335.739,269496800.571,268653870.906,268696017.39,269454654.088,2.0,355265209506.0,0.200001925471,0.1,61,0.20000235153,1.2171516948100001e-13,0.00400008554049
720.0,-333.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,234030823.28,3467180.54706,234030823.28,236482490.156,231579156.404,231824323.091,236237323.469,2.0,12021340945900.0,0.199998716352,0.2,112,0.0999952969395,1.2171516948100001e-13,0.00399978620583
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,224051925.327,1156315.26517,224051925.327,224869563.692,223234286.962,223316050.798,224787799.856,2.0,1337064992470.0,0.199998716352,0.2,93,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,202509081.984,833293.09914,202509081.984,203098309.185,201919854.783,201978777.503,203039386.465,2.0,694377389075.0,0.199998716352,0.2,86,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,198472152.236,38610.1424823,198472152.236,198499453.729,198444850.742,198447580.891,198496723.58,2.0,1490743102.51,0.200001925471,0.1,67,0.100001175765,1.2171516948100001e-13,0.00200004277024
720.0,-705.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,167379883.12,1938133.34192,167379883.12,168750350.349,166009415.891,166146462.614,168613303.626,2.0,3756360851080.0,0.199998716352,0.1,79,0.199996472705,1.2171516948100001e-13,0.00399990378159
720.0,-333.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,164547139.525,2175781.82901,164547139.525,166085649.611,163008629.44,163162480.448,165931798.602,2.0,4734026567440.0,0.199998716352,0.2,118,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,151690188.304,4816830.31983,151690188.304,155096201.687,148284174.921,148624776.259,154755600.349,2.0,23201854330000.0,0.199998716352,0.2,99,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-705.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,144527599.001,3096170.30286,144527599.001,146716922.018,142338275.984,142557208.285,146497989.716,2.0,9586270544310.0,0.199998716352,0.1,73,0.0999952969395,1.2171516948100001e-13,0.00199989310292
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,130436606.014,286574.788143,130436606.014,130639244.99,130233967.038,130254230.936,130618981.092,2.0,82125109198.9,0.199998716352,0.2,92,0.20000235153,1.2171516948100001e-13,0.0080000427147
