RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__htse__production__h2,Dispatch__htse__production__electricity,Dispatch__ft__production__jet_fuel,Dispatch__ft__production__h2,Dispatch__ft__production__diesel,Dispatch__ft__production__naphtha,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,Dispatch__h2_import__production__h2,Dispatch__h2_export__production__h2,price,prefix,PointProbability,ProbabilityWeight
0,0.0,0,2013,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,27.7576113048,1,1.0,1.0
0,0.0,0,2014,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,48.4300795935,1,1.0,1.0
0,0.0,0,2015,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,11.7008976478,1,1.0,1.0
0,0.0,0,2016,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,8.17565888779,1,1.0,1.0
0,0.0,0,2017,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,11.03882243,1,1.0,1.0
0,0.0,0,2018,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,22.2866167743,1,1.0,1.0
0,0.0,0,2019,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,18.9965529924,1,1.0,1.0
0,0.0,0,2020,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,9.43980645507,1,1.0,1.0
0,0.0,0,2021,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,24.3443928039,1,1.0,1.0
0,0.0,0,2022,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,26.676793338,1,1.0,1.0
0,0.0,0,2023,1.0,522.0,12740.91,-507.0,9688.4151,-11565.0,5367.9057,7997.3066,-14.9,-0.1,-7997.3066,-9688.4151,-5367.9057,1115.5662,-1175.91,0.0,0.0,0.0,23.2607124237,1,1.0,1.0
