smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-282399840.302,192181.054713,-282399840.302,-282263947.775,-282535732.829,-282522143.577,-282277537.028,2.0,36933557790.6,0.25,0.249920051167,0.249987530799,1.28632009175e-11,33,0.0156192241221
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-285094035.383,1031816.87509,-285094035.383,-284364430.674,-285823640.093,-285750679.622,-284437391.145,2.0,1064646063730.0,0.25,0.249920051167,0.125006234601,1.28632009175e-11,107,0.0078103911369
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-287880093.257,62339.4555372,-287880093.257,-287836012.605,-287924173.909,-287919765.843,-287840420.67,2.0,3886207716.67,0.125,0.249920051167,0.250012469201,1.28632009175e-11,77,0.0078103911369
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-291468733.435,897035.945432,-291468733.435,-290834433.235,-292103033.635,-292039603.615,-290897863.255,2.0,804673487397.0,0.25,0.250079948833,0.249987530799,1.28632009175e-11,44,0.0156292172278
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-296783879.936,2795741.49342,-296783879.936,-294806992.168,-298760767.705,-298563078.928,-295004680.945,2.0,7816170498010.0,0.125,0.125039974416,0.124981296198,1.28632009175e-11,25,0.0019534572599
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-298922403.224,367564.738525,-298922403.224,-298662495.704,-299182310.743,-299156319.991,-298688486.456,2.0,135103837007.0,0.25,0.249920051167,0.250012469201,1.28632009175e-11,88,0.0156207822738
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-304225240.773,435847.089802,-304225240.773,-303917050.34,-304533431.206,-304502612.162,-303947869.383,2.0,189962685689.0,0.25,0.249920051167,0.250012469201,1.28632009175e-11,58,0.0156207822738
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-309203295.923,102481.935783,-309203295.923,-309130830.251,-309275761.594,-309268515.027,-309138076.818,2.0,10502547161.9,0.125,0.249920051167,0.125006234601,1.28632009175e-11,102,0.00390519556845
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-310247754.967,1064472.62502,-310247754.967,-309495059.155,-311000450.778,-310925181.197,-309570328.737,2.0,1133101969410.0,0.25,0.250079948833,0.124981296198,1.28632009175e-11,14,0.00781382903959
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-311821088.901,1232008.39136,-311821088.901,-310949927.413,-312692250.389,-312605134.241,-311037043.562,2.0,1517844676370.0,0.125,0.249920051167,0.249987530799,1.28632009175e-11,28,0.00780961206106
