smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,546486565.702,314020.742297,546486565.702,546708611.898,546264519.506,546286724.125,546686407.279,2.0,98609026592.7,2.43433201164e-13,0.166668806079,0.00231528322333,0.166693548387,93,0.0833356848912
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,533982952.764,406208.310932,533982952.764,534270185.415,533695720.113,533724443.378,534241462.15,2.0,165005191870.0,2.43433201164e-13,0.166668806079,0.00231414678045,0.0833064516129,78,0.166670194004
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,504463655.336,981095.766321,504463655.336,505157394.806,503769915.867,503839289.814,505088020.859,2.0,962548902693.0,2.43433201164e-13,0.166668806079,0.00231414678045,0.0833064516129,85,0.166670194004
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,473251453.616,291781.476568,473251453.616,473457774.277,473045132.955,473065765.021,473437142.211,2.0,85136430068.3,2.43433201164e-13,0.166668806079,0.00115708155283,0.0833064516129,92,0.0833356848912
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,456315238.499,237784.24006,456315238.499,456483377.348,456147099.651,456163913.536,456466563.463,2.0,56541344821.0,2.43433201164e-13,0.16666559696,0.00463011796614,0.166693548387,108,0.166658436214
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,425510508.926,568420.661783,425510508.926,425912443.03,425108574.821,425148768.232,425872249.62,2.0,323102048741.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,115,0.166670194004
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,396740644.71,1066328.89105,396740644.71,397494653.1,395986636.32,396062037.159,397419252.261,2.0,1137057303880.0,2.43433201164e-13,0.16666559696,0.00463047728757,0.166693548387,122,0.166671369782
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,380170115.887,1431789.47964,380170115.887,381182543.937,379157687.837,379258930.642,381081301.132,2.0,2050021114010.0,2.43433201164e-13,0.16666559696,0.00463011796614,0.166693548387,107,0.166658436214
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,365552894.37,792456.246919,365552894.37,366113245.556,364992543.184,365048578.302,366057210.437,2.0,627986903280.0,2.43433201164e-13,0.16666559696,0.00231491198794,0.166693548387,100,0.0833239271017
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,365219879.401,280231.812395,365219879.401,365418033.216,365021725.586,365041540.968,365398217.835,2.0,78529868678.1,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,129,0.166670194004
