npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,805994851.795,4936902.1184,804914860.881,812210820.648,801938864.771,801965037.276,811536653.594,4.0,24373002526700.0,0.125001458773,0.25,0.00781259117331,0.25,8.47275451554e-14,99
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,794921652.202,6303242.68236,794205322.8280001,803277440.9530001,787998522.2,788861015.543,801985149.985,4.0,39730868312700.0,0.249997082454,0.25,0.007812408826689999,0.125,8.47275451554e-14,108
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,760440211.729,4346070.86149,762327895.497,763128191.993,753976863.9310001,755151706.8889999,763085959.295,4.0,18888331933100.0,0.250002387083,0.25,0.00781257459634,0.125,8.47275451554e-14,113
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,760167642.148,8072075.095939999,761564101.229,767976660.3230001,749565705.8119999,750913056.891,767467184.6930001,4.0,65158396354600.0,0.124996154144,0.25,0.003906129817,0.125,8.47275451554e-14,103
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,718191298.905,4361063.38304,719307012.609,721886869.56,712264300.8410001,713065697.9260001,721754900.697,4.0,19018873830800.0,0.250002917546,0.25,0.00781259117331,0.125,8.47275451554e-14,118
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,699927708.406,3951806.8725300003,701075558.332,703158608.137,694401108.822,695211557.9369999,703036868.978,4.0,15616777557800.0,0.249997082454,0.25,0.0156248176534,0.25,8.47275451554e-14,83
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,682270805.612,3368596.33781,683286283.89,685036747.843,677473906.824,678223937.1,684896004.534,4.0,11347441287100.0,0.250002387083,0.25,0.015625149192700003,0.25,8.47275451554e-14,88
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,664907455.916,6960135.49691,666935035.276,670493728.6340001,655266024.478,656634764.494,670341536.235,4.0,48443486135300.0,0.125001458773,0.25,0.00390629558665,0.125,8.47275451554e-14,123
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,655495523.878,6829370.07625,656355312.6830001,662789117.102,646482353.046,647750935.375,662036408.056,4.0,46640295638400.0,0.250002917546,0.25,0.0156251823466,0.25,8.47275451554e-14,93
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,648845430.909,4385810.38935,646666954.758,655424072.821,646623741.3,646629492.213,654111236.217,4.0,19235332771300.0,0.124996154144,0.25,0.007812259634,0.25,8.47275451554e-14,78
