npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,479260645.315,12425197.7983,479260645.315,488046586.936,470474703.694,471353297.856,487167992.774,2.0,154385540327000.0,0.249985591609,8.705791516489999e-14,0.249997067283,39,0.25,0.0156239161913
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,446050385.262,3029964.74071,446050385.262,448192893.877,443907876.647,444122127.509,447978643.015,2.0,9180686329940.0,0.125007204196,8.705791516489999e-14,0.124996134146,10,0.25,0.00390635431621
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,435363507.324,2310515.87813,435363507.324,436997288.769,433729725.878,433893104.023,436833910.624,2.0,5338483623110.0,0.125007204196,8.705791516489999e-14,0.249997067283,35,0.25,0.00781285860954
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,421581968.175,8436030.62817,421581968.175,427547142.638,415616793.711,416213311.158,426950625.192,2.0,71166612759400.0,0.249985591609,8.705791516489999e-14,0.250002932717,94,0.25,0.0156242827598
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,409083024.897,17006029.7504,409083024.897,421108103.854,397057945.939,398260453.835,419905595.959,2.0,289205047872000.0,0.125007204196,8.705791516489999e-14,0.250002932717,90,0.25,0.00781304191492
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,402350977.968,4480191.59429,402350977.968,405518951.826,399183004.111,399499801.497,405202154.44,2.0,20072116721600.0,0.249985591609,8.705791516489999e-14,0.124996134146,13,0.25,0.0078118081358
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,384562286.881,7120113.76163,384562286.881,389596967.604,379527606.157,380031074.23,389093499.532,2.0,50696019978600.0,0.249985591609,8.705791516489999e-14,0.250002399496,64,0.25,0.0156242494354
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,325409304.194,16637621.0318,325409304.194,337173878.848,313644729.54,314821187.005,335997421.383,2.0,276810433599000.0,0.249985591609,8.705791516489999e-14,0.124996134146,9,0.25,0.0078118081358
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,324286720.246,12452114.3197,324286720.246,333091694.721,315481745.77,316362243.218,332211197.274,2.0,155055151031000.0,0.125007204196,8.705791516489999e-14,0.250002399496,60,0.25,0.0078130252508
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,318589509.115,3602452.17554,318589509.115,321136827.478,316042190.753,316296922.589,320882095.641,2.0,12977661677100.0,0.249985591609,8.705791516489999e-14,0.249997067283,34,0.25,0.0156239161913
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,317999251.187,1914222.44475,317999251.187,319352810.858,316645691.515,316781047.483,319217454.891,2.0,3664247567990.0,0.249985591609,8.705791516489999e-14,0.125001466359,119,0.25,0.00781214137989
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,313901387.274,2617680.50034,313901387.274,315752366.907,312050407.641,312235505.605,315567268.944,2.0,6852251201880.0,0.125007204196,8.705791516489999e-14,0.125001466359,115,0.25,0.00390652095746
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,313547307.223,6110434.90449,313547307.223,317868037.18,309226577.266,309658650.262,317435964.185,2.0,37337414722000.0,0.249985591609,8.705791516489999e-14,0.249997067283,38,0.25,0.0156239161913
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,284248669.146,10001664.7582,284248669.146,291320914.12,277176424.172,277883648.67,290613689.622,2.0,100033297934000.0,0.249985591609,8.705791516489999e-14,0.250002932717,89,0.25,0.0156242827598
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,257588642.984,5048837.88906,257588642.984,261158710.492,254018575.475,254375582.226,260801703.741,2.0,25490764030000.0,0.125007204196,8.705791516489999e-14,0.124996134146,5,0.124645892351,0.00194764407834
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,248261333.676,4166052.55866,248261333.676,251207177.691,245315489.661,245610074.063,250912593.29,2.0,17355993921500.0,0.125007204196,8.705791516489999e-14,0.249997067283,30,0.124645892351,0.0038953629328
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,240283226.328,5599987.63293,240283226.328,244243015.558,236323437.098,236719416.021,243847036.635,2.0,31359861489000.0,0.125007204196,8.705791516489999e-14,0.250002932717,85,0.25,0.00781304191492
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,231024689.239,7879159.92733,231024689.239,236596096.654,225453281.824,226010422.566,236038955.912,2.0,62081161160400.0,0.249985591609,8.705791516489999e-14,0.250002399496,59,0.25,0.0156242494354
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,221459176.364,7494087.82065,221459176.364,226758296.681,216160056.048,216689968.079,226228384.649,2.0,56161352263600.0,0.249985591609,8.705791516489999e-14,0.250002399496,63,0.25,0.0156242494354
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,215906904.939,4315828.39377,215906904.939,218958656.463,212855153.416,213160328.568,218653481.311,2.0,18626374724400.0,0.249985591609,8.705791516489999e-14,0.124996134146,8,0.25,0.0078118081358
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,200059731.443,5417066.31358,200059731.443,203890175.767,196229287.118,196612331.551,203507131.335,2.0,29344607445700.0,0.249985591609,8.705791516489999e-14,0.249997067283,33,0.25,0.0156239161913
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,192686047.353,10951320.7937,192686047.353,200429800.549,184942294.157,185716669.476,199655425.229,2.0,119931427127000.0,0.249985591609,8.705791516489999e-14,0.125001466359,114,0.25,0.00781214137989
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,162827267.429,12067414.8301,162827267.429,171360218.287,154294316.571,155147611.657,170506923.201,2.0,145622500683000.0,0.249985591609,8.705791516489999e-14,0.249997067283,29,0.124645892351,0.00778982790274
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,143555519.028,7784219.8255,143555519.028,149059793.653,138051244.403,138601671.866,148509366.19,2.0,60594078291800.0,0.125007204196,8.705791516489999e-14,0.250002399496,55,0.124645892351,0.00389544601739
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,142948008.288,8616872.23201,142948008.288,149041057.076,136854959.5,137464264.379,148431752.197,2.0,74250487062800.0,0.249985591609,8.705791516489999e-14,0.124996134146,4,0.124645892351,0.00389483918385
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,131850505.425,5312007.46523,131850505.425,135606661.926,128094348.925,128469964.575,135231046.275,2.0,28217423310600.0,0.125007204196,8.705791516489999e-14,0.125001466359,110,0.25,0.00390652095746
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,129493726.055,1894202.26932,129493726.055,130833129.324,128154322.785,128288263.112,130699188.997,2.0,3588002237100.0,0.249985591609,8.705791516489999e-14,0.250002932717,84,0.25,0.0156242827598
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,125712500.756,6395755.2065,125712500.756,130234982.633,121190018.879,121642267.066,129782734.446,2.0,40905684661500.0,0.249985591609,8.705791516489999e-14,0.250002932717,88,0.25,0.0156242827598
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,122108683.93,533355.182642,122108683.93,122485822.996,121731544.863,121769258.77,122448109.09,2.0,284467750851.0,0.250014408391,8.705791516489999e-14,0.124996134146,7,0.25,0.00781270863241
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,94269864.0413,2369558.10077,94269864.0413,95945394.6428,92594333.4398,92761886.5,95777841.5826,2.0,5614805592950.0,0.249985591609,8.705791516489999e-14,0.250002399496,58,0.25,0.0156242494354
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,59054043.3487,5313098.07942,59054043.3487,62810971.0297,55297115.6676,55672808.4357,62435278.2616,2.0,28229011201600.0,0.249985591609,8.705791516489999e-14,0.249997067283,28,0.124645892351,0.00778982790274
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,57330602.0013,5985603.79466,57330602.0013,61563063.034,53098140.9686,53521387.0718,61139816.9307,2.0,35827452786600.0,0.249985591609,8.705791516489999e-14,0.250002399496,54,0.124645892351,0.00778999405277
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,51670328.2342,21639017.7647,51670328.2342,66971424.4339,36369232.0345,37899341.6545,65441314.8139,2.0,468247089823000.0,0.125007204196,8.705791516489999e-14,0.250002932717,80,0.124645892351,0.00389545432585
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,36770658.7621,7527793.60305,36770658.7621,42093612.6662,31447704.858,31980000.2484,41561317.2758,2.0,56667676530100.0,0.249985591609,8.705791516489999e-14,0.125001466359,109,0.25,0.00781214137989
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,35336581.7751,12526.1753901,35336581.7751,35345439.1187,35327724.4315,35328610.1659,35344553.3843,2.0,156905069.905,0.250014408391,8.705791516489999e-14,0.249997067283,32,0.25,0.0156257172191
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,32041935.8506,7130736.71785,32041935.8506,37084128.1387,26999743.5626,27503962.7914,36579908.9099,2.0,50847406139400.0,0.249985591609,8.705791516489999e-14,0.124996134146,3,0.124645892351,0.00389483918385
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,31270526.643,4498962.4461,31270526.643,34451773.497,28089279.7891,28407404.4745,34133648.8116,2.0,20240663091400.0,0.249985591609,8.705791516489999e-14,0.125001466359,113,0.25,0.00781214137989
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1890971.09582,1160550.79217,1890971.09582,2711604.43088,1070337.76077,1152401.09427,2629541.09737,2.0,1346878141210.0,0.249985591609,8.705791516489999e-14,0.250002932717,83,0.25,0.0156242827598
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-36709401.4938,525051.346092,-36709401.4938,-36338134.1265,-37080668.8611,-37043542.1244,-36375260.8632,2.0,275678916033.0,0.249985591609,8.705791516489999e-14,0.250002932717,79,0.124645892351,0.00779001066777
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-46919883.7081,805378.282841,-46919883.7081,-46350395.2628,-47489372.1533,-47432423.3088,-46407344.1074,2.0,648634178472.0,0.249985591609,8.705791516489999e-14,0.250002399496,53,0.124645892351,0.00778999405277
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-56216196.8805,676401.536884,-56216196.8805,-55737908.767,-56694484.994,-56646656.1827,-55785737.5783,2.0,457519039099.0,0.250014408391,8.705791516489999e-14,0.250002399496,57,0.25,0.0156260505016
