smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-73710921.3922,926871.89835,-73710921.3922,-73055523.9876,-74366318.7969,-74300779.0564,-73121063.7281,2.0,859091515950.0,0.00779801591193,19,0.249546279492,1.83230531396e-13,0.124995105963,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-84257291.7326,4515579.54857,-84257291.7326,-81064294.8128,-87450288.6524,-87130988.9604,-81383594.5048,2.0,20390458659500.0,0.0156508782704,33,0.250453720508,1.83230531396e-13,0.249996504259,0.249963898917
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-115634847.672,532400.399052,-115634847.672,-115258383.74,-116011311.605,-115973665.212,-115296030.133,2.0,283450184911.0,0.003913383159,102,0.125226860254,1.83230531396e-13,0.125001398296,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-124462125.396,2372504.77459,-124462125.396,-122784511.182,-126139739.611,-125971978.189,-122952272.603,2.0,5628778905460.0,0.0155946083013,88,0.249546279492,1.83230531396e-13,0.250003495741,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-153542031.054,1165521.68595,-153542031.054,-152717882.766,-154366179.342,-154283764.513,-152800297.595,2.0,1358440800430.0,0.015596424381,44,0.249546279492,1.83230531396e-13,0.249996504259,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-157117952.074,3307630.07463,-157117952.074,-154779104.418,-159456799.729,-159222914.964,-155012989.184,2.0,10940416710600.0,0.0156513159678,58,0.250453720508,1.83230531396e-13,0.250003495741,0.249963898917
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-197434776.088,1639754.89462,-197434776.088,-196275294.283,-198594257.894,-198478309.713,-196391242.463,2.0,2688796114420.0,0.00779728234506,113,0.249546279492,1.83230531396e-13,0.125001398296,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-210356229.93,1698732.98051,-210356229.93,-209155044.321,-211557415.54,-211437296.979,-209275162.882,2.0,2885693739080.0,0.0078254391352,28,0.125226860254,1.83230531396e-13,0.249996504259,0.249963898917
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-217491452.239,3142876.39459,-217491452.239,-215269103.028,-219713801.45,-219491566.529,-215491337.949,2.0,9877672031660.0,0.00195687562387,25,0.125226860254,1.83230531396e-13,0.124995105963,0.125018050542
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-221304456.285,4559410.19863,-221304456.285,-218080466.415,-224528446.155,-224206047.168,-218402865.402,2.0,20788221359300.0,0.0155968605555,69,0.249546279492,1.83230531396e-13,0.250003495741,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-227162588.016,900388.893842,-227162588.016,-226525916.924,-227799259.109,-227735592.0,-226589584.033,2.0,810700160154.0,0.00391262108568,3,0.125226860254,1.83230531396e-13,0.124995105963,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-228506345.213,3570925.6258,-228506345.213,-225981319.487,-231031370.938,-230778868.365,-226233822.06,2.0,12751509825000.0,0.0156513159678,83,0.250453720508,1.83230531396e-13,0.250003495741,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-238179072.069,2633333.646,-238179072.069,-236317023.991,-240041120.148,-239854915.34,-236503228.799,2.0,6934446091170.0,0.00779801591193,14,0.249546279492,1.83230531396e-13,0.124995105963,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-261270898.424,349188.718489,-261270898.424,-261023984.714,-261517812.135,-261493120.764,-261048676.085,2.0,121932761120.0,0.015596424381,39,0.249546279492,1.83230531396e-13,0.249996504259,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-282259356.837,2335179.91633,-282259356.837,-280608135.283,-283910578.391,-283745456.236,-280773257.438,2.0,5453065241630.0,0.00782565798392,53,0.125226860254,1.83230531396e-13,0.250003495741,0.249963898917
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-291983397.758,4378246.10353,-291983397.758,-288887510.249,-295079285.268,-294769696.517,-289197099.0,2.0,19169038943100.0,0.00391384975812,50,0.125226860254,1.83230531396e-13,0.249996504259,0.125018050542
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-294678128.801,4284974.04936,-294678128.801,-291648194.594,-297708063.009,-297405069.588,-291951188.015,2.0,18361002603700.0,0.0155968605555,94,0.249546279492,1.83230531396e-13,0.250003495741,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-304201712.141,2334777.45239,-304201712.141,-302550775.172,-305852649.11,-305687555.413,-302715868.869,2.0,5451185752210.0,0.00782563609905,108,0.250453720508,1.83230531396e-13,0.125001398296,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-334880955.02,1014089.67099,-334880955.02,-334163885.337,-335598024.704,-335526317.735,-334235592.306,2.0,1028377860820.0,0.0155968605555,64,0.249546279492,1.83230531396e-13,0.250003495741,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-358129139.296,1692194.23542,-358129139.296,-356932577.278,-359325701.315,-359206045.114,-357052233.479,2.0,2863521330400.0,0.00782565798392,78,0.125226860254,1.83230531396e-13,0.250003495741,0.249963898917
