npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,508549188.279,1757483.79532,508549188.279,509791916.988,507306459.569,507430732.44,509667644.117,2.0,3088749290810.0,0.249333333333,67,0.250009196248,0.25,0.0155839065661,1.0406674226900002e-12
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,496629399.712,304112.234671,496629399.712,496844439.535,496414359.888,496435863.871,496822935.553,2.0,92484251276.4,0.250666666667,94,0.250009196248,0.25,0.0156672429649,1.0406674226900002e-12
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,489861119.473,410301.606824,489861119.473,490151246.522,489570992.425,489600005.13,490122233.817,2.0,168347408563.0,0.125333333333,56,0.249990803752,0.25,0.00783304518423,1.0406674226900002e-12
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,483592921.597,2174448.7887,483592921.597,485130489.081,482055354.113,482209110.861,484976732.332,2.0,4728227534670.0,0.249333333333,83,0.249990803752,0.25,0.0155827601005,1.0406674226900002e-12
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,482183795.256,1019006.39261,482183795.256,482904341.586,481463248.925,481535303.558,482832286.953,2.0,1038374028190.0,0.125333333333,110,0.249990803752,0.125026522385,0.00391735359627,1.0406674226900002e-12
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,482053777.629,52603.7300589,482053777.629,482090974.083,482016581.175,482020300.82,482087254.438,2.0,2767152416.11,0.249333333333,78,0.124986205628,0.25,0.00779080681749,1.0406674226900002e-12
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,479718218.951,227949.277177,479718218.951,479879403.431,479557034.471,479573152.919,479863284.983,2.0,51960872965.7,0.249333333333,72,0.125004598124,0.25,0.00779195328306,1.0406674226900002e-12
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,464917193.881,1281605.74144,464917193.881,465823425.992,464010961.77,464101584.981,465732802.78,2.0,1642513276500.0,0.250666666667,99,0.125004598124,0.25,0.00783362148244,1.0406674226900002e-12
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,464822516.945,414966.466083,464822516.945,465115942.547,464529091.343,464558433.903,465086599.987,2.0,172197167974.0,0.125333333333,51,0.124986205628,0.25,0.00391623444301,1.0406674226900002e-12
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,460455399.257,276536.23657,460455399.257,460650939.905,460259858.609,460279412.674,460631385.84,2.0,76472290136.3,0.125333333333,61,0.250009196248,0.25,0.00783362148244,1.0406674226900002e-12
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,454078563.047,595239.853412,454078563.047,454499461.183,453657664.91,453699754.724,454457371.37,2.0,354310483090.0,0.249333333333,88,0.250009196248,0.25,0.0155839065661,1.0406674226900002e-12
