npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1947835971.83,2547314.31014,1947835971.83,1949637195.05,1946034748.61,1946214870.93,1949457072.73,2.0,6488810194650.0,0.250005865503,1.74117872884e-13,0.249985591609,0.25,63,0.0156244660483
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1915345468.92,3635958.86257,1915345468.92,1917916480.09,1912774457.75,1913031558.87,1917659378.97,2.0,13220196850300.0,0.250004799048,1.74117872884e-13,0.249985591609,0.25,88,0.0156243993987
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1893800887.88,728693.276815,1893800887.88,1894316151.84,1893285623.92,1893337150.32,1894264625.44,2.0,530993891675.0,0.249995200952,1.74117872884e-13,0.249985591609,0.25,33,0.0156237995523
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1871656441.87,3053744.31966,1871656441.87,1873815765.19,1869497118.55,1869713050.88,1873599832.85,2.0,9325354369830.0,0.125002399524,1.74117872884e-13,0.249985591609,0.25,113,0.00781219969937
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1865792360.88,7732131.34443,1865792360.88,1871259803.38,1860324918.37,1860871662.62,1870713059.13,2.0,59785855127500.0,0.124991734973,1.74117872884e-13,0.249985591609,0.25,8,0.00781153320336
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1862323711.91,962475.259911,1862323711.91,1863004284.69,1861643139.13,1861711196.41,1862936227.42,2.0,926358625940.0,0.250005865503,1.74117872884e-13,0.249985591609,0.25,58,0.0156244660483
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1822163301.87,4692786.73838,1822163301.87,1825481603.19,1818845000.54,1819176830.67,1825149773.06,2.0,22022247371900.0,0.250004799048,1.74117872884e-13,0.249985591609,0.25,83,0.0156243993987
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1799165431.64,1872673.52277,1799165431.64,1800489611.79,1797841251.5,1797973669.51,1800357193.77,2.0,3506906122880.0,0.124991734973,1.74117872884e-13,0.249985591609,0.25,19,0.00781153320336
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1788393303.73,3050828.51008,1788393303.73,1790550565.26,1786236042.2,1786451768.35,1790334839.1,2.0,9307554597930.0,0.249995200952,1.74117872884e-13,0.249985591609,0.124645892351,28,0.00778976974847
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1783487116.87,2249165.4495,1783487116.87,1785077517.01,1781896716.72,1782055756.74,1784918476.99,2.0,5058745219200.0,0.125002399524,1.74117872884e-13,0.249985591609,0.25,108,0.00781219969937
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1773073890.63,435822.584693,1773073890.63,1773382063.73,1772765717.52,1772796534.83,1773351246.42,2.0,189941325328.0,0.249995200952,1.74117872884e-13,0.249985591609,0.25,44,0.0156237995523
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1737550903.47,572028.587797,1737550903.47,1737955388.76,1737146418.17,1737186866.7,1737914940.23,2.0,327216705257.0,0.250005865503,1.74117872884e-13,0.249985591609,0.124645892351,53,0.00779010205243
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1723099366.34,4088149.37684,1723099366.34,1725990124.49,1720208608.2,1720497684.01,1725701048.68,2.0,16712965327400.0,0.250005865503,1.74117872884e-13,0.249985591609,0.25,69,0.0156244660483
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1704942916.17,1412218.23604,1704942916.17,1705941505.26,1703944327.07,1704044185.98,1705841646.35,2.0,1994360346190.0,0.124991734973,1.74117872884e-13,0.249985591609,0.124645892351,3,0.00389470210706
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1704159399.14,4810889.58966,1704159399.14,1707561211.79,1700757586.48,1701097767.75,1707221030.52,2.0,23144658643900.0,0.250004799048,1.74117872884e-13,0.249985591609,0.124645892351,78,0.00779006882203
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1700259598.25,2921345.95828,1700259598.25,1702325301.78,1698193894.71,1698400465.06,1702118731.43,2.0,8534262207970.0,0.250004799048,1.74117872884e-13,0.249985591609,0.25,94,0.0156243993987
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1667029097.44,127390.748174,1667029097.44,1667119176.3,1666939018.58,1666948026.46,1667110168.41,2.0,16228402720.2,0.249995200952,1.74117872884e-13,0.249985591609,0.25,39,0.0156237995523
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1656518870.79,4190084.12483,1656518870.79,1659481707.68,1653556033.89,1653852317.58,1659185423.99,2.0,17556804973100.0,0.125002399524,1.74117872884e-13,0.249985591609,0.124645892351,103,0.00389503441102
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1645008517.12,2430353.67304,1645008517.12,1646727036.69,1643289997.56,1643461849.52,1646555184.73,2.0,5906618976080.0,0.125002399524,1.74117872884e-13,0.249985591609,0.25,119,0.00781219969937
