smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-358919545.522,13240344.482,-362301293.195,-340495293.217,-370580302.482,-369895892.396,-343208751.906,4.0,175306722001000.0,0.00782721432901,0.249999055196,0.250018051845,4.95258127397e-14,56,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-368983414.147,17864177.6729,-373822713.579,-345425816.407,-382862413.024,-382860459.979,-348331349.111,4.0,319128843930000.0,0.0156521680907,0.249999055196,0.249981948155,4.95258127397e-14,84,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-400622136.788,5414223.80834,-398490731.617,-396861360.174,-408645723.747,-407183800.341,-397044440.476,4.0,29313819446800.0,0.0155978276082,0.250000944804,0.250018051845,4.95258127397e-14,63,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-406631132.912,16544722.6905,-402630202.179,-391327990.055,-429936137.237,-426205509.227,-392658059.625,4.0,273727848904000.0,0.00779766383568,0.124998488314,0.249981948155,4.95258127397e-14,77,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-444610505.87,7952717.26361,-441038458.186,-439861007.983,-456504099.125,-454232017.519,-439989860.979,4.0,63245711874900.0,0.0155978276082,0.250000944804,0.250018051845,4.95258127397e-14,42,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-460169492.367,10059151.398,-456055210.549,-453516657.704,-475050890.666,-472413371.536,-453685607.743,4.0,101186526848000.0,0.00391300948845,0.124998488314,0.124990974078,4.95258127397e-14,104,0.250453720508
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-482376542.839,1555768.81162,-481939377.039,-481022201.884,-484605215.393,-484234924.481,-481130193.317,4.0,2420416595200.0,0.00195653727845,0.125000566882,0.124990974078,4.95258127397e-14,21,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-487176315.664,28809314.0853,-482848591.995,-457352805.857,-525655272.809,-520197075.981,-460214368.484,4.0,829976578065000.0,0.0155954573367,0.249999055196,0.249981948155,4.95258127397e-14,83,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-522137240.465,17027146.8188,-518411861.755,-507826175.812,-543899062.538,-541432760.496,-508057250.628,4.0,289923728788000.0,0.0155978276082,0.250000944804,0.250018051845,4.95258127397e-14,62,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-545053878.562,5889815.37197,-543733376.392,-539514694.338,-553234067.126,-551992193.184,-539964266.977,4.0,34689925115900.0,0.00782727349068,0.250000944804,0.250018051845,4.95258127397e-14,41,0.125226860254
