npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2072436575.2,808030.87951,2072436575.2,2073007939.31,2071865211.08,2071922347.5,2072950802.9,2.0,652913902242.0,0.00781201926239,0.25,1.69457067906e-13,27,0.25,0.124992308198
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2019422470.63,491567.396772,2019422470.63,2019770061.27,2019074879.99,2019109639.05,2019735302.21,2.0,241638505569.0,0.0156247016111,0.25,1.69457067906e-13,32,0.25,0.249995225778
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1964616634.45,400137.629938,1964616634.45,1964899574.48,1964333694.42,1964361988.42,1964871280.48,2.0,160110122892.0,0.0156253646975,0.25,1.69457067906e-13,37,0.25,0.25000583516
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1912391643.9,1268963.08028,1912391643.9,1913288936.3,1911494351.51,1911584080.74,1913199207.06,2.0,1610267299120.0,0.0156252983889,0.25,1.69457067906e-13,42,0.25,0.250004774222
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1896577103.27,2384491.56256,1896577103.27,1898263193.43,1894891013.12,1895059622.13,1898094584.41,2.0,5685800011910.0,0.00779021950017,0.124645892351,1.69457067906e-13,31,0.25,0.249995225778
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1888988533.22,51644.3213527,1888988533.22,1889025051.27,1888952015.17,1888955666.98,1889021399.47,2.0,2667135927.99,0.00389494444811,0.124645892351,1.69457067906e-13,26,0.25,0.124992308198
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1859709836.19,1412028.7948,1859709836.19,1860708291.32,1858711381.05,1858811226.56,1860608445.81,2.0,1993825317350.0,0.00781261604011,0.25,1.69457067906e-13,47,0.25,0.125001856642
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1843716370.01,1163748.09594,1843716370.01,1844539264.18,1842893475.84,1842975765.26,1844456974.77,2.0,1354309630810.0,0.00779055010413,0.124645892351,1.69457067906e-13,36,0.25,0.25000583516
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1791490938.95,405687.345306,1791490938.95,1791777803.22,1791204074.68,1791232761.1,1791749116.79,2.0,164582222142.0,0.00779051704374,0.124645892351,1.69457067906e-13,41,0.25,0.250004774222
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1736231406.39,1212172.08297,1736231406.39,1737088541.49,1735374271.29,1735459984.8,1737002827.98,2.0,1469361158730.0,0.00389524199167,0.124645892351,1.69457067906e-13,46,0.25,0.125001856642
