npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2613402712.52,6258605.68175,2613402712.52,2617828215.03,2608977210.0,2609419760.25,2617385664.78,2.0,39170145079600.0,0.25,0.250025424591,1.21200144652e-13,88,0.0156268870075,0.250004767044
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2609981240.08,30048779.4707,2609981240.08,2631228935.81,2588733544.35,2590858313.92,2629104166.23,2.0,902929147676000.0,0.25,0.250025424591,1.21200144652e-13,58,0.0156268870075,0.250004767044
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2604582239.0,4049925.95902,2604582239.0,2607445969.11,2601718508.89,2602004881.9,2607159596.1,2.0,16401900273600.0,0.25,0.250025424591,1.21200144652e-13,63,0.0156268870075,0.250004767044
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2598153487.45,60458397.0915,2598153487.45,2640904030.01,2555402944.88,2559677999.14,2636628975.75,2.0,3655217778870000.0,0.25,0.25,1.21200144652e-13,19,0.00781205308962,0.124992849434
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2594564029.05,116702718.39,2594564029.05,2677085312.6,2512042745.49,2520294873.85,2668833184.25,2.0,1.36195244797e+16,0.25,0.250025424591,1.21200144652e-13,33,0.0156262910664,0.249995232956
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2583482974.98,32048622.9596,2583482974.98,2606144773.6,2560821176.36,2563087356.22,2603878593.74,2.0,1027114233600000.0,0.25,0.250025424591,1.21200144652e-13,113,0.00781344350374,0.125002383522
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2577919042.34,31995479.6164,2577919042.34,2600543262.95,2555294821.74,2557557243.8,2598280840.88,2.0,1023710715880000.0,0.25,0.25,1.21200144652e-13,44,0.0156247020597,0.249995232956
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2567866458.86,46642708.6378,2567866458.86,2600847834.43,2534885083.29,2538183220.85,2597549696.87,2.0,2175542269070000.0,0.25,0.250025424591,1.21200144652e-13,83,0.0156268870075,0.250004767044
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2519987266.72,7346515.66014,2519987266.72,2525182037.76,2514792495.68,2515311972.78,2524662560.66,2.0,53971292344700.0,0.25,0.250025424591,1.21200144652e-13,8,0.00781284756262,0.124992849434
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2501617414.71,3084116.25947,2501617414.71,2503798214.24,2499436615.19,2499654695.15,2503580134.28,2.0,9511773101940.0,0.25,0.25,1.21200144652e-13,39,0.0156247020597,0.249995232956
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2499466062.21,69442875.8131,2499466062.21,2548569590.61,2450362533.82,2455272886.66,2543659237.77,2.0,4822313001190000.0,0.125,0.250025424591,1.21200144652e-13,28,0.00781314553318,0.249995232956
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2497768051.3,11807523.1351,2497768051.3,2506117230.98,2489418871.63,2490253789.59,2505282313.02,2.0,139417602585000.0,0.25,0.25,1.21200144652e-13,69,0.0156252979403,0.250004767044
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2488897311.33,6027910.70006,2488897311.33,2493159687.86,2484634934.79,2485061172.45,2492733450.21,2.0,36335707407900.0,0.25,0.250025424591,1.21200144652e-13,108,0.00781344350374,0.125002383522
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2480410656.46,30927515.6029,2480410656.46,2502279712.47,2458541600.46,2460728506.06,2500092806.87,2.0,956511221365000.0,0.125,0.124987287705,1.21200144652e-13,25,0.00195281465415,0.124992849434
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2475366834.48,10683557.8012,2475366834.48,2482921250.65,2467812418.31,2468567859.93,2482165809.03,2.0,114138407292000.0,0.25,0.25,1.21200144652e-13,94,0.0156252979403,0.250004767044
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2468922181.76,32428311.7007,2468922181.76,2491852460.87,2445991902.65,2448284930.56,2489559432.95,2.0,1051595399750000.0,0.125,0.250025424591,1.21200144652e-13,53,0.00781344350374,0.250004767044
