smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,44698.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,635577819.067,78136.8166047,635577819.067,635633070.14,635522567.994,635528093.102,635627545.033,2.0,6105362109.12,0.111101719985,0.0556451612903,2.5733227401400003e-13,0.000343415531252,0.055548424363,101
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,615821433.08,38948.8395023,615821433.08,615848974.069,615793892.092,615796646.191,615846219.97,2.0,1517012098.57,0.111114149417,0.0556451612903,2.5733227401400003e-13,0.000343453950639,0.055548424363,201
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,44698.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,410396588.974,89352.3712666,410396588.974,410459770.642,410333407.307,410339725.474,410453452.475,2.0,7983846250.96,0.111101719985,0.111290322581,2.5733227401400003e-13,0.00137405890783,0.111128939092,112
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,390508878.589,59770.6736578,390508878.589,390551142.837,390466614.34,390470840.765,390546916.412,2.0,3572533429.5,0.111114149417,0.111290322581,2.5733227401400003e-13,0.00137421262977,0.111128939092,212
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,350901020.664,35541.9714511,350901020.664,350926152.633,350875888.695,350878401.892,350923639.436,2.0,1263231734.63,0.0555446452764,0.0556451612903,2.5733227401400003e-13,0.000343476296473,0.111128939092,2
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,44698.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,345911393.373,637849.306528,345911393.373,346362420.943,345460365.803,345505468.56,346317318.186,2.0,406851737838.0,0.111101719985,0.0556451612903,2.5733227401400003e-13,0.000687029453915,0.111128939092,102
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,325727681.22,756896.076681,325727681.22,326262887.568,325192474.871,325245995.506,326209366.933,2.0,572891670894.0,0.111114149417,0.0556451612903,2.5733227401400003e-13,0.000687106314884,0.111128939092,202
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,44698.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,186668337.818,265595.161793,186668337.818,186856141.958,186480533.678,186499314.092,186837361.544,2.0,70540789967.8,0.111101719985,0.111290322581,2.5733227401400003e-13,0.00137405890783,0.111128939092,123
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,167048046.991,82264.4441448,167048046.991,167106216.737,166989877.245,166995694.219,167100399.763,2.0,6767438770.45,0.111114149417,0.111290322581,2.5733227401400003e-13,0.00137421262977,0.111128939092,223
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,127091510.795,109104.796124,127091510.795,127168659.537,127014362.054,127022076.928,127160944.662,2.0,11903856537.3,0.0555446452764,0.111290322581,2.5733227401400003e-13,0.000686952592947,0.111128939092,13
