smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-736087768.269,23254457.9363,-725276150.114,-722963324.371,-770835448.48,-764317533.626,-722994268.331,4.0,540769813912000.0,56,0.250018051845,0.249999055196,4.95258127397e-14,0.00782721432901,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-740174753.065,19930613.3805,-739050661.93,-721675466.097,-760922222.305,-759806066.182,-722117167.539,4.0,397229349724000.0,84,0.249981948155,0.249999055196,4.95258127397e-14,0.0156521680907,0.250453720508
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-786962388.076,4038884.1035,-787927105.801,-781739314.846,-790256025.855,-790223962.67,-782350208.667,4.0,16312584801500.0,77,0.249981948155,0.124998488314,4.95258127397e-14,0.00779766383568,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-794219646.102,6132203.63556,-795949159.618,-785635017.394,-799345247.776,-799113672.611,-786904300.669,4.0,37603921428000.0,63,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-826955953.716,14700501.9038,-820047452.448,-818742136.605,-848986773.363,-844665911.117,-818917898.09,4.0,216104756223000.0,42,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-852097667.333,10583813.3863,-850944877.524,-840854213.866,-865646700.417,-863954527.032,-841854713.366,4.0,112017105795000.0,83,0.249981948155,0.249999055196,4.95258127397e-14,0.0155954573367,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-861429534.447,1697771.14755,-860765993.015,-860245239.107,-863940912.65,-863490026.528,-860298000.371,4.0,2882426869450.0,21,0.124990974078,0.125000566882,4.95258127397e-14,0.00195653727845,0.125226860254
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-861688841.937,21911897.4803,-863868410.361,-836093342.918,-882925204.107,-881978170.271,-838348117.808,4.0,480131251188000.0,104,0.124990974078,0.124998488314,4.95258127397e-14,0.00391300948845,0.250453720508
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-886199423.953,3850050.16874,-886387124.518,-882056612.208,-889966834.568,-889812920.676,-882323146.439,4.0,14822886301800.0,62,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-928329778.592,8613619.32203,-929678690.282,-916705016.312,-937256717.494,-936335273.911,-918435806.909,4.0,74194437824800.0,41,0.250018051845,0.250000944804,4.95258127397e-14,0.00782727349068,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-943640495.237,22155970.3833,-937171694.136,-926164617.399,-974053975.278,-969857324.87,-926479987.146,4.0,490887023626000.0,76,0.249981948155,0.124998488314,4.95258127397e-14,0.00391300948845,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-966699558.528,40171120.4216,-947420544.3,-945025435.483,-1026931710.03,-1015041204.17,-945348532.808,4.0,1613718915920000.0,110,0.124990974078,0.249999055196,4.95258127397e-14,0.00391304202267,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-995797024.224,23619870.2756,-992054635.191,-975966187.749,-1023112638.77,-1020840491.95,-975992901.147,4.0,557898271835000.0,82,0.249981948155,0.249999055196,4.95258127397e-14,0.0155954573367,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1019052200.16,20225837.3354,-1013751013.15,-1002175972.12,-1046530802.22,-1042828591.59,-1002697470.54,4.0,409084495920000.0,61,0.250018051845,0.250000944804,4.95258127397e-14,0.00782727349068,0.125226860254
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1028388127.46,32758507.5153,-1022500167.16,-995790689.186,-1072761486.33,-1066376583.68,-998642815.651,4.0,1073119814630000.0,103,0.124990974078,0.124998488314,4.95258127397e-14,0.00389883191784,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1045759761.95,27234187.8253,-1039496442.02,-1020727493.26,-1083318670.48,-1077854517.6,-1022433654.19,4.0,741700986504000.0,89,0.249981948155,0.250000944804,4.95258127397e-14,0.015652286397,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1079867695.54,28995744.5072,-1075491518.72,-1054533640.99,-1113954103.73,-1110951108.45,-1054910930.17,4.0,840753199528000.0,68,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
