smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,663045170.355,163345.968217,663045170.355,663160673.397,662929667.313,662941217.617,663149123.092,2.0,26681905332.8,0.125018050542,26,0.249993707579,0.125226860254,3.66466187075e-13,0.00391380597435
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,625502376.733,27692.9680379,625502376.733,625521958.618,625482794.847,625484753.036,625520000.43,2.0,766900478.748,0.125018050542,51,0.250006292421,0.125226860254,3.66466187075e-13,0.00391400299785
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,587737224.54,44807.2705512,587737224.54,587768908.064,587705541.015,587708709.367,587765739.712,2.0,2007691494.25,0.125018050542,76,0.250006292421,0.125226860254,3.66466187075e-13,0.00391400299785
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,550164073.871,146590.927072,550164073.871,550267729.309,550060418.432,550070783.976,550257363.765,2.0,21488899899.9,0.125018050542,101,0.125003845369,0.125226860254,3.66466187075e-13,0.00195701244467
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,349757700.776,76667.2720141,349757700.776,349811912.724,349703488.828,349708910.023,349806491.529,2.0,5877870598.09,0.25,32,0.249993707579,0.250453720508,3.66466187075e-13,0.0156529635417
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,312191807.375,707544.501849,312191807.375,312692116.89,311691497.86,311741528.812,312642085.939,2.0,500619222097.0,0.25,57,0.250006292421,0.250453720508,3.66466187075e-13,0.0156537515218
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,275075599.236,527695.35912,275075599.236,275448736.203,274702462.269,274739775.966,275411422.506,2.0,278462392037.0,0.25,82,0.250006292421,0.250453720508,3.66466187075e-13,0.0156537515218
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,247046031.379,1065762.48414,247046031.379,247799639.258,246292423.499,246367784.287,247724278.47,2.0,1135849672610.0,0.25,27,0.249993707579,0.125226860254,3.66466187075e-13,0.00782648177084
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,237098436.405,202366.988065,237098436.405,237241531.474,236955341.335,236969650.842,237227221.968,2.0,40952397858.6,0.25,107,0.125003845369,0.250453720508,3.66466187075e-13,0.0078269195376
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,228906824.668,49978.1179177,228906824.668,228942164.534,228871484.802,228875018.789,228938630.548,2.0,2497812270.59,0.25,2,0.12498986221,0.125226860254,3.66466187075e-13,0.00391302200204
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,208651209.281,386051.803749,208651209.281,208924189.13,208378229.433,208405527.418,208896891.145,2.0,149035995178.0,0.25,52,0.250006292421,0.125226860254,3.66466187075e-13,0.00782687576092
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,172328651.579,78880.6962548,172328651.579,172384428.654,172272874.504,172278452.211,172378850.947,2.0,6222164241.65,0.25,77,0.250006292421,0.125226860254,3.66466187075e-13,0.00782687576092
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,134484427.38,426207.432388,134484427.38,134785801.546,134183053.215,134213190.631,134755664.129,2.0,181652775423.0,0.25,102,0.125003845369,0.125226860254,3.66466187075e-13,0.0039134597688
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,45031619.0066,514084.876904,45031619.0066,45395131.9091,44668106.104,44704457.3942,45358780.6189,2.0,264283260661.0,0.249963898917,38,0.249993707579,0.249546279492,3.66466187075e-13,0.0155939977396
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,9670744.77815,662216.755872,9670744.77815,10139002.7368,9202486.81946,9249312.61533,10092176.941,2.0,438531031757.0,0.249963898917,63,0.250006292421,0.249546279492,3.66466187075e-13,0.0155947827514
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-27576417.9151,916910.096067,-27576417.9151,-26928064.5684,-28224771.2617,-28159935.9271,-26992899.9031,2.0,840724124270.0,0.249963898917,88,0.250006292421,0.249546279492,3.66466187075e-13,0.0155947827514
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-63240505.6035,130898.018064,-63240505.6035,-63147946.7273,-63333064.4798,-63323808.5921,-63157202.6149,2.0,17134291133.2,0.249963898917,33,0.249993707579,0.250453720508,3.66466187075e-13,0.0156507031859
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-66996538.7671,79039.7963941,-66996538.7671,-66940649.1911,-67052428.3431,-67046839.3855,-66946238.1487,2.0,6247289414.03,0.249963898917,113,0.125003845369,0.249546279492,3.66466187075e-13,0.00779743498747
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-76058602.2781,398387.394617,-76058602.2781,-75776899.8498,-76340304.7063,-76312134.4635,-75805070.0926,2.0,158712516190.0,0.249963898917,8,0.12498986221,0.250453720508,3.66466187075e-13,0.00782491388941
