smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-647767624.527,272481.581857,-647807967.962,-647419674.54,-648034887.643,-648018273.173,-647460495.072,4.0,74246212451.5,0.250018051845,0.250007275152,68,0.0155982225654,3.46688419418e-13,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-664604432.619,598968.604826,-664583908.405,-664010619.918,-665239293.747,-665200965.834,-664036633.303,4.0,358763389567.0,0.250018051845,0.125002976198,73,0.00779907001867,3.46688419418e-13,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-718091982.5,472816.361201,-718094584.237,-717541142.941,-718637618.583,-718584127.358,-717596195.208,4.0,223555311420.0,0.250018051845,0.249992724848,57,0.0155973147564,3.46688419418e-13,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-722224921.418,173838.696905,-722146927.081,-722121079.16,-722484752.348,-722435571.484,-722123463.422,4.0,30219892541.6,0.250018051845,0.12498974865,52,0.00779824473773,3.46688419418e-13,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-736271199.385,274671.877169,-736251761.794,-736033200.388,-736548073.563,-736535846.338,-736033765.059,4.0,75444640107.8,0.250018051845,0.250007275152,62,0.0155982225654,3.46688419418e-13,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-754552958.523,426665.443071,-754592735.399,-754068695.491,-754957667.805,-754943270.069,-754106959.352,4.0,182043400311.0,0.250018051845,0.250007275152,67,0.0155982225654,3.46688419418e-13,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-773800415.542,454898.496885,-773806889.174,-773238924.532,-774348959.289,-774274796.799,-773316971.201,4.0,206932642468.0,0.250018051845,0.125002976198,72,0.00779907001867,3.46688419418e-13,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-829283991.893,585704.546259,-829361516.096,-828501547.105,-829911388.278,-829840174.124,-828619275.78,4.0,343049815508.0,0.250018051845,0.249992724848,56,0.0078270161323,3.46688419418e-13,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-845553008.432,71504.2046671,-845544744.675,-845474778.089,-845647766.29,-845633389.167,-845484196.957,4.0,5112851285.07,0.250018051845,0.12498974865,51,0.00391330099566,3.46688419418e-13,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-848404068.722,530395.059943,-848477833.172,-847703722.331,-848956886.215,-848905425.535,-847799441.681,4.0,281318919612.0,0.250018051845,0.250007275152,61,0.00782747168739,3.46688419418e-13,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-867686545.032,682932.787359,-867466378.002,-867166994.809,-868646429.313,-868504748.809,-867176575.096,4.0,466397192051.0,0.250018051845,0.250007275152,66,0.00782747168739,3.46688419418e-13,0.125226860254
