npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1471467499.39,1468668.88036,1471467499.39,1472506005.11,1470428993.66,1470532844.24,1472402154.54,2.0,2156988280130.0,0.249985591609,0.250002399496,0.25,0.0156242494354,63,8.705791516489999e-14
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1430229117.66,5012716.3932,1430229117.66,1433773643.41,1426684591.91,1427039044.48,1433419190.84,2.0,25127325638700.0,0.249985591609,0.249997067283,0.25,0.0156239161913,33,8.705791516489999e-14
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1416124616.3,1456555.65192,1416124616.3,1417154556.68,1415094675.92,1415197669.96,1417051562.64,2.0,2121554367150.0,0.250014408391,0.125001466359,0.124645892351,0.00389545432585,102,8.705791516489999e-14
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1400717835.56,6762705.57188,1400717835.56,1405499790.53,1395935880.59,1396414076.09,1405021595.03,2.0,45734186651900.0,0.249985591609,0.124996134146,0.25,0.0078118081358,19,8.705791516489999e-14
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1374230725.55,1756898.5256,1374230725.55,1375473040.41,1372988410.69,1373112642.18,1375348808.93,2.0,3086692429250.0,0.249985591609,0.250002932717,0.25,0.0156242827598,88,8.705791516489999e-14
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1333225929.44,1680758.28296,1333225929.44,1334414405.02,1332037453.86,1332156301.42,1334295557.46,2.0,2824948405740.0,0.249985591609,0.250002399496,0.25,0.0156242494354,58,8.705791516489999e-14
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1308095334.85,2006022.66603,1308095334.85,1309513807.08,1306676862.62,1306818709.85,1309371959.86,2.0,4024126936630.0,0.249985591609,0.249997067283,0.25,0.0156239161913,44,8.705791516489999e-14
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1286421044.1,3205594.94169,1286421044.1,1288687742.02,1284154346.18,1284381015.97,1288461072.23,2.0,10275838930200.0,0.249985591609,0.124996134146,0.124645892351,0.00389483918385,3,8.705791516489999e-14
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1274016084.49,3661114.2068,1274016084.49,1276604883.17,1271427285.81,1271686165.68,1276346003.31,2.0,13403757235200.0,0.249985591609,0.125001466359,0.25,0.00781214137989,113,8.705791516489999e-14
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1273603454.25,1572287.69615,1273603454.25,1274715229.54,1272491678.96,1272602856.48,1274604052.01,2.0,2472088599470.0,0.249985591609,0.249997067283,0.124645892351,0.00778982790274,28,8.705791516489999e-14
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1238069068.06,4555274.29382,1238069068.06,1241290133.41,1234848002.72,1235170109.26,1240968026.87,2.0,20750523892000.0,0.249985591609,0.250002932717,0.25,0.0156242827598,83,8.705791516489999e-14
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1210963734.71,5902893.33079,1210963734.71,1215137710.61,1206789758.81,1207207156.4,1214720313.02,2.0,34844149674700.0,0.249985591609,0.124996134146,0.25,0.0078118081358,14,8.705791516489999e-14
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1207927919.44,4464520.18804,1207927919.44,1211084811.94,1204771026.94,1205086716.19,1210769122.69,2.0,19931940509400.0,0.249985591609,0.250002399496,0.25,0.0156242494354,69,8.705791516489999e-14
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1177002502.8,4126253.27076,1177002502.8,1179920204.46,1174084801.13,1174376571.29,1179628434.3,2.0,17025966054400.0,0.249985591609,0.250002399496,0.124645892351,0.00778999405277,53,8.705791516489999e-14
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1168631998.75,2939549.47214,1168631998.75,1170710574.11,1166553423.38,1166761280.92,1170502716.58,2.0,8640951099150.0,0.249985591609,0.249997067283,0.25,0.0156239161913,39,8.705791516489999e-14
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1164065941.54,4668122.46846,1164065941.54,1167366802.59,1160765080.48,1161095166.59,1167036716.48,2.0,21791367380500.0,0.125007204196,0.124996134146,0.125354107649,0.00195871023787,25,8.705791516489999e-14
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1131933686.81,277464.56275,1131933686.81,1132129883.88,1131737489.74,1131757109.44,1132110264.18,2.0,76986583582.2,0.249985591609,0.125001466359,0.25,0.00781214137989,108,8.705791516489999e-14
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1112055312.36,6988817.79905,1112055312.36,1116997152.82,1107113471.9,1107607655.95,1116502968.77,2.0,48843574228300.0,0.249985591609,0.250002932717,0.25,0.0156242827598,94,8.705791516489999e-14
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1077976706.03,2589569.72608,1077976706.03,1079807808.35,1076145603.72,1076328713.95,1079624698.12,2.0,6705871366210.0,0.249985591609,0.250002932717,0.124645892351,0.00779001066777,78,8.705791516489999e-14
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1076708739.81,3248348.79781,1076708739.81,1079005669.28,1074411810.35,1074641503.3,1078775976.33,2.0,10551769912200.0,0.125007204196,0.249997067283,0.125354107649,0.00391749567674,50,8.705791516489999e-14
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1062462140.72,2413877.44064,1062462140.72,1064169009.83,1060755271.61,1060925958.52,1063998322.92,2.0,5826804298420.0,0.249985591609,0.250002399496,0.25,0.0156242494354,64,8.705791516489999e-14
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1023475634.22,3621324.52456,1023475634.22,1026036297.35,1020914971.09,1021171037.4,1025780231.03,2.0,13113991312100.0,0.249985591609,0.124996134146,0.25,0.0078118081358,9,8.705791516489999e-14
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1016835240.61,94303.9190679,1016835240.61,1016901923.55,1016768557.67,1016775225.97,1016895255.26,2.0,8893229151.56,0.249985591609,0.125001466359,0.25,0.00781214137989,119,8.705791516489999e-14
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,993608167.013,1857725.23046,993608167.013,994921777.121,992294556.905,992425917.916,994790416.11,2.0,3451143031880.0,0.249985591609,0.249997067283,0.25,0.0156239161913,34,8.705791516489999e-14
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,983938677.722,3629605.68885,983938677.722,986505196.517,981372158.926,981628810.806,986248544.638,2.0,13174037456600.0,0.249985591609,0.125001466359,0.124645892351,0.00389500533388,103,8.705791516489999e-14
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,980982822.427,2101616.77656,980982822.427,982468889.901,979496754.952,979645361.7,982320283.153,2.0,4416793075500.0,0.125007204196,0.124996134146,0.25,0.00390635431621,20,8.705791516489999e-14
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,976574044.804,6248534.1496,976574044.804,980992425.674,972155663.935,972597502.022,980550587.587,2.0,39044179018700.0,0.125007204196,0.250002399496,0.125354107649,0.0039175792334,75,8.705791516489999e-14
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,962671873.935,6048339.25644,962671873.935,966948695.638,958395052.232,958822734.402,966521013.468,2.0,36582407761000.0,0.249985591609,0.250002932717,0.25,0.0156242827598,89,8.705791516489999e-14
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,910313719.207,9750956.59502,910313719.207,917208686.738,903418751.675,904108248.428,916519189.985,2.0,95081154517900.0,0.125007204196,0.249997067283,0.25,0.00781285860954,45,8.705791516489999e-14
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,894292122.866,1801211.90673,894292122.866,895565772.02,893018473.712,893145838.628,895438407.104,2.0,3244364332960.0,0.249985591609,0.250002399496,0.25,0.0156242494354,59,8.705791516489999e-14
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,875224367.058,7964733.17656,875224367.058,880856283.897,869592450.218,870155641.902,880293092.213,2.0,63436974573700.0,0.125007204196,0.250002932717,0.125354107649,0.00391758758907,100,8.705791516489999e-14
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,870354706.018,6340707.09937,870354706.018,874838263.005,865871149.03,866319504.729,874389907.306,2.0,40204566519900.0,0.249985591609,0.125001466359,0.25,0.00781214137989,114,8.705791516489999e-14
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,841089417.55,5776293.01647,841089417.55,845173873.512,837004961.588,837413407.184,844765427.916,2.0,33365561012100.0,0.249985591609,0.124996134146,0.124645892351,0.00389483918385,4,8.705791516489999e-14
