smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-meoh_capacity
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1732658274.52,4289103.47085,-1732658274.52,-1729625420.37,-1735691128.66,-1735387843.25,-1729928705.78,2.0,18396408583600.0,0.0714534883721,0.0714206061936,0.000364517961013,9.835748238069999e-14,1,0.0714285714286
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1773145003.24,534168.687525,-1773145003.24,-1772767288.94,-1773522717.54,-1773484946.11,-1772805060.37,2.0,285336186732.0,0.0714534883721,0.142850352821,0.000729082573159,9.835748238069999e-14,65,0.0714285714286
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1810955995.2,109350.136957,-1810955995.2,-1810878672.98,-1811033317.42,-1811025585.2,-1810886405.2,2.0,11957452452.6,0.0714534883721,0.142859493254,0.000729129224292,9.835748238069999e-14,129,0.0714285714286
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1974162648.04,19748778.3463,-1974162648.04,-1960198152.95,-1988127143.13,-1986730693.62,-1961594602.46,2.0,390014246171000.0,0.0714534883721,0.142850352821,0.00145816514632,9.835748238069999e-14,66,0.142857142857
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2015299045.51,6339323.37765,-2015299045.51,-2010816466.96,-2019781624.06,-2019333366.2,-2011264724.81,2.0,40187020886400.0,0.0714534883721,0.142859493254,0.00145825844858,9.835748238069999e-14,130,0.142857142857
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2063753545.13,11452033.3259,-2063753545.13,-2055655734.71,-2071851355.56,-2071041574.52,-2056465515.75,2.0,131149067298000.0,0.0714534883721,0.0714206061936,0.000729035922026,9.835748238069999e-14,2,0.142857142857
960.0,-661.3,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2112806176.78,27544116.5964,-2112806176.78,-2093329545.15,-2132282808.41,-2130335145.24,-2095277208.31,2.0,758678359073000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,19,0.142857142857
960.0,-661.3,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2148940138.33,5100032.59187,-2148940138.33,-2145333870.7,-2152546405.96,-2152185779.2,-2145694497.47,2.0,26010332438100.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,83,0.142857142857
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2158605314.77,13334646.0672,-2158605314.77,-2149176296.11,-2168034333.43,-2167091431.56,-2150119197.98,2.0,177812785737000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,75,0.142857142857
960.0,-661.3,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2166147864.84,12470344.634,-2166147864.84,-2157329999.59,-2174965730.1,-2174083943.57,-2158211786.12,2.0,155509495290000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,147,0.142857142857
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2230627982.32,8304363.48394,-2230627982.32,-2224755910.59,-2236500054.05,-2235912846.88,-2225343117.76,2.0,68962452873400.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,139,0.142857142857
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2257119283.95,515723.537113,-2257119283.95,-2256754612.34,-2257483955.56,-2257447488.4,-2256791079.5,2.0,265970766732.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,11,0.142857142857
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2259985164.87,12193515.3573,-2259985164.87,-2251363047.47,-2268607282.26,-2267745070.52,-2252225259.21,2.0,148681816768000.0,0.0714534883721,0.142850352821,0.00145816514632,9.835748238069999e-14,67,0.142857142857
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2292511834.09,40358156.8403,-2292511834.09,-2263974307.71,-2321049360.47,-2318195607.83,-2266828060.35,2.0,1628780823550000.0,0.0714534883721,0.142859493254,0.00145825844858,9.835748238069999e-14,131,0.142857142857
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2331831015.66,13054277.3939,-2331831015.66,-2322600247.59,-2341061783.72,-2340138706.92,-2323523324.39,2.0,170414158276000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,84,0.142857142857
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2405903185.86,17309245.9417,-2405903185.86,-2393663700.68,-2418142671.05,-2416918722.53,-2394887649.2,2.0,299609995070000.0,0.0714534883721,0.0714206061936,0.000729035922026,9.835748238069999e-14,3,0.142857142857
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2414026842.64,32678116.6556,-2414026842.64,-2390919924.76,-2437133760.52,-2434823068.74,-2393230616.54,2.0,1067859308150000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,148,0.142857142857
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2447075524.0,158763.843088,-2447075524.0,-2446963261.01,-2447187786.99,-2447176560.69,-2446974487.31,2.0,25205957872.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,37,0.142857142857
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2456918772.28,19334096.1933,-2456918772.28,-2443247501.76,-2470590042.81,-2469222915.76,-2444614628.81,2.0,373807275613000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,140,0.142857142857
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2467552223.77,10689919.5364,-2467552223.77,-2459993309.17,-2475111138.36,-2474355246.9,-2460749200.63,2.0,114274379694000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,76,0.142857142857
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2475221292.07,12247886.7573,-2475221292.07,-2466560728.29,-2483881855.85,-2483015799.47,-2467426784.67,2.0,150010730020000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,20,0.142857142857
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2502783397.96,48965650.389,-2502783397.96,-2468159454.53,-2537407341.4,-2533944947.06,-2471621848.87,2.0,2397634918020000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,101,0.142857142857
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2514697658.54,26725703.5967,-2514697658.54,-2495799732.29,-2533595584.78,-2531705792.16,-2497689524.92,2.0,714263232740000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,165,0.142857142857
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2541930391.14,15367703.6649,-2541930391.14,-2531063783.66,-2552796998.61,-2551710337.86,-2532150444.41,2.0,236166315932000.0,0.0714534883721,0.142850352821,0.00145816514632,9.835748238069999e-14,68,0.142857142857
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2566425538.37,34643982.939,-2566425538.37,-2541928543.1,-2590922533.63,-2588472834.1,-2544378242.63,2.0,1200205553870000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,12,0.142857142857
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2577127375.79,6525094.47598,-2577127375.79,-2572513437.24,-2581741314.35,-2581279920.49,-2572974831.1,2.0,42576857920500.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,157,0.142857142857
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2578410708.98,17957330.7074,-2578410708.98,-2565712958.67,-2591108459.3,-2589838684.27,-2566982733.7,2.0,322465726135000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,93,0.142857142857
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2583974549.87,18937984.9191,-2583974549.87,-2570583372.31,-2597365727.43,-2596026609.67,-2571922490.07,2.0,358647272797000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,29,0.142857142857
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2597901301.85,6585204.18262,-2597901301.85,-2593244859.32,-2602557744.39,-2602092100.13,-2593710503.57,2.0,43364914126800.0,0.0714534883721,0.142859493254,0.00145825844858,9.835748238069999e-14,132,0.142857142857
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2663286433.84,1311882.68216,-2663286433.84,-2662358792.7,-2664214074.98,-2664121310.87,-2662451556.82,2.0,1721036171750.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,85,0.142857142857
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2680066295.38,28610065.1387,-2680066295.38,-2659835924.31,-2700296666.45,-2698273629.35,-2661858961.42,2.0,818535827242000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,102,0.142857142857
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2683009154.73,18615948.862,-2683009154.73,-2669845691.05,-2696172618.4,-2694856272.04,-2671162037.42,2.0,346553552033000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,149,0.142857142857
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2707518115.47,17801766.3745,-2707518115.47,-2694930365.75,-2720105865.19,-2718847090.22,-2696189140.72,2.0,316902886052000.0,0.0714534883721,0.0714206061936,0.000729035922026,9.835748238069999e-14,4,0.142857142857
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2724792111.09,5987291.09034,-2724792111.09,-2720558456.96,-2729025765.22,-2728602399.81,-2720981822.37,2.0,35847654600500.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,77,0.142857142857
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2731632739.26,47239921.5564,-2731632739.26,-2698229070.38,-2765036408.13,-2761696041.24,-2701569437.27,2.0,2231610188650000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,21,0.142857142857
