smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-smr_capacity
240.0,-1e+200,ref,cooper,nebraska,covid,-71396915.5741,12512069.0317,-66800241.7628,-58148025.2681,-91961815.069,-90154647.7662,-59337685.2656,10.0,156551871454000.0,0.125,0.00104166666667,1,0.125
480.0,-1e+200,ref,cooper,nebraska,covid,-137838049.997,19893806.7627,-135137167.267,-116280263.315,-182885896.27,-168972302.209,-118510013.052,10.0,395763547512000.0,0.25,0.00104166666667,2,0.25
720.0,-1e+200,ref,cooper,nebraska,covid,-192413224.818,15593990.3129,-192681255.155,-170514303.766,-223348009.235,-215156055.634,-173395334.045,10.0,243172533878000.0,0.25,0.00104166666667,3,0.25
960.0,-1e+200,ref,cooper,nebraska,covid,-275677488.098,30397037.684,-272126270.257,-244031897.765,-338663353.179,-321326753.785,-244367861.777,10.0,923979899962000.0,0.25,0.00104166666667,4,0.25
1200.0,-1e+200,ref,cooper,nebraska,covid,-314543488.069,29890774.6539,-304085940.649,-287202733.317,-378857032.564,-367562384.216,-289526525.437,10.0,893458409410000.0,0.125,0.00104166666667,5,0.125
