smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1521609757.33,278476.419393,1521609757.33,1521806669.9,1521412844.77,1521432536.03,1521786978.64,2.0,77549116158.2,6.12351299001e-14,0.125,0.00195307114064,1,0.125,0.124996553001
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1414440300.33,4190092.74274,1414440300.33,1417403143.33,1411477457.34,1411773741.64,1417106859.03,2.0,17556877192800.0,6.12351299001e-14,0.125,0.00390621152903,26,0.125,0.249997537858
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1310855055.78,785909.045333,1310855055.78,1311410777.39,1310299334.16,1310354906.32,1311355205.23,2.0,617653027536.0,6.12351299001e-14,0.125,0.00390628847097,51,0.125,0.250002462142
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1202438508.95,1818261.82889,1202438508.95,1203724214.22,1201152803.68,1201281374.2,1203595643.69,2.0,3306076078390.0,6.12351299001e-14,0.125,0.00390628847097,76,0.125,0.250002462142
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1170769108.08,2060947.07708,1170769108.08,1172226417.74,1169311798.43,1169457529.4,1172080686.77,2.0,4247502854510.0,6.12351299001e-14,0.25,0.00781228456257,7,0.25,0.124996553001
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1091608566.03,2196465.47864,1091608566.03,1093161701.66,1090055430.4,1090210743.96,1093006388.1,2.0,4824460598860.0,6.12351299001e-14,0.125,0.00195314038839,101,0.125,0.125000984857
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1059027998.54,2552713.71333,1059027998.54,1060833039.72,1057222957.37,1057403461.49,1060652535.6,2.0,6516347302210.0,6.12351299001e-14,0.25,0.0156248461161,32,0.25,0.249997537858
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,955263953.575,2661750.54792,955263953.575,957146095.438,953381811.713,953570025.899,956957881.252,2.0,7084915979360.0,6.12351299001e-14,0.25,0.0156251538839,57,0.25,0.250002462142
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,931224584.355,388516.273435,931224584.355,931499306.847,930949861.864,930977334.113,931471834.598,2.0,150944894724.0,6.12351299001e-14,0.125,0.00390614228128,2,0.25,0.124996553001
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,927945043.375,2642845.60376,927945043.375,929813817.423,926076269.327,926263146.732,929626940.018,2.0,6984632885320.0,6.12351299001e-14,0.125,0.00781242305806,27,0.25,0.249997537858
