npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1417257507.03,11347125.0472,1417257507.03,1425281136.1,1409233877.97,1410036240.87,1424478773.2,2.0,128757246836000.0,63,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1380436723.35,13493925.2375,1380436723.35,1389978369.39,1370895077.3,1371849241.91,1389024204.78,2.0,182086018314000.0,33,0.249579831933,0.0155994196985,0.249993800956,2.85069050095e-13,0.250017101033
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1376735086.34,5782939.35538,1376735086.34,1380824241.97,1372645930.71,1373054846.27,1380415326.41,2.0,33442387588000.0,88,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1367118823.38,6953580.26675,1367118823.38,1372035747.14,1362201899.62,1362693591.99,1371544054.76,2.0,48352278526100.0,8,0.249579831933,0.00779928435215,0.12499008153,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1349066639.35,1766508.89323,1349066639.35,1350315749.76,1347817528.93,1347942439.97,1350190838.72,2.0,3120553669860.0,58,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1330893493.39,10468982.9284,1330893493.39,1338296182.21,1323490804.57,1324231073.45,1337555913.33,2.0,109599603555000.0,113,0.249579831933,0.00780013534634,0.125003719426,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1278609121.22,2698001.81988,1278609121.22,1280516896.61,1276701345.84,1276892123.38,1280326119.07,2.0,7279213820070.0,83,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1260098887.67,9734372.27901,1260098887.67,1266982128.32,1253215647.02,1253903971.09,1266293804.26,2.0,94758003666400.0,28,0.125210084034,0.00782597149857,0.249993800956,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1253615527.69,1263123.03612,1253615527.69,1254508690.55,1252722364.82,1252811681.11,1254419374.27,2.0,1595479804380.0,108,0.249579831933,0.00780013534634,0.125003719426,2.85069050095e-13,0.250017101033
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1236765903.14,39872164.468,1236765903.14,1264959781.02,1208572025.27,1211391413.06,1262140393.23,2.0,1589789499360000.0,19,0.250420168067,0.00782447404289,0.12499008153,2.85069050095e-13,0.249982898967
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1229880471.62,6905168.01133,1229880471.62,1234763162.74,1224997780.49,1225486049.61,1234274893.63,2.0,47681345264600.0,53,0.125210084034,0.00782635961652,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1223528999.59,6788216.14357,1223528999.59,1228328993.26,1218729005.92,1219209005.29,1227848993.89,2.0,46079878411800.0,3,0.125210084034,0.00391277228441,0.12499008153,2.85069050095e-13,0.250017101033
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1213997812.73,11691395.0113,1213997812.73,1222264877.42,1205730748.03,1206557454.5,1221438170.95,2.0,136688717309000.0,44,0.250420168067,0.0156498018285,0.249993800956,2.85069050095e-13,0.249982898967
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1181352014.13,2581910.83077,1181352014.13,1183177700.79,1179526327.47,1179708896.14,1182995132.12,2.0,6666263538040.0,69,0.250420168067,0.0156505779582,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1179913450.46,7070296.65346,1179913450.46,1184912905.17,1174913995.75,1175413941.22,1184412959.7,2.0,49989094767900.0,78,0.125210084034,0.00782635961652,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1136153871.0,12331059.5928,1136153871.0,1144873246.85,1127434495.14,1128306432.72,1144001309.27,2.0,152055030681000.0,103,0.125210084034,0.00391319921416,0.125003719426,2.85069050095e-13,0.250017101033
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1119955088.83,5905557.28169,1119955088.83,1124130948.43,1115779229.23,1116196815.19,1123713362.47,2.0,34875606807300.0,94,0.250420168067,0.0156505779582,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1115254780.77,17258456.677,1115254780.77,1127458352.52,1103051209.02,1104271566.2,1126237995.35,2.0,297854326873000.0,39,0.249579831933,0.0155972857149,0.249993800956,2.85069050095e-13,0.249982898967
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1094501994.06,10195300.8496,1094501994.06,1101711160.43,1087292827.69,1088013744.33,1100990243.79,2.0,103944159413000.0,14,0.249579831933,0.00779821741859,0.12499008153,2.85069050095e-13,0.249982898967
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1089208524.04,3782631.53911,1089208524.04,1091883248.45,1086533799.63,1086801272.07,1091615776.01,2.0,14308301360700.0,64,0.249579831933,0.0155980592402,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1065573986.78,25421760.1713,1065573986.78,1083549885.78,1047598087.77,1049395677.67,1081752295.88,2.0,646265890208000.0,119,0.250420168067,0.00782532778557,0.125003719426,2.85069050095e-13,0.249982898967
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1038018783.74,6353474.63285,1038018783.74,1042511368.74,1033526198.75,1033975457.25,1042062110.24,2.0,40366639910200.0,25,0.125210084034,0.00195585087924,0.12499008153,2.85069050095e-13,0.124974348451
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1025184101.08,3613115.2679,1025184101.08,1027738959.39,1022629242.77,1022884728.6,1027483473.56,2.0,13054601939200.0,89,0.249579831933,0.0155980592402,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1001946808.76,771311.330436,1001946808.76,1002492208.23,1001401409.28,1001455949.23,1002437668.28,2.0,594921168459.0,50,0.125210084034,0.00391191516495,0.249993800956,2.85069050095e-13,0.124974348451
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,998194739.314,228392.9082,998194739.314,998356237.488,998033241.14,998049390.957,998340087.67,2.0,52163320515.8,114,0.249579831933,0.00779906829636,0.125003719426,2.85069050095e-13,0.249982898967
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,998167534.947,1630690.93128,998167534.947,999320607.563,997014462.331,997129769.593,999205300.301,2.0,2659152913370.0,34,0.249579831933,0.0155972857149,0.249993800956,2.85069050095e-13,0.249982898967
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,959677044.406,3311725.91159,959677044.406,962018788.255,957335300.556,957569474.941,961784613.87,2.0,10967528513500.0,9,0.249579831933,0.00779821741859,0.12499008153,2.85069050095e-13,0.249982898967
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,958147103.523,520215.70545,958147103.523,958514951.576,957779255.47,957816040.275,958478166.771,2.0,270624380197.0,59,0.249579831933,0.0155980592402,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,946011041.531,11713523.2136,946011041.531,954293753.226,937728329.835,938556601.004,953465482.057,2.0,137206626076000.0,75,0.125210084034,0.00391210917083,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,929622027.309,1299816.33357,929622027.309,930541136.253,928702918.365,928794829.259,930449225.358,2.0,1689522501030.0,84,0.249579831933,0.0155980592402,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,910260939.183,655284.998716,910260939.183,910724295.649,909797582.717,909843918.364,910677960.003,2.0,429398429543.0,100,0.125210084034,0.00391210917083,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,885892522.039,8987179.45667,885892522.039,892247417.577,879537626.502,880173116.056,891611928.023,2.0,80769394586500.0,20,0.250420168067,0.00391170175848,0.12499008153,2.85069050095e-13,0.124974348451
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,872205974.547,20474385.0224,872205974.547,886683551.037,857728398.057,859176155.706,885235793.388,2.0,419200442045000.0,109,0.249579831933,0.00779906829636,0.125003719426,2.85069050095e-13,0.249982898967
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,866871349.12,10506426.1954,866871349.12,874300514.329,859442183.911,860185100.432,873557597.808,2.0,110384991400000.0,29,0.125210084034,0.00782490091423,0.249993800956,2.85069050095e-13,0.249982898967
