cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-455123080.493,0.0,0.0,0.0,0.0,0.0,-522286396.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-96690658.8373,137344685.849,103014236.16,0.0,-15678540.2558,22270653.7724,-20223440.0,-13031293.6027,-18631611.15,0.0,-17992250.1179,25557173.463,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,9265181.56489,5088818.33832,28949752.5662,100415251.889,0.0,-172.245057741,244.666275201,0.0,0.0
2,0.0,-179792769.418,255387456.559,103014236.16,0.0,-29153676.3417,41411472.0763,-20223440.0,-13031293.5754,-18631611.15,0.0,-33455935.8231,47522636.1124,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,10460959.3372,5088818.33832,28949752.5662,100415251.889,0.0,-320.283430914,454.948055276,0.0,0.0
3,0.0,-158361217.925,224944911.825,103014236.16,0.0,-25678517.0361,36475166.2445,-20223440.0,-13031293.5446,-18631611.15,0.0,-29467941.1243,41857870.9152,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,13847197.1103,4844673.77695,27689086.4303,96117123.3911,0.0,-282.105194581,400.717605939,0.0,0.0
4,0.0,-139574970.671,198259901.522,103014236.16,0.0,-22632297.9146,32148150.4469,-20223440.0,-13031293.5703,-18631611.15,0.0,-25972186.0697,36892309.758,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,9652408.19064,2293829.50238,20752537.0878,71361670.6872,0.0,-248.639311921,353.180840797,0.0,0.0
5,0.0,-122937437.467,174627041.857,103014236.16,0.0,-19934496.108,28316045.608,-20223440.0,-13031293.6436,-18631611.15,0.0,-22876264.8881,32494694.4434,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,7982556.82191,2255728.35244,22835423.678,75362802.9,0.0,-219.001155538,311.081186844,0.0,0.0
6,0.0,-108161591.79,153638624.702,103014236.16,0.0,-17538569.8205,24912741.2222,-20223440.0,-13031293.5612,-18631611.15,0.0,-20126767.5289,28589158.4218,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,8231349.75118,2204597.60575,22835637.1133,74728183.8575,0.0,-192.679415439,273.692351476,0.0,0.0
7,0.0,-100246942.741,142396225.485,103014236.16,0.0,-16255197.2051,23089768.7572,-20223440.0,-13031293.5749,-18631611.15,0.0,-18654005.3512,26497166.692,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,10081915.084,2241911.96894,23052554.0852,74189552.5122,0.0,-178.580233587,253.665104527,0.0,0.0
8,0.0,-98108184.3231,139358216.368,103014236.16,0.0,-15908394.2113,22597150.8683,-20223440.0,-13031293.5739,-18631611.15,0.0,-18256024.0274,25931852.3116,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,7435230.9532,2287704.31838,23478551.9042,74109845.1711,0.0,-174.770242305,248.253185092,0.0,0.0
9,0.0,-96177793.4834,136616183.925,103014236.16,0.0,-15595378.3434,22152526.0559,-20223440.0,-13031293.5897,-18631611.15,0.0,-17896815.8553,25421613.4309,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,5788730.84256,2332778.65878,23997470.3092,75116971.8128,0.0,-171.331437712,243.368519478,0.0,0.0
10,0.0,-93966584.5568,133475262.155,103014236.16,0.0,-15236827.3873,21643220.7206,-20223440.0,-13031293.6006,-18631611.15,0.0,-17485352.9018,24837149.0082,-27050057.67,-4445282.60352,-20152390.2678,440497476.0,10686528.6722,2366867.83871,24299494.6104,75773807.4735,0.0,-167.392382856,237.773271103,0.0,0.0
11,0.0,-92117684.4337,130848983.571,103014236.16,0.0,-14937025.3655,21217365.576,-20223440.0,-13031293.5509,-18631611.15,0.0,-17141308.5664,24348449.6681,-27050057.67,-4445282.60352,-20152390.2678,0.0,9393159.598,2475395.85049,24254928.5557,75517363.2427,0.0,-164.098746095,233.094809794,0.0,0.0
12,0.0,-89999820.8528,127840654.62,103014236.16,0.0,-14593610.502,20729560.3721,-20223440.0,-13031293.6054,-18631611.15,0.0,-16747215.3652,23788658.1892,-27050057.67,-4445282.60352,-20152390.2678,0.0,10448011.9517,2530855.81382,24970300.8225,76979561.3289,0.0,-160.325976944,227.735762705,0.0,0.0
13,0.0,-88228971.3467,125325243.39,103014236.16,0.0,-14306464.5087,20321682.5408,-20223440.0,-13031293.5947,-18631611.15,0.0,-16417694.7309,23320589.1063,-27050057.67,-4445282.60352,-20152390.2678,0.0,13273011.6636,2579362.8043,25317803.9954,77486839.8224,0.0,-157.171379808,223.254800864,0.0,0.0
14,0.0,-86200512.573,122443909.905,103014236.16,0.0,-13977546.7733,19854469.8485,-20223440.0,-13031293.5794,-18631611.15,0.0,-16040238.0246,22784429.0122,-27050057.67,-4445282.60352,-20152390.2678,0.0,9680154.40432,2604923.73733,25560923.9628,77927600.1241,0.0,-153.557876676,218.121983915,0.0,0.0
15,0.0,-84504418.8067,120034685.805,103014236.16,0.0,-13702522.5392,19463810.425,-20223440.0,-13031293.6356,-18631611.15,0.0,-15724627.9788,22336119.288,-27050057.67,-4445282.60352,-20152390.2678,0.0,7994126.98733,2644010.07125,25743363.5097,78069497.9675,0.0,-150.536449661,213.830184177,0.0,0.0
16,0.0,-41280795.3252,58637493.3596,103014236.16,0.0,-6693744.97059,9508160.46959,-20223440.0,-13031293.5836,-18631611.15,0.0,-7681552.73207,10911296.4944,-27050057.67,-4445282.60352,-20152390.2678,0.0,8360916.02346,2662209.71102,25977814.5734,78556689.341,0.0,-73.5377445959,104.457023574,0.0,0.0
17,0.0,0.0,0.0,103014236.16,0.0,0.0,0.0,-20223440.0,-13031293.6301,-18631611.15,0.0,0.0,0.0,-27050057.67,-4445282.60352,-20152390.2678,0.0,10142771.9096,2696729.12952,26373020.5378,79472241.8419,0.0,0.0,0.0,0.0,0.0
