smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-385891907.703,25193611.1455,-384335495.08,-342375027.298,-427184253.873,-421848951.381,-352962571.893,10.0,634718042549000.0,2.4762864257000002e-14,0.015652200625,0.250453720508,0.249981948155,84,0.249999574839
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-390633914.191,25051830.8419,-385165575.128,-353112988.114,-427218747.869,-422819958.979,-356508420.076,10.0,627594228533000.0,2.4762864257000002e-14,0.00389885770361,0.249546279492,0.124990974078,102,0.124999315018
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-440160099.031,32506343.5667,-447897068.623,-378755567.932,-492122367.976,-478639988.194,-388327063.513,10.0,1056662372080000.0,2.4762864257000002e-14,0.00391305015624,0.125226860254,0.124990974078,110,0.249999574839
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-465329591.648,30728337.5563,-460919096.88,-424615921.766,-522244664.61,-511244539.68,-426715839.138,10.0,944230728972000.0,2.4762864257000002e-14,0.0155954897531,0.249546279492,0.249981948155,83,0.249999574839
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-482184342.091,23291230.8613,-475153340.154,-462548358.259,-527352675.442,-523814739.087,-462613910.217,10.0,542481435035000.0,2.4762864257000002e-14,0.00782723059849,0.125226860254,0.250018051845,56,0.249999574839
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-544772559.701,32770872.2826,-552320345.853,-500717852.189,-599367976.379,-590086956.904,-500734260.01,10.0,1073930070160000.0,2.4762864257000002e-14,0.00195651768399,0.125226860254,0.124990974078,101,0.124999315018
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-563609536.174,49851874.1099,-555028067.535,-464464523.396,-638158441.814,-622281801.605,-489102499.314,10.0,2485209352270000.0,2.4762864257000002e-14,0.00782610031248,0.250453720508,0.124990974078,109,0.249999574839
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-593200364.026,19154847.9859,-593689639.701,-556200964.786,-621056829.449,-617412399.723,-565765114.412,10.0,366908201362000.0,2.4762864257000002e-14,0.0155954897531,0.249546279492,0.249981948155,82,0.249999574839
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-680664543.886,2158421.33607,-680730799.18,-676784664.148,-684822799.317,-683834921.758,-677584081.115,10.0,4658782664020.0,2.4762864257000002e-14,0.0039130649445,0.125226860254,0.124990974078,11,0.250000519641
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-714870698.025,49965206.3174,-733964071.76,-627863986.55,-776476909.318,-767312025.218,-632912153.329,10.0,2496521842340000.0,2.4762864257000002e-14,0.00779774487657,0.249546279492,0.124990974078,108,0.249999574839
