smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-smr_capacity,prefix,ProbabilityWeight
1200.0,-1e+200,ref,davis_besse,ohio,covid,465488500.269,14327059.821,460486979.349,488430563.828,446364160.087,448093181.672,485070318.665,10.0,205264643116000.0,0.00104166666667,0.125,5,0.125
960.0,-1e+200,ref,davis_besse,ohio,covid,369580961.967,9199213.15075,370661663.865,383909190.121,354287849.555,356238815.757,382832660.57,10.0,84625522593000.0,0.00104166666667,0.25,4,0.25
720.0,-1e+200,ref,davis_besse,ohio,covid,280089776.35,8041903.08035,280773312.095,293207426.221,270053397.616,271265019.158,292887479.177,10.0,64672205153700.0,0.00104166666667,0.25,3,0.25
480.0,-1e+200,ref,davis_besse,ohio,covid,186479026.953,5415663.35617,187492015.52,197673793.931,177243026.703,179126800.754,193654612.254,10.0,29329409587400.0,0.00104166666667,0.25,2,0.25
240.0,-1e+200,ref,davis_besse,ohio,covid,92133202.8427,2717099.71993,91406777.8647,96596449.2572,87909522.7552,88979672.2285,96137315.7652,10.0,7382630888040.0,0.00104166666667,0.125,1,0.125
