smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
720.0,-154.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,18154714.4881,45079335.7059,9610008.13687,107209445.879,-53443859.0703,-39074660.6659,88971395.7978,10.0,2032146507690000.0,0.125226860254,20,0.250000425161,0.124990974078,0.00391306346567,2.4762864257000002e-14
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-110115177.253,25371693.9112,-107269233.381,-73135221.3839,-152152526.715,-145974892.535,-77516861.7882,10.0,643722851925000.0,0.250453720508,19,0.250000425161,0.124990974078,0.00782612693135,2.4762864257000002e-14
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-194961160.037,31082267.2978,-201606830.227,-150741923.561,-243327289.384,-236030721.764,-154215830.851,10.0,966107340372000.0,0.250453720508,14,0.250000519641,0.124990974078,0.007826129889,2.4762864257000002e-14
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-223127735.889,35683615.9164,-220199664.906,-173636453.777,-277017251.604,-274251523.777,-177795774.034,10.0,1273320444870000.0,0.249546279492,13,0.250000519641,0.124990974078,0.00779777434592,2.4762864257000002e-14
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-286134740.114,40368015.7903,-277024693.87,-226366628.781,-352668179.94,-350721907.229,-237061830.372,10.0,1629576698850000.0,0.249546279492,18,0.250000425161,0.124990974078,0.00779777139899,2.4762864257000002e-14
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-304367073.322,28720784.5857,-302315258.364,-269090645.707,-371894378.224,-348195103.857,-273593280.401,10.0,824883467221000.0,0.249546279492,12,0.250000519641,0.124990974078,0.00779777434592,2.4762864257000002e-14
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-354555736.224,38360562.8144,-341943358.916,-312047570.932,-433730912.55,-413639741.366,-314100865.208,10.0,1471532779440000.0,0.125226860254,40,0.250000519641,0.250018051845,0.00782726017928,2.4762864257000002e-14
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-382427200.099,15712013.7738,-378662569.237,-359367402.343,-413845049.938,-408617499.824,-364812250.849,10.0,246867376827000.0,0.249546279492,7,0.249999574839,0.124990974078,0.00779774487657,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-415990437.735,21117962.9278,-413681847.577,-385814121.074,-454308285.163,-447306945.336,-390556379.032,10.0,445968358221000.0,0.125226860254,6,0.249999574839,0.124990974078,0.00391305015624,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-416407236.346,38544597.8035,-418338680.174,-340209599.392,-490379131.615,-468990882.268,-359617726.596,10.0,1485686019830000.0,0.125226860254,11,0.250000519641,0.124990974078,0.0039130649445,2.4762864257000002e-14
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-421845969.016,53172096.2197,-417902866.712,-344646823.901,-531442561.486,-501119392.83,-360648501.207,10.0,2827271816400000.0,0.249546279492,17,0.250000425161,0.124990974078,0.00779777139899,2.4762864257000002e-14
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-422063047.529,38371588.1376,-410635890.473,-368980620.031,-474518498.753,-469832675.388,-378377645.25,10.0,1472378776200000.0,0.250453720508,39,0.250000519641,0.250018051845,0.0156545203586,2.4762864257000002e-14
720.0,-154.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-434051329.42,53130869.4158,-430213557.263,-363567251.984,-555761835.11,-517455547.855,-372499050.593,10.0,2822889284880000.0,0.125226860254,25,0.12500016534,0.124990974078,0.00195653099342,2.4762864257000002e-14
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-505500888.208,50114748.5216,-492674575.744,-407287803.733,-583005482.666,-568055652.479,-437170299.614,10.0,2511488019380000.0,0.125226860254,45,0.250000425161,0.250018051845,0.0078272572212,2.4762864257000002e-14
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-534232030.442,40361865.5088,-546522509.085,-457047205.677,-599738107.271,-581420725.492,-477067065.155,10.0,1629080187350000.0,0.249546279492,38,0.250000519641,0.250018051845,0.0155978010819,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-556195393.22,36628515.1457,-572752221.181,-495219709.748,-607339504.552,-596460030.074,-499830365.791,10.0,1341648121780000.0,0.125226860254,16,0.250000425161,0.124990974078,0.00391306346567,2.4762864257000002e-14
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-556980839.199,30825994.057,-554575408.103,-492744669.784,-614401818.448,-598843297.855,-516242267.211,10.0,950241909601000.0,0.249546279492,33,0.249999574839,0.250018051845,0.0155977421347,2.4762864257000002e-14
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-600924736.504,55749824.9561,-614057797.118,-507326113.188,-681731739.319,-666868760.549,-512767082.346,10.0,3108042982640000.0,0.250453720508,24,0.12500016534,0.124990974078,0.00391306198685,2.4762864257000002e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-613425420.124,17236673.021,-612730915.813,-588563971.65,-639024894.998,-637356470.775,-593068887.696,10.0,297102896833000.0,0.249546279492,32,0.249999574839,0.250018051845,0.0155977421347,2.4762864257000002e-14
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-666990818.2,54360509.7635,-674863569.883,-552943031.473,-737960567.354,-731351096.882,-586512805.827,10.0,2955065021740000.0,0.125226860254,65,0.250000519641,0.250018051845,0.00782726017928,2.4762864257000002e-14
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-677517787.542,45188249.2616,-676560556.481,-606913088.545,-759243561.307,-743955773.223,-614018205.298,10.0,2041977871330000.0,0.250453720508,44,0.250000425161,0.250018051845,0.0156545144424,2.4762864257000002e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-678802450.201,39890787.4961,-684586528.848,-604975760.802,-740463574.48,-732940881.933,-622658651.735,10.0,1591274927060000.0,0.249546279492,37,0.250000519641,0.250018051845,0.0155978010819,2.4762864257000002e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-728987959.644,28805619.4246,-724343713.797,-692032191.617,-778813244.752,-769389961.515,-694932927.044,10.0,829763710436000.0,0.125226860254,31,0.249999574839,0.250018051845,0.00782723059849,2.4762864257000002e-14
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-737472130.106,65407376.8579,-726548753.314,-644087148.866,-836923492.228,-830724655.245,-660775353.767,10.0,4278124947440000.0,0.249546279492,23,0.12500016534,0.124990974078,0.00389888422603,2.4762864257000002e-14
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-738402560.701,42899177.5032,-715677882.142,-693723761.864,-805992393.488,-802200272.379,-694913756.16,10.0,1840339430450000.0,0.250453720508,59,0.249999574839,0.250018051845,0.015654461197,2.4762864257000002e-14
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-816229062.657,78811720.1098,-801280405.456,-691159579.693,-943490599.877,-923660958.236,-705626158.898,10.0,6211287226660000.0,0.250453720508,64,0.250000519641,0.250018051845,0.0156545203586,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-823728618.321,21943129.5696,-821659952.392,-793187176.414,-850613806.492,-849524492.396,-796008775.859,10.0,481500935307000.0,0.249546279492,58,0.249999574839,0.250018051845,0.0155977421347,2.4762864257000002e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-828790484.292,45770239.9373,-831861337.122,-732230816.472,-912661786.684,-885819679.137,-765188099.419,10.0,2094914863920000.0,0.125226860254,36,0.250000519641,0.250018051845,0.00782726017928,2.4762864257000002e-14
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-868887510.639,58510142.9104,-885394942.878,-739286165.267,-937218424.967,-930249991.799,-774170350.12,10.0,3423436823390000.0,0.249546279492,43,0.250000425161,0.250018051845,0.0155977951872,2.4762864257000002e-14
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-881558583.747,57963772.5106,-887634413.977,-788945835.39,-957218062.687,-949747111.349,-804674347.645,10.0,3359798923660000.0,0.249546279492,22,0.12500016534,0.124990974078,0.00389888422603,2.4762864257000002e-14
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-917931030.499,40449141.6189,-924671005.563,-851038745.551,-977777623.286,-966902343.338,-851624344.17,10.0,1636133057710000.0,0.125226860254,85,0.249999574839,0.249981948155,0.00782610031248,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-940359794.546,32396161.9312,-946249197.508,-897882714.42,-989116890.312,-982718511.789,-899309202.233,10.0,1049511307870000.0,0.249546279492,57,0.249999574839,0.250018051845,0.0155977421347,2.4762864257000002e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-950990053.122,10428669.1017,-950234741.194,-934444093.484,-971681232.871,-965146318.07,-936037522.149,10.0,108757139233000.0,0.125226860254,26,0.124999315018,0.250018051845,0.00391360050885,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-958797020.157,24269338.401,-962510494.062,-901942227.236,-989364743.363,-984879608.857,-921878047.92,10.0,589000786425000.0,0.249546279492,53,0.124999315018,0.250018051845,0.00779884159372,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-969816333.219,56580141.4547,-979047354.915,-877895401.185,-1050665708.79,-1044038600.47,-881941804.602,10.0,3201312407030000.0,0.249546279492,63,0.250000519641,0.250018051845,0.0155978010819,2.4762864257000002e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-989711196.949,34156273.3117,-983327368.405,-945925601.13,-1046161288.7,-1040906215.62,-952322929.402,10.0,1166651006550000.0,0.249546279492,42,0.250000425161,0.250018051845,0.0155977951872,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1014326203.5,60731351.7938,-1024193838.94,-906903948.588,-1084686542.48,-1083499146.99,-925062045.899,10.0,3688297090700000.0,0.125226860254,21,0.12500016534,0.124990974078,0.00195653099342,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1084190470.54,43793224.6699,-1083183121.51,-1006481675.1,-1138817736.77,-1134962840.47,-1012898032.38,10.0,1917846526990000.0,0.250453720508,84,0.249999574839,0.249981948155,0.015652200625,2.4762864257000002e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1094243698.23,42771494.3142,-1102141359.1,-1029968296.29,-1151679097.62,-1142169573.55,-1031010959.91,10.0,1829400725870000.0,0.125226860254,56,0.249999574839,0.250018051845,0.00782723059849,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1111508724.43,22927983.4077,-1112576873.85,-1070498659.67,-1151555232.46,-1141403949.01,-1076424651.85,10.0,525692423144000.0,0.249546279492,52,0.124999315018,0.250018051845,0.00779884159372,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1112321499.5,45076024.6336,-1115938879.68,-1050190783.96,-1183596317.13,-1172415614.92,-1052874768.29,10.0,2031847996770000.0,0.249546279492,62,0.250000519641,0.250018051845,0.0155978010819,2.4762864257000002e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1113624571.34,44943508.991,-1122306576.87,-1040909837.1,-1189249981.44,-1173385759.02,-1049476813.76,10.0,2019919000430000.0,0.125226860254,41,0.250000425161,0.250018051845,0.0078272572212,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1117967382.57,28349589.4908,-1110330467.33,-1084362993.54,-1172755370.72,-1165474756.68,-1086258491.1,10.0,803699224297000.0,0.250453720508,79,0.124999315018,0.249981948155,0.00782607073597,2.4762864257000002e-14
