smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153457771870000.0,4293096.57875,-153457771870000.0,-153457768834000.0,-153457774906000.0,-153457774602000.0,-153457769138000.0,2.0,18430678234500.0,0.142857142857,2.43433201164e-13,75,0.142848912404,0.142822580645,0.00291457861599
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581434389000.0,8994662.64834,-153581434389000.0,-153581428028000.0,-153581440749000.0,-153581440113000.0,-153581428664000.0,2.0,80903956157400.0,0.0714285714286,2.43433201164e-13,2,0.071417989418,0.142822580645,0.000728578682369
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581467522000.0,5027665.39858,-153581467522000.0,-153581463967000.0,-153581471077000.0,-153581470722000.0,-153581464323000.0,2.0,25277419360100.0,0.0714285714286,2.43433201164e-13,10,0.142848912404,0.142822580645,0.001457289308
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581482753000.0,139819.472116,-153581482753000.0,-153581482654000.0,-153581482852000.0,-153581482842000.0,-153581482664000.0,2.0,19549484782.7,0.0714285714286,2.43433201164e-13,18,0.142860670194,0.142822580645,0.00145740925641
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581521237000.0,6682108.12633,-153581521237000.0,-153581516512000.0,-153581525962000.0,-153581525489000.0,-153581516984000.0,2.0,44650569012000.0,0.0714285714286,2.43433201164e-13,26,0.142860670194,0.142822580645,0.00145740925641
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581557212000.0,3574966.15753,-153581557212000.0,-153581554684000.0,-153581559740000.0,-153581559487000.0,-153581554937000.0,2.0,12780383027500.0,0.0714285714286,2.43433201164e-13,34,0.142860670194,0.142822580645,0.00145740925641
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581581720000.0,3079477.69762,-153581581720000.0,-153581579542000.0,-153581583897000.0,-153581583680000.0,-153581579760000.0,2.0,9483182890140.0,0.0714285714286,2.43433201164e-13,42,0.142859494415,0.142822580645,0.00145739726157
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581613732000.0,7213406.10882,-153581613732000.0,-153581608631000.0,-153581618832000.0,-153581618322000.0,-153581609141000.0,2.0,52033227690800.0,0.0714285714286,2.43433201164e-13,50,0.142860670194,0.142822580645,0.00145740925641
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153581636125000.0,10637263.3704,-153581636125000.0,-153581628604000.0,-153581643647000.0,-153581642895000.0,-153581629356000.0,2.0,113151372012000.0,0.0714285714286,2.43433201164e-13,58,0.0714309229865,0.142822580645,0.000728710625628
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985643948000.0,15553752.8668,-306985643948000.0,-306985632950000.0,-306985654946000.0,-306985653846000.0,-306985634049000.0,2.0,241919228241000.0,0.0714285714286,2.43433201164e-13,3,0.071417989418,0.142822580645,0.000728578682369
