smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,345625223.715,771984.114199,345730021.899,346430678.563,344610172.499,344746896.119,346356833.854,4.0,595959472576.0,68,3.46688419418e-13,0.249546279492,0.250007275152,0.0155982225654,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,309416223.374,2443198.0893,309480525.474,311784133.291,306919709.256,307042732.547,311699691.261,4.0,5969216903550.0,57,3.46688419418e-13,0.249546279492,0.249992724848,0.0155973147564,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,307100915.667,606782.985322,307114764.863,307630679.809,306543453.135,306553199.023,307629243.438,4.0,368185591277.0,73,3.46688419418e-13,0.249546279492,0.125002976198,0.00779907001867,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,294435727.738,922170.577199,294409424.912,295339245.404,293584815.724,293601942.864,295306336.568,4.0,850398573452.0,52,3.46688419418e-13,0.249546279492,0.12498974865,0.00779824473773,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,269979858.027,955865.389212,270048135.086,271057534.491,268765627.445,268925145.382,270938982.789,4.0,913678642294.0,62,3.46688419418e-13,0.249546279492,0.250007275152,0.0155982225654,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,229690135.129,1971203.55073,230132862.902,231576260.507,226918554.207,227383668.804,231376782.573,4.0,3885643438400.0,67,3.46688419418e-13,0.249546279492,0.250007275152,0.0155982225654,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,189030405.847,1228778.91953,189345215.501,190087958.22,187343234.167,187579318.282,190040759.897,4.0,1509897633080.0,72,3.46688419418e-13,0.249546279492,0.125002976198,0.00779907001867,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,175378885.901,1309865.70048,175244231.806,177084966.285,173942113.71,174098322.48,176847965.057,4.0,1715748153300.0,56,3.46688419418e-13,0.125226860254,0.249992724848,0.0078270161323,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,170625630.459,1261064.14157,170366028.594,172215280.461,169555184.188,169572713.675,172041989.855,4.0,1590282769150.0,79,3.46688419418e-13,0.250453720508,0.12498974865,0.00782547179608,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,133741352.944,1960615.92317,133546841.726,136142551.178,131729177.147,131865922.745,135889098.848,4.0,3844014798190.0,61,3.46688419418e-13,0.125226860254,0.250007275152,0.00782747168739,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,130670636.614,2386532.0525,130072630.231,134026223.146,128511062.846,128674331.734,133504150.429,4.0,5695535237600.0,84,3.46688419418e-13,0.250453720508,0.249992724848,0.0156517717545,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,125987397.61,1568812.23511,126283047.196,127394954.632,123988541.417,124214986.141,127345899.659,4.0,2461171829020.0,51,3.46688419418e-13,0.125226860254,0.12498974865,0.00391330099566,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,93842166.4566,1405164.01353,93604491.4208,95762698.9058,92396984.0791,92558702.1636,95458375.7998,4.0,1974485904920.0,66,3.46688419418e-13,0.125226860254,0.250007275152,0.00782747168739,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,91672819.9591,499207.621034,91589844.1864,92349767.25,91161824.2137,91213263.7597,92248542.2403,4.0,249208248898.0,89,3.46688419418e-13,0.250453720508,0.250007275152,0.0156526827331,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,53581498.6556,1022685.89697,53418796.5117,54900646.9171,52587754.6818,52649033.8585,54741746.454,4.0,1045886443860.0,71,3.46688419418e-13,0.125226860254,0.125002976198,0.00391371513664,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,51115134.2379,1842272.24489,50754693.2759,53635455.5371,49315694.8628,49470424.0713,53264461.7514,4.0,3393967024280.0,94,3.46688419418e-13,0.250453720508,0.250007275152,0.0156526827331,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,13148323.9837,1482069.62781,12663038.0015,15310762.5897,11956457.3421,12046748.3332,14929300.0093,4.0,2196530381690.0,99,3.46688419418e-13,0.250453720508,0.125002976198,0.00782629995845,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,6647902.99725,1548396.91934,6767468.92662,8374518.87637,4682155.2594,4935079.90074,8193333.79264,4.0,2397533019810.0,83,3.46688419418e-13,0.249546279492,0.249992724848,0.0155950624366,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3897282.70227,719609.778652,-3641804.13914,-3351060.70959,-4954461.8212,-4766430.91807,-3385804.47485,4.0,517838233532.0,78,3.46688419418e-13,0.249546279492,0.12498974865,0.0077971186374,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-33222275.4833,552813.045225,-33071070.7022,-32789866.2559,-33957094.2728,-33864460.1675,-32791777.4925,4.0,305602262970.0,88,3.46688419418e-13,0.249546279492,0.250007275152,0.0155959701145,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-75117593.3861,1820243.54716,-75247607.2277,-72858884.7245,-77116274.3645,-76931407.8991,-73121759.4948,4.0,3313286570990.0,93,3.46688419418e-13,0.249546279492,0.250007275152,0.0155959701145,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-112471944.828,1306719.84699,-112625206.377,-110931563.609,-113705802.948,-113658949.78,-111070373.706,4.0,1707516758530.0,105,3.46688419418e-13,0.125226860254,0.12498974865,0.00195636794902,0.124990974078
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-115062881.837,1780975.95325,-115460188.727,-112623585.119,-116707564.774,-116598744.146,-112970789.881,4.0,3171875346060.0,98,3.46688419418e-13,0.249546279492,0.125002976198,0.00779794379918,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-138553148.608,989834.140172,-138329739.761,-137615046.243,-139938068.665,-139718414.182,-137700655.418,4.0,979771625049.0,82,3.46688419418e-13,0.249546279492,0.249992724848,0.0155950624366,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-152231420.631,1463091.35347,-152707038.317,-150097574.628,-153414031.264,-153322060.717,-150474915.786,4.0,2140636308590.0,110,3.46688419418e-13,0.125226860254,0.249992724848,0.00391294293863,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-172428775.882,1597213.93784,-172254221.22,-170752957.071,-174453704.015,-174211479.388,-170890448.901,4.0,2551092363220.0,77,3.46688419418e-13,0.249546279492,0.12498974865,0.0077971186374,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-178633947.387,896482.548727,-178534439.747,-177650842.895,-179816067.161,-179641360.139,-177765845.332,4.0,803680960172.0,87,3.46688419418e-13,0.249546279492,0.250007275152,0.0155959701145,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-193374411.947,1306511.00965,-193417966.474,-191931678.097,-194730036.743,-194649314.938,-192038532.618,4.0,1706971018330.0,115,3.46688419418e-13,0.125226860254,0.250007275152,0.00391317068328,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-217944557.821,885919.782614,-217882785.205,-216935600.687,-219077060.186,-218920759.799,-217054837.505,4.0,784853861227.0,92,3.46688419418e-13,0.249546279492,0.250007275152,0.0155959701145,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-232048397.52,1594746.27934,-232469518.337,-229767208.789,-233487344.616,-233337204.805,-230170021.09,4.0,2543215695480.0,120,3.46688419418e-13,0.125226860254,0.250007275152,0.00391317068328,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-258733903.203,480678.359172,-258593512.909,-258339617.68,-259408969.313,-259308532.572,-258355820.244,4.0,231051684977.0,97,3.46688419418e-13,0.249546279492,0.125002976198,0.00779794379918,0.249981948155
