smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-591969827.222,354637.50088,-591969827.222,-591719060.64,-592220593.804,-592195517.145,-591744137.298,2.0,125767757030.0,0.249963898917,0.00782551729578,0.125226860254,28,0.249999001227,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-629775010.445,12057713.431,-629775010.445,-621248919.512,-638301101.378,-637448492.284,-622101528.606,2.0,145388453184000.0,0.25,0.00782659121466,0.250453720508,9,0.124998601718,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-630094161.627,5363872.3656,-630094161.627,-626301331.104,-633886992.15,-633507709.098,-626680614.156,2.0,28771126754400.0,0.249963898917,0.0155944525465,0.249546279492,63,0.250000998773,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-650298387.327,5086452.07471,-650298387.327,-646701722.572,-653895052.081,-653535385.605,-647061389.048,2.0,25871994708300.0,0.125018050542,0.00389968004944,0.249546279492,20,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-686634790.392,278605.493099,-686634790.392,-686437786.559,-686831794.226,-686812093.842,-686457486.942,2.0,77621020784.7,0.25,0.0156534200683,0.250453720508,82,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-700529914.369,26112243.6694,-700529914.369,-682065769.798,-718994058.94,-717147644.483,-683912184.255,2.0,681849269450000.0,0.25,0.0155965801582,0.249546279492,39,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-728005347.287,1379187.24575,-728005347.287,-727030114.633,-728980579.941,-728883056.676,-727127637.899,2.0,1902157458840.0,0.125018050542,0.00195695849761,0.125226860254,101,0.125000399509,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-736455076.89,890072.635111,-736455076.89,-735825700.494,-737084453.286,-737021515.647,-735888638.134,2.0,792229295774.0,0.249963898917,0.0156511596467,0.250453720508,58,0.250000998773,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-756303191.442,32709782.6577,-756303191.442,-733173882.313,-779432500.57,-777119569.657,-735486813.226,2.0,1069929881520000.0,0.125018050542,0.0039138888497,0.125226860254,50,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-801415753.589,6027493.10165,-801415753.589,-797153672.344,-805677834.835,-805251626.711,-797579880.468,2.0,36330673090500.0,0.25,0.00391329560733,0.125226860254,4,0.124998601718,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-802293182.682,4279170.15481,-802293182.682,-799267352.447,-805319012.916,-805016429.893,-799569935.471,2.0,18311297213800.0,0.25,0.00782671003417,0.125226860254,77,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-810068983.629,9035472.38999,-810068983.629,-803679939.831,-816458027.427,-815819123.047,-804318844.211,2.0,81639761310300.0,0.125018050542,0.00389968004944,0.249546279492,15,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-816818881.755,5273602.05159,-816818881.755,-813089881.983,-820547881.527,-820174981.549,-813462781.96,2.0,27810878598500.0,0.25,0.0156532949952,0.250453720508,34,0.249999001227,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-832219780.099,8901879.80741,-832219780.099,-825925200.522,-838514359.676,-837884901.718,-826554658.48,2.0,79243464105600.0,0.25,0.0155967047782,0.249546279492,69,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-873189003.596,4799263.32559,-873189003.596,-869795411.954,-876582595.238,-876243236.074,-870134771.118,2.0,23032928468300.0,0.249963898917,0.00782557982334,0.125226860254,53,0.250000998773,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-882335568.265,18964424.2917,-882335568.265,-868925695.247,-895745441.283,-894404453.981,-870266682.549,2.0,359649388716000.0,0.125018050542,0.00779941618599,0.249546279492,45,0.249999001227,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-889318333.838,2307335.1353,-889318333.838,-887686801.517,-890949866.159,-890786712.926,-887849954.749,2.0,5323795426580.0,0.249963898917,0.0155944525465,0.249546279492,88,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-936265347.524,3129093.11766,-936265347.524,-934052744.562,-938477950.487,-938256690.19,-934274004.858,2.0,9791223738970.0,0.25,0.0155967047782,0.249546279492,64,0.250000998773,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-943619458.79,1296446.87444,-943619458.79,-942702732.413,-944536185.166,-944444512.528,-942794405.051,2.0,1680774498250.0,0.25,0.00782670378051,0.250453720508,107,0.125000399509,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-969505409.855,16742838.2072,-969505409.855,-957666435.422,-981344384.287,-980160486.844,-958850332.865,2.0,280322631234000.0,0.25,0.00782664749759,0.125226860254,29,0.249999001227,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-976636332.429,33570596.7641,-976636332.429,-952898335.808,-1000374329.05,-998000529.387,-955272135.47,2.0,1126984967100000.0,0.125018050542,0.00391386070417,0.250453720508,10,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1009805456.81,7539387.38464,-1009805456.81,-1004474304.87,-1015136608.76,-1014603493.57,-1005007420.06,2.0,56842362135700.0,0.249963898917,0.0156511596467,0.250453720508,83,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1019155327.48,638695.331662,-1019155327.48,-1018703701.68,-1019606953.28,-1019561790.7,-1018748864.26,2.0,407931726687.0,0.125018050542,0.00779941618599,0.249546279492,40,0.249999001227,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1031707604.83,49846552.1666,-1031707604.83,-996460769.776,-1066954439.89,-1063429756.38,-999985453.282,2.0,2484678762900000.0,0.125018050542,0.0039139201225,0.125226860254,75,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1049638888.51,2754839.39541,-1049638888.51,-1047690922.89,-1051586854.13,-1051392057.57,-1047885719.46,2.0,7589140094490.0,0.25,0.00391335189026,0.125226860254,102,0.125000399509,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1083062463.92,4247319.65379,-1083062463.92,-1080059155.39,-1086065772.45,-1085765441.59,-1080359486.24,2.0,18039724241400.0,0.25,0.0156534200683,0.250453720508,59,0.250000998773,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1108676896.41,28743614.4378,-1108676896.41,-1088352091.72,-1129001701.09,-1126969220.62,-1090384572.19,2.0,826195370952000.0,0.25,0.0155967047782,0.249546279492,94,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1132668908.25,429453.305338,-1132668908.25,-1132365238.91,-1132972577.59,-1132942210.66,-1132395605.84,2.0,184430141466.0,0.249963898917,0.00782557982334,0.125226860254,78,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1158730544.73,12560826.099,-1158730544.73,-1149848699.42,-1167612390.04,-1166724205.51,-1150736883.95,2.0,157774352290000.0,0.249963898917,0.00779722004315,0.249546279492,113,0.125000399509,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1173967140.01,17420310.1045,-1173967140.01,-1161649120.6,-1186285159.41,-1185053357.47,-1162880922.54,2.0,303467204136000.0,0.125018050542,0.00195693035208,0.125226860254,5,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1199268866.19,23020695.1099,-1199268866.19,-1182990776.57,-1215546955.81,-1213919146.85,-1184618585.53,2.0,529952403341000.0,0.125018050542,0.00782777769939,0.250453720508,35,0.249999001227,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1201654871.79,23544775.9923,-1201654871.79,-1185006201.03,-1218303542.56,-1216638675.48,-1186671068.11,2.0,554356476526000.0,0.125018050542,0.00779947850499,0.249546279492,70,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1215932749.54,8246914.25044,-1215932749.54,-1210101300.55,-1221764198.54,-1221181053.64,-1210684445.45,2.0,68011594654000.0,0.25,0.0155967047782,0.249546279492,89,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1246607465.76,23217543.8878,-1246607465.76,-1230190183.04,-1263024748.49,-1261383020.21,-1231831911.31,2.0,539054344181000.0,0.25,0.00782671003417,0.125226860254,54,0.250000998773,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1293136571.02,31520817.2694,-1293136571.02,-1270847987.38,-1315425154.66,-1313196296.29,-1273076845.74,2.0,993561921333000.0,0.249963898917,0.00782557357058,0.250453720508,108,0.125000399509,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1296753241.2,10084588.3249,-1296753241.2,-1289622360.41,-1303884121.99,-1303171033.91,-1290335448.48,2.0,101698921683000.0,0.125018050542,0.0039139201225,0.125226860254,100,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1337220360.32,5468614.82764,-1337220360.32,-1333353465.69,-1341087254.95,-1340700565.49,-1333740155.15,2.0,29905748133100.0,0.125018050542,0.0039138888497,0.125226860254,30,0.249999001227,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1338106089.41,48794768.0076,-1338106089.41,-1303602978.06,-1372609200.75,-1369158889.62,-1307053289.2,2.0,2380929384920000.0,0.125018050542,0.00779947850499,0.249546279492,65,0.250000998773,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1356252010.94,715350.30184,-1356252010.94,-1355746181.89,-1356757839.99,-1356707257.08,-1355796764.79,2.0,511726054343.0,0.25,0.00779834615812,0.249546279492,119,0.125000399509,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1373270104.61,18597751.9839,-1373270104.61,-1360119508.07,-1386420701.15,-1385105641.5,-1361434567.72,2.0,345876378853000.0,0.25,0.0156534200683,0.250453720508,84,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1399989906.31,1687576.65129,-1399989906.31,-1398796609.42,-1401183203.2,-1401063873.51,-1398915939.1,2.0,2847914953980.0,0.249963898917,0.00391278678529,0.125226860254,103,0.125000399509,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1442034529.18,6090418.4675,-1442034529.18,-1437727952.98,-1446341105.38,-1445910447.76,-1438158610.6,2.0,37093197109300.0,0.125018050542,0.00779947850499,0.249546279492,95,0.250000998773,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1463791102.15,17835353.97,-1463791102.15,-1451179602.41,-1476402601.89,-1475141451.91,-1452440752.39,2.0,318099851235000.0,0.125018050542,0.00782784024501,0.250453720508,60,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1493528299.58,3099008.85544,-1493528299.58,-1491336969.4,-1495719629.76,-1495500496.74,-1491556102.42,2.0,9603855886090.0,0.25,0.00779834615812,0.249546279492,114,0.125000399509,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1520159877.48,28754887.4403,-1520159877.48,-1499827101.58,-1540492653.38,-1538459375.79,-1501860379.17,2.0,826843551707000.0,0.25,0.00782671003417,0.125226860254,79,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1583822802.73,27394966.988,-1583822802.73,-1564451635.81,-1603193969.66,-1601256852.97,-1566388752.5,2.0,750484216273000.0,0.125018050542,0.00779947850499,0.249546279492,90,0.250000998773,5.2351036610599995e-14
