cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-478606201.134,0.0,0.0,0.0,0.0,0.0,-217761444.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47251000.0,0.0,0.0,0.0,0.0
1,0.0,-108502301.82,137344685.849,115598361.6,0.0,-18501609.8501,23419759.3039,-21375600.0,-15456298.176,-19693082.25,0.0,-8418063.27038,10655776.2916,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,23001.5474953,52150587.3736,60267259.6363,27299250.8011,0.0,-1826594.73478,2312145.2339,-16262940000.0,0.0
2,0.0,-201756090.682,255387456.559,115598361.6,0.0,-34403071.7509,43548192.0898,-21375600.0,-15456298.176,-19693082.25,0.0,-15653083.0042,19814029.1193,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,25582.6512997,52150587.3736,60267259.6363,27299250.8011,0.0,-3396486.58846,4299350.11197,-16262940000.0,0.0
3,0.0,-177706480.342,224944911.825,115598361.6,0.0,-30302177.1147,38357186.2212,-21375600.0,-15456298.176,-19693082.25,0.0,-13787213.4506,17452168.9248,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,34410.0092656,49980790.6238,56709522.3371,28534994.8571,0.0,-2991620.60052,3786861.51965,-16262940000.0,0.0
4,0.0,-156625322.202,198259901.522,115598361.6,0.0,-26707457.4033,33806908.1054,-21375600.0,-15456298.176,-19693082.25,0.0,-12151648.8583,15381833.9979,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,23149.7902213,29904132.5192,50909195.9362,28619660.3223,0.0,-2636727.36954,3337629.5817,-16262940000.0,0.0
5,0.0,-137955363.067,174627041.857,115598361.6,0.0,-23523890.8426,29777077.0159,-21375600.0,-15456298.176,-19693082.25,0.0,-10703155.1894,13548297.7081,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,19367.4109574,29565514.4856,55914987.9221,29988248.4946,0.0,-2322425.75121,2939779.43191,-16262940000.0,0.0
6,0.0,-121374513.514,153638624.702,115598361.6,0.0,-20696555.3459,26198171.3239,-21375600.0,-15456298.176,-19693082.25,0.0,-9416743.39652,11919928.35,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,20227.6407327,29111097.9409,55915500.8703,29771176.9085,0.0,-2043293.49334,2586447.45992,-16262940000.0,0.0
7,0.0,-112493018.133,142396225.485,115598361.6,0.0,-19182099.342,24281138.4076,-21375600.0,-15456298.176,-19693082.25,0.0,-8727679.76562,11047695.9058,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,24353.5132847,29442723.5299,56436816.4545,29586937.9358,0.0,-1893776.91693,2397185.9708,-16262940000.0,0.0
8,0.0,-110092990.931,139358216.368,115598361.6,0.0,-18772851.1862,23763102.7673,-21375600.0,-15456298.176,-19693082.25,0.0,-8541475.59759,10811994.4273,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,17924.5278966,29849695.9008,57460615.0993,29559674.0219,0.0,-1853373.37731,2346042.24976,-16262940000.0,0.0
9,0.0,-107926785.301,136616183.925,115598361.6,0.0,-18403473.8481,23295536.5166,-21375600.0,-15456298.176,-19693082.25,0.0,-8373412.28702,10599256.0595,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,14028.9246605,30250287.0783,58707729.3711,29904161.9159,0.0,-1816906.13439,2299881.18277,-16262940000.0,0.0
