smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,49708813.7023,958320.036797,49517489.956,50982223.5532,48818051.344,48868171.7334,50817308.916,4.0,918377292926.0,0.124994709051,1.7334191682000001e-13,0.249546279492,0.250018051845,0.00779855422245,52
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,49321888.5688,854933.843866,49564912.5985,50064177.0816,48093551.9967,48301347.6725,50002195.8236,4.0,730911877387.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00782734744372,41
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,47582770.8632,3712634.98155,47272539.4571,51866020.6489,43919983.8896,44097739.8228,51502125.872,4.0,13783658506200.0,0.124994709051,1.7334191682000001e-13,0.250453720508,0.249981948155,0.00782578236135,79
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,31356127.9076,686762.473,31438297.8411,32054065.4263,30493850.5221,30591684.5993,32005533.3091,4.0,471642694321.0,0.249996693157,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155975623434,57
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-20759662.9618,3091705.24397,-20713731.3291,-18035891.234,-23575297.9548,-23533239.8344,-18050390.3747,4.0,9558641315580.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155979749784,68
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-28950383.7193,1922435.88054,-28848574.8945,-26963266.8808,-31141118.2075,-30958742.8377,-27084556.9557,4.0,3695759714790.0,0.125001984106,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00391368407525,46
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-31297854.3262,3187477.25218,-31720617.2284,-27513140.9578,-34237041.8903,-34143385.5232,-27860455.0662,4.0,10160011233200.0,0.249996693157,1.7334191682000001e-13,0.250453720508,0.249981948155,0.015652020206,84
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-42552085.2848,2408881.78279,-43032895.6003,-39315587.3794,-44826962.5593,-44678590.4919,-39752445.6362,4.0,5802711443460.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155979749784,62
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-91707125.685,530152.097843,-91670190.5535,-91122256.6914,-92365864.9418,-92288439.9711,-91177520.5832,4.0,281061246848.0,0.249996693157,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00782714037597,56
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-100259611.344,1691201.37745,-100088121.771,-98405752.471,-102456449.365,-102155156.348,-98604151.7446,4.0,2860162099090.0,0.125001984106,1.7334191682000001e-13,0.249546279492,0.250018051845,0.00779900812097,73
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-102366176.635,4756173.21506,-103775763.737,-95512472.5734,-106400706.491,-106091750.834,-96667180.4923,4.0,22621183651600.0,0.124994709051,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00195644559034,105
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-105158205.974,5211834.47096,-106421664.202,-97971942.6463,-109817552.845,-109544034.911,-99003535.5166,4.0,27163218552700.0,0.250003306843,1.7334191682000001e-13,0.250453720508,0.249981948155,0.0156524342817,89
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-109013795.612,1091862.07162,-109330365.819,-107541436.959,-109853013.849,-109849910.646,-107734482.286,4.0,1192162783440.0,0.124994709051,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00391345630072,51
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-117013122.141,2982445.54468,-117371636.959,-113416288.012,-119892926.632,-119756540.18,-113767783.355,4.0,8894981426960.0,0.124994709051,1.7334191682000001e-13,0.249546279492,0.249981948155,0.00779742807743,78
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-124220119.215,1429758.76059,-124327656.049,-122368113.696,-125857051.064,-125628238.787,-122661448.074,4.0,2044210113480.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155979749784,67
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-137618606.218,2521551.4742,-137181783.103,-135052221.892,-141058636.774,-140532517.22,-135316247.577,4.0,6358221837040.0,0.249996693157,1.7334191682000001e-13,0.249546279492,0.249981948155,0.0155953099878,83
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-168654164.957,2319903.20462,-168355362.999,-166512394.425,-171393539.407,-171146629.271,-166580023.386,4.0,5381950878790.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00782734744372,61
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-180294631.45,544612.448251,-180279275.585,-179650790.71,-180969183.918,-180880616.682,-179730144.427,4.0,296602718790.0,0.249996693157,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00391300505149,110
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-182898176.705,3704270.15093,-184675328.627,-177344020.969,-184898028.596,-184866335.889,-178442004.829,4.0,13721617351100.0,0.250003306843,1.7334191682000001e-13,0.250453720508,0.249981948155,0.0156524342817,94
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-202600360.536,3411247.63339,-203861902.301,-197629534.013,-205048103.528,-204977624.759,-198456937.841,4.0,11636610416300.0,0.125001984106,1.7334191682000001e-13,0.249546279492,0.250018051845,0.00779900812097,72
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-216295806.444,5727052.77348,-217070121.991,-208742832.557,-222300149.235,-221730379.052,-209777192.069,4.0,32799133470200.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155,0.0155957225633,88
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-248386594.999,918264.956944,-248017367.749,-247770645.394,-249740999.104,-249504492.069,-247785616.079,4.0,843210531152.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00782734744372,66
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-256493981.516,4391226.61377,-257973453.284,-250061908.94,-259967110.557,-259688397.103,-251228305.455,4.0,19282871173500.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00391310857042,115
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-261664314.066,1101034.40901,-262130763.302,-260036180.66,-262359549.002,-262352790.055,-260322809.148,4.0,1212276769820.0,0.125001984106,1.7334191682000001e-13,0.250453720508,0.249981948155,0.00782623784463,99
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-267813383.85,3992528.5472,-267785753.515,-263444155.723,-272237872.646,-271890947.344,-263774502.824,4.0,15940284200200.0,0.124994709051,1.7334191682000001e-13,0.250453720508,0.124990974078,0.00391289118068,104
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-270766099.335,2511346.53711,-271348409.923,-267433291.414,-272934286.081,-272861873.445,-267855090.402,4.0,6306861429480.0,0.249996693157,1.7334191682000001e-13,0.249546279492,0.249981948155,0.0155953099878,82
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-273715792.554,5478958.82742,-273229092.492,-267606921.864,-280798063.367,-279816654.377,-268296310.817,4.0,30018989832500.0,0.124994709051,1.7334191682000001e-13,0.249546279492,0.249981948155,0.00779742807743,77
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-296791877.973,1782457.39274,-297297177.092,-294297396.167,-298275761.542,-298210889.447,-294665447.734,4.0,3177154356920.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155,0.0155957225633,93
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-307186055.437,3330137.69931,-306749863.948,-304116873.691,-311127620.16,-310769700.025,-304213078.933,4.0,11089817096400.0,0.249996693157,1.7334191682000001e-13,0.250453720508,0.124990974078,0.00782601010299,109
