npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-meoh_capacity
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2218725191.94,5812387.6695,2218725191.94,2222835170.68,2214615213.2,2215026211.08,2222424172.8,2.0,33783850420500.0,0.124996484341,0.25,0.00781147213223,8,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2201512237.84,3695458.16654,2201512237.84,2204125321.36,2198899154.31,2199160462.66,2203864013.01,2.0,13656411060700.0,0.249997817867,0.25,0.0156232473072,33,6.270282251879999e-14,0.249974138823
1193.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2182653954.37,7982316.71794,2182653954.37,2188298304.65,2177009604.09,2177574039.11,2187733869.62,2.0,63717380185600.0,0.124996484341,0.25,0.00781228027128,19,6.270282251879999e-14,0.25
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2152065782.74,851788.102207,2152065782.74,2152668087.88,2151463477.6,2151523708.11,2152607857.37,2.0,725542971062.0,0.125001333526,0.125,0.00390629167269,102,6.270282251879999e-14,0.25
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2123260261.38,259759.175761,2123260261.38,2123443938.85,2123076583.9,2123094951.65,2123425571.1,2.0,67474829391.9,0.250002182133,0.25,0.0156235200457,88,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2094242206.07,1522396.42186,2094242206.07,2095318702.91,2093165709.24,2093273358.92,2095211053.22,2.0,2317690865280.0,0.250002182133,0.25,0.0156235200457,58,6.270282251879999e-14,0.249974138823
1193.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2088675941.13,8077247.7038,2088675941.13,2094387417.76,2082964464.51,2083535612.17,2093816270.09,2.0,65241930468600.0,0.249997817867,0.25,0.0156248636167,44,6.270282251879999e-14,0.25
1193.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2048952599.02,803717.5587,2048952599.02,2049520913.15,2048384284.88,2048441116.29,2049464081.74,2.0,645961914163.0,0.249997817867,0.125,0.0078116236536,28,6.270282251879999e-14,0.249974138823
1193.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2030549884.17,1919996.21462,2030549884.17,2031907526.52,2029192241.83,2029328006.06,2031771762.28,2.0,3686385464150.0,0.124996484341,0.125,0.00390573606611,3,6.270282251879999e-14,0.249974138823
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2026677223.71,5556598.53529,2026677223.71,2030606332.22,2022748115.21,2023141026.06,2030213421.37,2.0,30875787282300.0,0.125001333526,0.25,0.00781177517497,113,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1992534956.87,5808754.10944,1992534956.87,1996642366.29,1988427547.45,1988838288.39,1996231625.35,2.0,33741624303900.0,0.250002182133,0.25,0.0156235200457,83,6.270282251879999e-14,0.249974138823
1193.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1991016607.41,15767359.0644,1991016607.41,2002165813.93,1979867400.9,1980982321.55,2001050893.28,2.0,248609611866000.0,0.250002182133,0.25,0.0156251363833,69,6.270282251879999e-14,0.25
1193.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1989380654.74,3382883.70465,1989380654.74,1991772714.75,1986988594.73,1987227800.73,1991533508.75,2.0,11443902159200.0,0.124996484341,0.25,0.00781228027128,14,6.270282251879999e-14,0.25
1193.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1967631288.47,15854280.44,1967631288.47,1978841957.68,1956420619.26,1957541686.18,1977720890.76,2.0,251358208269000.0,0.124996484341,0.125,0.00195327210259,25,6.270282251879999e-14,0.125012930589
1193.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1950965907.96,1673281.66736,1950965907.96,1952149096.77,1949782719.15,1949901038.03,1952030777.89,2.0,2799871538320.0,0.249997817867,0.25,0.0156248636167,39,6.270282251879999e-14,0.25
1193.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1943481092.39,4753880.56307,1943481092.39,1946842593.57,1940119591.21,1940455741.33,1946506443.46,2.0,22599380407900.0,0.250002182133,0.125,0.00781176002283,53,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1885148885.3,4664237.47269,1885148885.3,1888446999.25,1881850771.35,1882180582.75,1888117187.85,2.0,21755111201700.0,0.125001333526,0.25,0.00781177517497,108,6.270282251879999e-14,0.249974138823
1193.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1885134883.48,5015309.89696,1885134883.48,1888681243.12,1881588523.84,1881943159.81,1888326607.15,2.0,25153333362500.0,0.250002182133,0.25,0.0156251363833,94,6.270282251879999e-14,0.25
1193.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1883624706.81,3540942.67481,1883624706.81,1886128531.39,1881120882.24,1881371264.7,1885878148.93,2.0,12538275026300.0,0.249997817867,0.125,0.00390661998153,50,6.270282251879999e-14,0.125012930589
1193.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1850875179.52,4931558.94347,1850875179.52,1854362318.29,1847388040.75,1847736754.63,1854013604.42,2.0,24320273612900.0,0.250002182133,0.25,0.0156251363833,64,6.270282251879999e-14,0.25
1193.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1847143183.02,385045.596838,1847143183.02,1847415451.37,1846870914.67,1846898141.5,1847388224.54,2.0,148260111644.0,0.250002182133,0.125,0.00781176002283,78,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1792750416.64,5901709.02807,1792750416.64,1796923555.12,1788577278.17,1788994592.02,1796506241.27,2.0,34830169452000.0,0.124996484341,0.25,0.00781228027128,9,6.270282251879999e-14,0.25
1193.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1787589587.88,3322740.73175,1787589587.88,1789939120.38,1785240055.37,1785475008.62,1789704167.13,2.0,11040605970400.0,0.250002182133,0.125,0.00390668818026,75,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1787306471.52,3828131.46763,1787306471.52,1790013369.24,1784599573.8,1784870263.57,1789742679.47,2.0,14654590533500.0,0.249997817867,0.25,0.0156248636167,34,6.270282251879999e-14,0.25
1193.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1784542280.49,10134359.4278,1784542280.49,1791708354.76,1777376206.21,1778092813.64,1790991747.33,2.0,102705241012000.0,0.125001333526,0.25,0.00781258334538,119,6.270282251879999e-14,0.25
1193.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1763904346.0,9206787.63791,1763904346.0,1770414527.97,1757394164.03,1758045182.23,1769763509.77,2.0,84764938609500.0,0.124996484341,0.25,0.00390654420517,20,6.270282251879999e-14,0.125012930589
1193.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1748478959.5,95877.2752588,1748478959.5,1748546754.97,1748411164.03,1748417943.58,1748539975.42,2.0,9192451911.05,0.250002182133,0.25,0.0156251363833,89,6.270282251879999e-14,0.25
1193.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1735118093.37,4426705.34058,1735118093.37,1738248246.74,1731987940.01,1732300955.34,1737935231.4,2.0,19595720172300.0,0.125001333526,0.125,0.00390588758748,103,6.270282251879999e-14,0.249974138823
1193.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1726372204.04,3755526.16079,1726372204.04,1729027762.05,1723716646.02,1723982201.82,1728762206.25,2.0,14103976744400.0,0.249997817867,0.25,0.00781323996306,45,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1688204978.87,2258985.73002,1688204978.87,1689802322.99,1686607634.74,1686767369.15,1689642588.58,2.0,5103016528440.0,0.250002182133,0.25,0.0156251363833,59,6.270282251879999e-14,0.25
1193.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1671123570.38,7300152.77154,1671123570.38,1676285557.91,1665961582.86,1666477781.61,1675769359.16,2.0,53292230487800.0,0.250002182133,0.125,0.00390668818026,100,6.270282251879999e-14,0.125012930589
1193.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1638563082.58,825885.169924,1638563082.58,1639147071.58,1637979093.57,1638037492.47,1639088672.68,2.0,682086313901.0,0.125001333526,0.25,0.00781258334538,114,6.270282251879999e-14,0.25
1193.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1625066866.65,2639407.66646,1625066866.65,1626933209.71,1623200523.59,1623387157.9,1626746575.41,2.0,6966472829750.0,0.250002182133,0.25,0.00781337636051,70,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1611353678.38,1714778.09786,1611353678.38,1612566209.6,1610141147.15,1610262400.28,1612444956.48,2.0,2940463924900.0,0.249997817867,0.125,0.00781243180833,29,6.270282251879999e-14,0.25
1193.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1600041308.16,9613836.96277,1600041308.16,1606839317.47,1593243298.85,1593923099.78,1606159516.54,2.0,92425861146700.0,0.124996484341,0.125,0.00390614013564,4,6.270282251879999e-14,0.25
1193.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1573139657.7,5810825.25159,1573139657.7,1577248531.64,1569030783.76,1569441671.16,1576837644.25,2.0,33765690104600.0,0.124996484341,0.25,0.00390654420517,15,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1570775208.66,4498756.89629,1570775208.66,1573956310.17,1567594107.16,1567912217.31,1573638200.02,2.0,20238813611900.0,0.250002182133,0.25,0.0156251363833,84,6.270282251879999e-14,0.25
1193.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1567230386.03,5284599.36045,1567230386.03,1570967162.08,1563493609.99,1563867287.59,1570593484.47,2.0,27926990400400.0,0.125001333526,0.125,0.00195334787895,125,6.270282251879999e-14,0.125012930589
1193.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1533438506.84,5665469.00311,1533438506.84,1537444598.39,1529432415.29,1529833024.45,1537043989.24,2.0,32097539025200.0,0.249997817867,0.25,0.00781323996306,40,6.270282251879999e-14,0.125012930589
1193.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1512159108.54,5539705.36376,1512159108.54,1516076271.77,1508241945.31,1508633661.63,1515684555.45,2.0,30688335517300.0,0.250002182133,0.25,0.00781337636051,95,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1505103828.49,78632.37592,1505103828.49,1505159429.97,1505048227.0,1505053787.15,1505153869.83,2.0,6183050542.82,0.250002182133,0.125,0.00781256819167,54,6.270282251879999e-14,0.25
1193.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1484911539.92,640406.818694,1484911539.92,1485364375.92,1484458703.91,1484503987.51,1485319092.32,2.0,410120893429.0,0.125001333526,0.25,0.00781258334538,109,6.270282251879999e-14,0.25
1193.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1429043889.17,7093986.67971,1429043889.17,1434060095.26,1424027683.09,1424529303.7,1433558474.65,2.0,50324647012000.0,0.250002182133,0.25,0.00781337636051,65,6.270282251879999e-14,0.125012930589
